frame,value
0,41.180347
1,35.335289
2,33.868195
3,33.385841
4,32.212578
5,32.475895
6,31.929087
7,31.408451
8,31.593792
9,31.576982
10,31.637083
11,31.494167
12,31.413185
13,31.420485
14,30.776098
15,30.524612
16,30.436558
17,30.503098
18,30.621222
19,30.756094
20,30.843475
21,30.496088
22,30.427895
23,30.998138
24,31.134352
25,31.573009
26,31.222609
27,31.841413
28,31.930563
29,32.110172
30,33.022877
31,33.247929
32,32.543140
33,32.335449
34,32.136547
35,31.659889
36,31.654255
37,32.223640
38,32.205036
39,31.553684
40,32.332111
41,32.488319
42,32.492157
43,32.525497
44,32.993942
45,32.926331
46,32.800770
47,32.839653
48,32.701691
49,32.669712
50,32.616238
51,32.436497
52,32.068970
53,31.854305
54,31.804871
55,31.915903
56,32.178909
57,31.987015
58,31.935619
59,31.763494
60,31.765667
61,31.553209
62,31.577955
63,31.896141
64,32.134796
65,37.481426
66,36.497005
67,36.452591
68,36.128937
69,36.219120
70,36.472359
71,36.427536
72,36.190590
73,37.000233
74,37.423790
75,39.131958
76,38.819630
77,37.909325
78,38.777634
79,38.612381
80,38.928360
81,37.891163
82,36.337692
83,36.647942
84,37.408043
85,37.726749
86,37.637291
87,36.904575
88,37.497478
89,36.451744
90,35.998878
91,35.811665
92,36.163414
93,36.080132
94,36.163624
95,36.681370
96,36.653221
97,36.575569
98,36.644779
99,36.579536
100,36.565765
101,36.466068
102,36.353661
103,36.255043
104,36.264072
105,37.034920
106,37.205936
107,37.055805
108,36.940258
109,37.348667
110,38.167717
111,38.730118
112,39.033348
113,39.077950
114,39.257816
115,38.211136
116,35.064922
117,35.028564
118,34.774384
119,34.628475
120,34.600159
121,34.172016
122,34.235634
123,34.301079
124,34.996807
125,34.489704
126,34.503590
127,34.516338
128,34.338669
129,34.082401
130,33.830181
131,32.946072
132,33.407497
133,32.884293
134,32.828438
135,32.892738
136,33.433701
137,33.461983
138,33.391682
139,33.224636
140,33.047771
141,32.997902
142,32.995056
143,32.455631
144,33.118523
145,33.415466
146,33.500515
147,33.587105
148,33.525963
149,33.480045
150,33.523178
151,33.575256
152,33.602936
153,33.170643
154,33.704884
155,33.848991
156,37.259453
157,36.004398
158,35.834381
159,35.884071
160,36.494923
161,36.536945
162,36.444489
163,37.129513
164,37.070004
165,37.173370
166,36.630333
167,37.091621
168,37.026398
169,37.198822
170,37.952065
171,37.967342
172,37.150173
173,37.083141
174,37.124058
175,38.189644
176,38.449841
177,38.300724
178,38.437546
179,38.376194
180,37.724667
181,37.525646
182,38.261341
183,32.276493
184,31.852745
185,32.629292
186,33.484074
187,34.608898
188,35.002422
189,36.562431
190,36.409279
191,37.253693
192,37.842049
193,38.250000
194,38.211143
195,38.410561
196,38.445099
197,37.905479
198,37.756878
199,37.273491
200,37.088814
201,36.091152
202,36.011650
203,35.614956
204,36.042755
205,35.857105
206,35.624004
207,35.380363
208,35.297676
209,35.131725
210,34.776554
211,34.453411
212,34.354221
213,33.891506
214,33.700081
215,33.416584
216,33.266277
217,32.968655
218,33.532986
219,32.582169
220,32.306767
221,32.205978
222,32.874840
223,32.922180
224,32.339413
225,32.728630
226,32.600170
227,32.801083
228,32.913849
229,33.448795
230,33.756275
231,33.950340
232,34.610149
233,34.664974
234,34.672394
235,34.638340
236,34.675514
237,34.806282
238,34.933731
239,34.924690
240,34.935844
241,34.861191
242,35.216778
243,35.209957
244,35.756481
245,35.984898
246,35.484688
247,36.521481
248,35.996887
249,35.827038
250,35.617924
251,35.504467
252,34.850735
253,34.648148
254,35.066391
255,35.011600
256,34.617104
257,36.503799
258,35.706657
259,35.407116
260,37.904152
261,36.704632
262,36.694469
263,36.500130
264,36.750610
265,37.531601
266,36.060120
267,35.618885
268,35.131248
269,35.390278
270,35.390701
271,35.395702
272,35.439808
273,35.808842
274,35.777256
275,35.785946
276,36.206547
277,36.297134
278,36.298409
279,36.289349
280,35.957035
281,35.834187
282,35.406334
283,35.549881
284,35.429371
285,35.006458
286,34.887917
287,34.707699
288,34.643620
289,34.555923
290,34.528690
291,34.779224
292,34.798317
