frame,value
0,33.989529
1,33.672630
2,33.039673
3,33.208385
4,32.917854
5,32.544090
6,32.362923
7,32.438259
8,32.252159
9,32.610741
10,32.748795
11,32.610939
12,32.005768
13,31.996973
14,31.880154
15,31.665979
16,31.642975
17,31.349245
18,31.440010
19,31.439896
20,31.594461
21,31.843847
22,31.766636
23,31.765747
24,31.849569
25,32.279850
26,32.630180
27,32.669399
28,32.767086
29,32.949326
30,33.155056
31,33.321209
32,33.143169
33,32.994507
34,32.828796
35,32.330902
36,32.330559
37,32.351856
38,31.722908
39,32.168610
40,32.369431
41,32.464645
42,32.521847
43,32.561409
44,32.686687
45,32.444859
46,32.256561
47,32.403614
48,32.676285
49,32.741116
50,32.664444
51,32.440254
52,32.110901
53,31.476622
54,31.422802
55,31.520920
56,31.742945
57,31.978069
58,31.925709
59,31.834232
60,31.806429
61,31.119608
62,31.000921
63,31.315760
64,31.551298
65,36.803833
66,35.871265
67,35.644581
68,35.448738
69,35.376980
70,35.734287
71,35.549755
72,35.543850
73,35.694008
74,37.053993
75,36.969555
76,37.248398
77,37.295635
78,37.543076
79,37.442558
80,37.533409
81,36.591156
82,35.854023
83,35.569473
84,36.092907
85,36.429329
86,36.470394
87,35.598118
88,35.651596
89,35.224789
90,34.743507
91,34.620453
92,34.552982
93,34.475254
94,34.510708
95,34.800297
96,34.845287
97,34.776127
98,34.815899
99,34.648125
100,34.612724
101,34.568359
102,34.507389
103,34.411118
104,34.427238
105,34.431885
106,34.598335
107,34.449299
108,34.284298
109,34.718487
110,35.109249
111,35.568130
112,36.363426
113,36.484921
114,35.969257
115,34.586033
116,32.865627
117,32.726711
118,32.623993
119,32.550343
120,32.509777
121,32.600689
122,32.909325
123,32.987068
124,33.105869
125,33.181332
126,33.271141
127,33.246853
128,33.105583
129,32.845776
130,32.615860
131,32.294704
132,32.204754
133,32.235252
134,32.275723
135,32.292465
136,32.235126
137,32.236240
138,32.152813
139,31.984419
140,31.775616
141,31.661585
142,31.600391
143,31.650846
144,31.814722
145,32.016331
146,32.166039
147,32.193390
148,32.211517
149,32.140278
150,32.180069
151,32.181816
152,32.263863
153,32.350899
154,32.403728
155,32.451157
156,36.021172
157,34.837593
158,34.533188
159,34.553226
160,34.611340
161,35.112263
162,35.144619
163,35.081581
164,35.008888
165,35.079559
166,35.167484
167,35.159229
168,35.124302
169,35.151527
170,35.889088
171,35.927971
172,35.111172
173,35.156441
174,35.181877
175,35.586884
176,35.814598
177,35.483696
178,35.588364
179,35.624523
180,35.499077
181,35.258438
182,35.385540
183,31.642471
184,30.981689
185,31.371338
186,32.095009
187,32.250778
188,32.526226
189,32.751450
190,33.360641
191,33.270527
192,34.411129
193,34.441193
194,34.683323
195,34.929501
196,34.514790
197,34.834091
198,34.247066
199,34.399452
200,33.722946
201,33.422298
202,33.324703
203,32.938007
204,33.440109
205,33.176456
206,32.926018
207,32.666763
208,32.598690
209,32.450127
210,32.580349
211,31.765804
212,31.669615
213,31.776041
