frame,value
0,0.974460
1,0.974640
2,0.974756
3,0.976449
4,0.968680
5,0.968284
6,0.966371
7,0.964502
8,0.967848
9,0.969963
10,0.967439
11,0.967806
12,0.969732
13,0.968946
14,0.968064
15,0.966693
16,0.967001
17,0.962611
18,0.964068
19,0.965311
20,0.965803
21,0.967695
22,0.963996
23,0.962526
24,0.962631
25,0.964379
26,0.965949
27,0.966244
28,0.965363
29,0.971350
30,0.973674
31,0.974481
32,0.975081
33,0.975012
34,0.975405
35,0.973963
36,0.972776
37,0.972445
38,0.972054
39,0.971011
40,0.970013
41,0.969452
42,0.970161
43,0.971155
44,0.971476
45,0.973626
46,0.970091
47,0.970396
48,0.973886
49,0.973857
50,0.974263
51,0.974043
52,0.972163
53,0.971746
54,0.968168
55,0.968762
56,0.970203
57,0.971924
58,0.972296
59,0.971543
60,0.966918
61,0.966487
62,0.966344
63,0.967371
64,0.969239
65,0.987391
66,0.985010
67,0.984283
68,0.983543
69,0.986189
70,0.986959
71,0.986917
72,0.987127
73,0.988898
74,0.988586
75,0.988853
76,0.988878
77,0.989246
78,0.988843
79,0.989137
80,0.991085
81,0.990353
82,0.989279
83,0.987926
84,0.989259
85,0.988237
86,0.988591
87,0.987771
88,0.989299
89,0.987978
90,0.986469
91,0.985333
92,0.985041
93,0.984565
94,0.984839
95,0.984532
96,0.984176
97,0.984078
98,0.984057
99,0.983913
100,0.983799
101,0.980742
102,0.980016
103,0.979544
104,0.982157
105,0.982158
106,0.982688
107,0.981968
108,0.981696
109,0.983011
110,0.984207
111,0.987055
112,0.988109
113,0.988347
114,0.988508
115,0.989909
116,0.984859
117,0.984526
118,0.984234
119,0.983782
120,0.983475
121,0.984256
122,0.984378
123,0.984355
124,0.984829
125,0.985047
126,0.985712
127,0.985697
128,0.986009
129,0.986025
130,0.986055
131,0.985724
132,0.985409
133,0.983914
134,0.983803
135,0.983729
136,0.985337
137,0.985601
138,0.985774
139,0.985762
140,0.985864
141,0.986034
142,0.985879
143,0.985969
144,0.986290
145,0.986613
146,0.986555
147,0.986257
148,0.986229
149,0.986044
150,0.986141
151,0.986008
152,0.986015
153,0.986071
154,0.986225
155,0.986051
156,0.988949
157,0.987347
158,0.986933
159,0.987343
160,0.987318
161,0.989110
162,0.989268
163,0.989356
164,0.988882
165,0.988624
166,0.988599
167,0.988026
168,0.987335
169,0.987244
170,0.988544
171,0.988246
172,0.986685
173,0.987152
174,0.987447
175,0.987383
176,0.986817
177,0.986001
178,0.985879
179,0.986060
180,0.986518
181,0.987186
182,0.987586
183,0.977444
184,0.974963
185,0.976996
186,0.977728
187,0.978351
188,0.980554
189,0.981268
190,0.981781
191,0.982308
192,0.983486
193,0.984312
194,0.984560
195,0.985010
196,0.985217
197,0.985009
198,0.984665
199,0.984600
200,0.984843
201,0.983894
202,0.983937
203,0.982090
204,0.983343
205,0.982923
206,0.981954
207,0.981149
208,0.982113
209,0.981985
210,0.980976
211,0.979891
212,0.979534
213,0.979930
214,0.979045
215,0.977861
216,0.977148
217,0.975387
218,0.974330
219,0.973346
220,0.971520
221,0.971190
222,0.970524
223,0.970381
224,0.970055
225,0.970317
226,0.969843
227,0.970442
228,0.971010
229,0.973874
230,0.975615
231,0.976769
232,0.977796
233,0.978254
234,0.978761
235,0.979467
236,0.980070
237,0.980428
238,0.981256
239,0.981292
240,0.981300
241,0.983204
242,0.983199
243,0.983134
244,0.983225
245,0.983926
246,0.983960
247,0.984024
248,0.983730
249,0.983550
250,0.982995
251,0.982409
252,0.981934
253,0.981158
254,0.980431
255,0.979849
256,0.979753
257,0.979938
258,0.979982
259,0.981430
260,0.981458
261,0.981317
262,0.980890
263,0.980482
264,0.982169
265,0.989542
266,0.987032
267,0.985985
268,0.985110
269,0.984578
270,0.983898
271,0.983957
272,0.983606
273,0.983474
274,0.983214
275,0.982899
276,0.984015
277,0.984386
278,0.984641
279,0.984686
280,0.983406
281,0.982783
282,0.982447
283,0.982290
284,0.982439
285,0.982575
286,0.982573
287,0.982119
288,0.982113
289,0.982269
290,0.981997
291,0.981897
292,0.981700
293,0.982868
294,0.982920
295,0.982896
296,0.982942
297,0.982859
298,0.982791
299,0.982723
300,0.982660
301,0.982494
302,0.982297
303,0.983854
304,0.984202
305,0.984515
306,0.985442
307,0.987386
308,0.987818
309,0.987146
310,0.986514
311,0.986239
312,0.986579
313,0.987963
314,0.988306
315,0.987630
316,0.986925
317,0.986603
318,0.986375
319,0.986848
320,0.986888
321,0.986267
322,0.986160
323,0.986124
324,0.985987
325,0.986558
326,0.986668
327,0.986724
328,0.986792
329,0.986808
330,0.986795
331,0.986883
332,0.986927
333,0.986928
334,0.986926
335,0.986960
336,0.986841
337,0.986930
338,0.986878
339,0.986884
340,0.988348
341,0.988559
342,0.988658
343,0.987976
344,0.987706
345,0.988592
346,0.988701
347,0.988800
348,0.988857
349,0.988867
350,0.989046
351,0.989036
352,0.989081
353,0.989057
354,0.989071
355,0.989045
356,0.988338
357,0.988063
358,0.987846
359,0.988796
360,0.988917
361,0.988966
362,0.994018
363,0.992630
364,0.992549
365,0.992618
366,0.992379
367,0.992214
368,0.992071
369,0.992042
370,0.991836
371,0.991644
372,0.991370
373,0.991176
374,0.991167
375,0.991075
376,0.990952
377,0.990878
378,0.990761
379,0.990640
380,0.990678
381,0.990777
382,0.990771
383,0.990803
384,0.990831
385,0.990982
386,0.991769
387,0.991883
388,0.992128
389,0.992242
390,0.992316
391,0.992416
392,0.992391
393,0.991370
394,0.991289
395,0.991106
396,0.991055
397,0.990879
398,0.990572
399,0.990609
400,0.989164
401,0.988969
402,0.988507
403,0.986768
404,0.986845
405,0.984236
406,0.984822
407,0.985036
408,0.985266
409,0.985379
410,0.985451
411,0.987218
412,0.987662
413,0.987804
414,0.988055
415,0.988288
416,0.988555
417,0.988695
418,0.996325
419,0.994637
420,0.994373
421,0.994108
422,0.993505
423,0.992952
424,0.992267
425,0.991603
426,0.990969
427,0.990602
428,0.990363
429,0.990204
430,0.990230
431,0.990150
432,0.990085
433,0.989795
434,0.989571
435,0.989474
436,0.989414
437,0.989215
438,0.989115
439,0.989089
440,0.989051
441,0.988989
442,0.988871
443,0.988800
444,0.990172
445,0.990513
446,0.990820
447,0.990030
448,0.989865
449,0.989700
450,0.989638
451,0.989841
452,0.989905
453,0.989893
454,0.989857
455,0.990026
456,0.990775
457,0.991263
458,0.991678
459,0.991917
460,0.991812
461,0.991767
462,0.992624
463,0.992375
464,0.990882
465,0.990249
466,0.989738
467,0.989485
468,0.989109
469,0.988815
470,0.988537
471,0.988717
472,0.988674
473,0.988727
474,0.988817
475,0.988231
476,0.988083
477,0.988071
478,0.988673
479,0.988815
480,0.988964
481,0.989036
482,0.989050
483,0.989130
484,0.989183
485,0.989249
486,0.989266
487,0.989386
488,0.990445
489,0.990672
490,0.990815
491,0.990793
492,0.990843
493,0.990813
494,0.989909
495,0.989643
496,0.989467
497,0.989401
498,0.989287
499,0.989260
average,0.984024
