System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
06:07:08:635,70623642698292,1.0005,3595,17.9318,17.9330,4.9814,10.2004,10.2011,2.8336,0.0000,0.0000,0.0000,
06:07:09:636,70626844733021,2.0011,3400,13.0197,30.9556,8.5988,7.1963,17.3990,4.8331,0.0000,0.0000,0.0000,
06:07:10:636,70630046746769,3.0018,3499,17.8999,48.8588,13.5719,10.2923,27.6932,7.6925,0.0000,0.0000,0.0000,
06:07:11:637,70633248819988,4.0024,3596,18.1273,66.9895,18.6082,10.5078,38.2030,10.6119,0.0000,0.0000,0.0000,
06:07:12:638,70636450788564,5.0030,3593,18.0738,85.0668,23.6297,10.5729,48.7780,13.5494,0.0000,0.0000,0.0000,
06:07:13:638,70639652830848,6.0037,3591,17.5250,102.5952,28.4987,10.0512,58.8311,16.3420,0.0000,0.0000,0.0000,
06:07:14:639,70642854878586,7.0043,3597,17.9480,120.5471,33.4853,10.3252,69.1586,19.2107,0.0000,0.0000,0.0000,
06:07:15:640,70646056841544,8.0049,3586,17.9707,138.5212,38.4781,10.3646,79.5251,22.0903,0.0000,0.0000,0.0000,
06:07:16:640,70649258871709,9.0056,3589,18.0452,156.5698,43.4916,10.4525,89.9796,24.9943,0.0000,0.0000,0.0000,
06:07:17:641,70652460846577,10.0062,3598,17.0840,173.6572,48.2381,9.8574,99.8390,27.7331,0.0000,0.0000,0.0000,
06:07:18:642,70655662925751,11.0069,3596,17.9983,191.6596,53.2388,10.4015,110.2428,30.6230,0.0000,0.0000,0.0000,
06:07:19:642,70658864957579,12.0075,3597,17.8098,209.4728,58.1869,10.2081,120.4528,33.4591,0.0000,0.0000,0.0000,
06:07:20:643,70662066934231,13.0081,3600,17.9538,227.4301,63.1750,10.3900,130.8448,36.3458,0.0000,0.0000,0.0000,
06:07:21:643,70665268903697,14.0087,3590,17.8799,245.3134,68.1426,10.3436,141.1904,39.2196,0.0000,0.0000,0.0000,
06:07:22:644,70668470932535,15.0094,3600,17.8471,263.1639,73.1011,10.3282,151.5206,42.0891,0.0000,0.0000,0.0000,
06:07:23:645,70671672978240,16.0100,3593,17.8312,280.9990,78.0553,10.2394,161.7623,44.9340,0.0000,0.0000,0.0000,
06:07:24:645,70674874986603,17.0106,3600,17.9953,298.9977,83.0549,10.4063,172.1706,47.8252,0.0000,0.0000,0.0000,
06:07:25:646,70678077015240,18.0113,3595,18.0428,317.0440,88.0678,10.4585,182.6310,50.7308,0.0000,0.0000,0.0000,
06:07:26:647,70681278981835,19.0119,3599,17.9676,335.0150,93.0597,10.3738,193.0068,53.6130,0.0000,0.0000,0.0000,
06:07:27:647,70684480958685,20.0125,3584,17.8809,352.8993,98.0276,10.2858,203.2946,56.4707,0.0000,0.0000,0.0000,
06:07:28:648,70687683066766,21.0132,3599,17.9207,370.8239,103.0066,10.3714,213.6683,59.3523,0.0000,0.0000,0.0000,
06:07:29:648,70690885032157,22.0138,3595,17.9644,388.7916,107.9977,10.3983,224.0685,62.2413,0.0000,0.0000,0.0000,
06:07:30:649,70694087178487,23.0145,3599,17.8861,406.6812,112.9670,10.3313,234.4019,65.1116,0.0000,0.0000,0.0000,
06:07:31:650,70697289206240,24.0151,3589,18.0821,424.7667,117.9907,10.4732,244.8770,68.0214,0.0000,0.0000,0.0000,
06:07:32:650,70700491178513,25.0157,3593,17.7561,442.5262,122.9239,10.1979,255.0769,70.8547,0.0000,0.0000,0.0000,
06:07:33:651,70703693258827,26.0164,3596,18.0400,460.5703,127.9362,10.4438,265.5230,73.7564,0.0000,0.0000,0.0000,
06:07:34:652,70706895292913,27.0170,3592,18.0564,478.6301,132.9528,10.4665,275.9915,76.6643,0.0000,0.0000,0.0000,
06:07:35:652,70710097254743,28.0176,3590,18.0843,496.7178,137.9772,10.4773,286.4708,79.5752,0.0010,0.0010,0.0003,
06:07:36:653,70713299233434,29.0182,3587,17.8576,514.5789,142.9386,10.3025,296.7752,82.4376,0.0000,0.0010,0.0003,
06:07:37:654,70716501353952,30.0189,3589,17.9214,532.5045,147.9179,10.3173,307.0948,85.3041,0.0000,0.0010,0.0003,
06:07:38:654,70719703401896,31.0195,3590,18.0667,550.5750,152.9375,10.4718,317.5688,88.2136,0.0000,0.0010,0.0003,
06:07:39:655,70722905372471,32.0202,3588,18.0407,568.6191,157.9498,10.4468,328.0176,91.1160,0.0000,0.0010,0.0003,
06:07:40:655,70726107344337,33.0208,3599,17.9599,586.5825,162.9396,10.3936,338.4132,94.0037,0.0000,0.0010,0.0003,
06:07:41:656,70729309314653,34.0214,3590,18.0852,604.6711,167.9642,10.4730,348.8882,96.9134,0.0000,0.0010,0.0003,
06:07:42:657,70732511326010,35.0220,3595,17.8663,622.5411,172.9281,10.2854,359.1757,99.7710,0.0000,0.0010,0.0003,
06:07:43:657,70735713410824,36.0227,3598,18.0943,640.6393,177.9554,10.4903,369.6683,102.6856,0.0000,0.0010,0.0003,
06:07:44:658,70738915377640,37.0233,3594,17.9201,658.5627,182.9341,10.3805,380.0508,105.5697,0.0000,0.0010,0.0003,
06:07:45:659,70742117348878,38.0239,3596,17.8021,676.3682,187.8801,10.2222,390.2749,108.4097,0.0000,0.0010,0.0003,
06:07:46:659,70745319316977,39.0245,3597,18.0840,694.4557,192.9044,10.4717,400.7486,111.3191,0.0000,0.0010,0.0003,
06:07:47:660,70748521287008,40.0251,3593,18.0110,712.4702,197.9084,10.4237,411.1743,114.2151,0.0000,0.0010,0.0003,
06:07:48:660,70751723328424,41.0258,3595,17.8947,730.3687,202.8802,10.3461,421.5226,117.0896,0.0000,0.0010,0.0003,
06:07:49:661,70754925396436,42.0264,3599,17.8066,748.1786,207.8274,10.2478,431.7723,119.9368,0.0000,0.0010,0.0003,
06:07:50:662,70758127360555,43.0270,3598,18.0306,766.2127,212.8369,10.4203,442.1946,122.8318,0.0000,0.0010,0.0003,
06:07:51:662,70761329465436,44.0277,3377,16.8420,783.0580,217.5161,9.5600,451.7564,125.4879,0.0000,0.0010,0.0003,
06:07:52:663,70764531461390,45.0283,3590,17.9345,800.9961,222.4989,10.3563,462.1147,128.3652,0.0000,0.0010,0.0003,
06:07:53:664,70767733565463,46.0290,3573,17.8869,818.8872,227.4687,10.3456,472.4628,131.2397,0.0000,0.0010,0.0003,
06:07:54:664,70770935521291,47.0296,3590,17.8092,836.6998,232.4166,10.2283,482.6930,134.0814,0.0000,0.0010,0.0003,
06:07:55:665,70774137490589,48.0302,3600,18.1116,854.8149,237.4486,10.4942,493.1892,136.9970,0.0000,0.0010,0.0003,
06:07:56:666,70777339559956,49.0309,3588,18.1477,872.9666,242.4907,10.5159,503.7074,139.9187,0.0000,0.0010,0.0003,
06:07:57:666,70780541531831,50.0315,3588,18.0428,891.0128,247.5035,10.4616,514.1710,142.8253,0.0000,0.0010,0.0003,
06:07:58:667,70783743597672,51.0321,3592,17.8436,908.8602,252.4612,10.3074,524.4806,145.6891,0.0000,0.0010,0.0003,
06:07:59:667,70786945569629,52.0328,3588,17.8817,926.7454,257.4293,10.2906,534.7732,148.5481,0.0000,0.0010,0.0003,
06:08:00:668,70790147536238,53.0334,3597,17.9510,944.6997,262.4166,10.4001,545.1753,151.4376,0.0000,0.0010,0.0003,
06:08:01:669,70793349506155,54.0340,3596,18.1749,962.8781,267.4661,10.5160,555.6933,154.3592,0.0000,0.0010,0.0003,
06:08:02:669,70796551502856,55.0346,3596,18.1457,981.0272,272.5076,10.4965,566.1918,157.2755,0.0000,0.0010,0.0003,
06:08:03:670,70799753520107,56.0352,3584,18.0602,999.0912,277.5253,10.4530,576.6469,160.1797,0.0000,0.0010,0.0003,
06:08:04:671,70802955476986,57.0359,3583,17.9425,1017.0370,282.5103,10.3380,586.9869,163.0519,0.0000,0.0010,0.0003,
06:08:05:671,70806157440590,58.0365,3587,18.1470,1035.1875,287.5521,10.5106,597.4995,165.9721,0.0000,0.0010,0.0003,
06:08:06:672,70809359402208,59.0371,3586,18.0797,1053.2706,292.5752,10.4690,607.9704,168.8807,0.0000,0.0010,0.0003,
06:08:07:672,70812561365088,60.0377,3586,18.0527,1071.3267,297.5908,10.4570,618.4294,171.7859,0.0000,0.0010,0.0003,
06:08:08:673,70815763507348,61.0384,3582,17.9445,1089.2750,302.5764,10.3405,628.7721,174.6589,0.0000,0.0010,0.0003,
06:08:09:674,70818965471197,62.0390,3579,18.0781,1107.3566,307.5990,10.4675,639.2416,177.5671,0.0000,0.0010,0.0003,
06:08:10:674,70822167435159,63.0396,3588,18.0138,1125.3738,312.6038,10.4180,649.6616,180.4615,0.0000,0.0010,0.0003,
06:08:11:675,70825369398824,64.0402,3585,17.9084,1143.2856,317.5793,10.3057,659.9692,183.3248,0.0000,0.0010,0.0003,
06:08:12:675,70828571369428,65.0408,3588,18.0228,1161.3118,322.5866,10.4445,670.4158,186.2266,0.0000,0.0010,0.0003,
06:08:13:676,70831773410138,66.0415,3585,17.9403,1179.2560,327.5711,10.3831,680.8011,189.1114,0.0000,0.0010,0.0003,
06:08:14:677,70834975375290,67.0421,3585,18.0228,1197.2822,332.5784,10.4363,691.2394,192.0109,0.0000,0.0010,0.0003,
06:08:15:677,70838177431787,68.0427,3576,17.8276,1215.1134,337.5315,10.2579,701.4994,194.8609,0.0000,0.0010,0.0003,
06:08:16:678,70841379402138,69.0434,3507,17.9937,1233.1105,342.5307,10.4276,711.9290,197.7580,0.0000,0.0010,0.0003,
06:08:17:679,70844581364506,70.0440,3598,18.0845,1251.1984,347.5551,10.4630,722.3940,200.6650,0.0000,0.0010,0.0003,
06:08:18:679,70847783453073,71.0446,3553,18.0248,1269.2274,352.5632,10.4315,732.8279,203.5633,0.0010,0.0020,0.0006,
06:08:19:680,70850985409908,72.0452,3563,17.9108,1287.1415,357.5393,10.3027,743.1324,206.4257,0.0000,0.0020,0.0006,
06:08:20:681,70854187475915,73.0459,3577,16.6921,1303.8373,362.1770,9.5901,752.7247,209.0902,0.0000,0.0020,0.0006,
06:08:21:681,70857389557547,74.0465,3594,14.1932,1318.0332,366.1203,8.0063,760.7325,211.3146,0.0000,0.0020,0.0006,
06:08:22:682,70860591568410,75.0472,3577,18.0535,1336.0904,371.1362,10.4465,771.1812,214.2170,0.0000,0.0020,0.0006,
