System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
01:54:05:276,22036985600372,1.0005,3575,2.6203,2.6205,0.7279,0.5107,0.5107,0.1419,0.0000,0.0000,0.0000,
01:54:06:277,22040188821839,2.0015,2913,2.0345,4.6555,1.2932,0.2263,0.7371,0.2048,0.0000,0.0000,0.0000,
01:54:07:279,22043395030224,3.0035,1943,1.7940,6.4500,1.7917,0.1522,0.8894,0.2471,0.0000,0.0000,0.0000,
01:54:08:280,22046597979575,4.0044,2676,3.9136,10.3656,2.8793,1.5640,2.4542,0.6817,0.0000,0.0000,0.0000,
01:54:09:280,22049800029465,5.0050,3587,10.0299,20.3976,5.6660,5.4105,7.8658,2.1849,0.0000,0.0000,0.0000,
01:54:10:281,22053002174967,6.0057,3592,18.8880,39.2896,10.9138,11.0858,18.9540,5.2650,0.0000,0.0000,0.0000,
01:54:11:282,22056204207962,7.0063,3570,18.1373,57.4307,15.9530,10.5394,29.4956,8.1932,0.0000,0.0000,0.0000,
01:54:12:282,22059406243869,8.0070,3594,18.0714,75.5059,20.9738,10.4438,39.9416,11.0949,0.0010,0.0010,0.0003,
01:54:13:283,22062608340599,9.0076,3580,18.1700,93.6801,26.0222,10.5938,50.5378,14.0383,0.0000,0.0010,0.0003,
01:54:14:284,22065811586731,10.0087,3147,12.7753,106.4586,29.5718,7.1610,57.7006,16.0280,0.0000,0.0010,0.0003,
01:54:15:285,22069015097878,11.0098,2629,1.8580,108.3173,30.0881,0.1783,57.8790,16.0775,0.0000,0.0010,0.0003,
01:54:16:286,22072218945784,12.0110,1590,1.6879,110.0057,30.5571,0.1173,57.9964,16.1101,0.0000,0.0010,0.0003,
01:54:17:287,22075421240343,13.0117,2408,3.0185,113.0250,31.3958,1.0217,59.0184,16.3940,0.0000,0.0010,0.0003,
01:54:18:289,22078626576492,14.0133,1116,3.8725,116.8984,32.4718,1.5299,60.5487,16.8191,0.0000,0.0010,0.0003,
01:54:19:290,22081830601565,15.0146,1188,1.4247,118.3238,32.8677,0.0231,60.5718,16.8255,0.0000,0.0010,0.0003,
01:54:20:291,22085032942209,16.0153,3487,17.8258,136.1548,37.8208,10.3381,70.9130,19.6980,0.0000,0.0010,0.0003,
01:54:21:291,22088234979540,17.0160,3597,18.1969,154.3557,42.8766,10.6069,81.5221,22.6450,0.0000,0.0010,0.0003,
01:54:22:292,22091437028814,18.0166,3600,18.1227,172.4822,47.9117,10.5727,92.0970,25.5825,0.0000,0.0010,0.0003,
01:54:23:293,22094639061288,19.0173,3597,18.1062,190.5921,52.9423,10.4807,102.5800,28.4944,0.0000,0.0010,0.0003,
01:54:24:293,22097841243604,20.0179,3583,17.9496,208.5452,57.9292,10.4156,112.9976,31.3882,0.0000,0.0010,0.0003,
01:54:25:294,22101043417576,21.0186,3596,18.1799,226.7294,62.9804,10.6149,123.6150,34.3375,0.0000,0.0010,0.0003,
01:54:26:295,22104245452183,22.0193,3528,18.2138,244.9470,68.0408,10.5881,134.2053,37.2793,0.0000,0.0010,0.0003,
01:54:27:295,22107447495249,23.0199,3586,18.1037,263.0545,73.0707,10.4738,144.6813,40.1893,0.0000,0.0010,0.0003,
01:54:28:296,22110649599741,24.0206,3585,18.0741,281.1324,78.0923,10.4995,155.1831,43.1064,0.0000,0.0010,0.0003,
01:54:29:297,22113851643377,25.0212,3579,18.2320,299.3683,83.1579,10.6481,165.8335,46.0649,0.0000,0.0010,0.0003,
01:54:30:297,22117053805067,26.0219,3594,18.2069,317.5795,88.2165,10.6089,176.4449,49.0125,0.0000,0.0010,0.0003,
01:54:31:298,22120255776247,27.0225,3584,18.2825,335.8655,93.2960,10.6846,187.1315,51.9810,0.0000,0.0010,0.0003,
01:54:32:298,22123457747944,28.0231,3597,18.3553,354.2243,98.3956,10.7301,197.8636,54.9621,0.0000,0.0010,0.0003,
01:54:33:299,22126659712264,29.0237,3594,18.2966,372.5244,103.4790,10.6948,208.5604,57.9335,0.0000,0.0010,0.0003,
01:54:34:300,22129861676384,30.0244,3597,18.2443,390.7721,108.5478,10.6475,219.2100,60.8917,0.0000,0.0010,0.0003,
01:54:35:300,22133063721009,31.0250,3598,18.1003,408.8762,113.5767,10.5532,229.7654,63.8237,0.0000,0.0010,0.0003,
01:54:36:301,22136265795901,32.0256,3599,18.0252,426.9048,118.5847,10.5082,240.2756,66.7432,0.0000,0.0010,0.0003,
01:54:37:302,22139467764328,33.0263,3596,18.1961,445.1043,123.6401,10.6505,250.9282,69.7023,0.0000,0.0010,0.0003,
01:54:38:302,22142669729984,34.0269,3592,18.0880,463.1957,128.6655,10.5425,261.4727,72.6313,0.0000,0.0010,0.0003,
01:54:39:303,22145871695627,35.0275,3582,18.2390,481.4382,133.7328,10.6429,272.1176,75.5882,0.0000,0.0010,0.0003,
01:54:40:303,22149073793210,36.0281,3594,18.1540,499.5963,138.7768,10.6240,282.7440,78.5400,0.0000,0.0010,0.0003,
01:54:41:304,22152275763662,37.0288,3600,18.0231,517.6228,143.7841,10.5029,293.2488,81.4580,0.0000,0.0010,0.0003,
01:54:42:305,22155477734548,38.0294,3600,18.0848,535.7111,148.8086,10.5489,303.7997,84.3888,0.0000,0.0010,0.0003,
01:54:43:305,22158679700756,39.0300,3580,18.0487,553.7631,153.8231,10.5193,314.3210,87.3114,0.0000,0.0010,0.0003,
01:54:44:306,22161881671543,40.0306,3383,11.5906,565.3560,157.0433,6.3940,320.7162,89.0878,0.0000,0.0010,0.0003,
01:54:45:307,22165083733992,41.0313,3598,18.0808,583.4407,162.0669,10.5230,331.2415,92.0115,0.0000,0.0010,0.0003,
01:54:46:307,22168285682420,42.0319,3600,18.1461,601.5901,167.1084,10.5778,341.8212,94.9503,0.0000,0.0010,0.0003,
01:54:47:308,22171487644864,43.0325,3599,18.1000,619.6935,172.1371,10.5520,352.3751,97.8820,0.0000,0.0010,0.0003,
01:54:48:308,22174689614542,44.0331,3599,18.2450,637.9420,177.2061,10.6455,363.0226,100.8396,0.0000,0.0010,0.0003,
01:54:49:309,22177891674112,45.0338,3599,18.1277,656.0731,182.2425,10.5810,373.6057,103.7793,0.0000,0.0010,0.0003,
01:54:50:310,22181093717757,46.0344,3599,18.3259,674.4028,187.3341,10.7096,384.3176,106.7549,0.0000,0.0010,0.0003,
01:54:51:310,22184295688119,47.0350,3599,18.1145,692.5208,192.3669,10.5618,394.8813,109.6893,0.0000,0.0010,0.0003,
01:54:52:311,22187497667380,48.0356,3600,18.2506,710.7750,197.4375,10.6727,405.5561,112.6545,0.0000,0.0010,0.0003,
01:54:53:312,22190699787569,49.0363,3575,18.3903,729.1696,202.5471,10.7301,416.2888,115.6358,0.0000,0.0010,0.0003,
01:54:54:312,22193901776576,50.0369,3598,18.2829,747.4560,207.6267,10.6701,426.9610,118.6003,0.0000,0.0010,0.0003,
01:54:55:313,22197103950653,51.0376,3598,18.0984,765.5584,212.6551,10.5702,437.5335,121.5371,0.0010,0.0020,0.0005,
01:54:56:314,22200305930004,52.0382,3560,18.3695,783.9316,217.7588,10.7467,448.2823,124.5229,0.0000,0.0020,0.0005,
01:54:57:314,22203507929844,53.0389,3561,18.1459,802.0811,222.8003,10.5773,458.8618,127.4616,0.0000,0.0020,0.0005,
01:54:58:315,22206709926388,54.0395,3600,18.2795,820.3642,227.8789,10.7155,469.5793,130.4387,0.0000,0.0020,0.0005,
01:54:59:315,22209911926938,55.0401,3600,18.2289,838.5967,232.9435,10.6336,480.2150,133.3931,0.0000,0.0020,0.0005,
