frame,value
0,0.924871
1,0.894914
2,0.881020
3,0.873116
4,0.873998
5,0.877514
6,0.877226
7,0.874018
8,0.869588
9,0.862395
10,0.858762
11,0.853229
12,0.926535
13,0.902736
14,0.900765
15,0.891740
16,0.882191
17,0.871671
18,0.864597
19,0.863149
20,0.858216
21,0.861851
22,0.864051
23,0.859292
24,0.926096
25,0.896523
26,0.876762
27,0.866045
28,0.860163
29,0.857998
30,0.859653
31,0.858810
32,0.859226
33,0.860873
34,0.855933
35,0.853888
36,0.929253
37,0.892304
38,0.873440
39,0.862689
40,0.856401
41,0.853122
42,0.851081
43,0.848350
44,0.848893
45,0.851660
46,0.848242
47,0.849036
48,0.928710
49,0.901060
50,0.883469
51,0.869431
52,0.863044
53,0.858628
54,0.852934
55,0.849092
56,0.847263
57,0.846026
58,0.845589
59,0.846318
60,0.930084
61,0.891656
62,0.875921
63,0.868125
64,0.864528
65,0.859320
66,0.858115
67,0.855044
68,0.857163
69,0.853871
70,0.855352
71,0.850956
72,0.929369
73,0.883612
74,0.866974
75,0.715364
76,0.865453
77,0.847684
78,0.693699
79,0.856908
80,0.690097
81,0.849724
82,0.694730
83,0.844600
84,0.921371
85,0.719004
86,0.533497
87,0.417054
88,0.343900
89,0.707249
90,0.840327
91,0.829088
92,0.708080
93,0.818956
94,0.689068
95,0.814786
96,0.917873
97,0.755492
98,0.588193
99,0.469973
100,0.394435
101,0.685639
102,0.831808
103,0.829789
104,0.658317
105,0.834250
106,0.686729
107,0.831276
108,0.920645
109,0.743180
110,0.600741
111,0.503645
112,0.430208
113,0.705563
114,0.830865
115,0.714929
116,0.818632
117,0.814046
118,0.694879
119,0.811900
120,0.917968
121,0.730284
122,0.568085
123,0.470067
124,0.410419
125,0.703315
126,0.843618
127,0.692000
128,0.819003
129,0.684964
130,0.810920
131,0.738171
132,0.920499
133,0.747074
134,0.581589
135,0.487556
136,0.719249
137,0.842807
138,0.831532
139,0.676536
140,0.821842
141,0.656374
142,0.817107
143,0.719076
144,0.918941
145,0.733904
146,0.552971
147,0.434830
148,0.687306
149,0.825301
150,0.668850
151,0.825411
152,0.822034
153,0.678366
154,0.815109
155,0.703159
156,0.917446
157,0.691368
158,0.469623
159,0.337307
160,0.269550
161,0.678222
162,0.822323
163,0.815102
164,0.809849
165,0.672698
166,0.813286
167,0.812002
168,0.919150
169,0.737269
170,0.574570
171,0.445869
172,0.361611
173,0.305793
174,0.657804
175,0.819939
176,0.815407
177,0.809680
178,0.687590
179,0.811651
180,0.917488
181,0.729333
182,0.557436
183,0.453091
184,0.390533
185,0.650992
186,0.837647
187,0.665550
188,0.817591
189,0.681433
190,0.808524
191,0.726363
192,0.916157
193,0.733330
194,0.565857
195,0.454960
196,0.688579
197,0.828748
198,0.817353
199,0.675179
200,0.809419
201,0.672164
202,0.805574
203,0.720196
204,0.916936
205,0.704767
206,0.517337
207,0.395945
