frame,value
0,25.981203
1,24.324949
2,23.812586
3,23.501724
4,23.418339
5,23.505209
6,23.551306
7,23.500088
8,23.486609
9,23.342747
10,23.350012
11,23.194382
12,26.965887
13,24.957743
14,24.630789
15,24.170074
16,23.976528
17,23.799032
18,23.551870
19,23.508595
20,23.231749
21,23.399487
22,23.504690
23,23.363388
24,26.890682
25,24.810722
26,24.072363
27,23.700047
28,23.530960
29,23.425009
30,23.249115
31,17.164513
32,17.820801
33,23.490364
34,17.586075
35,17.500381
36,25.943138
37,17.329027
38,14.568160
39,13.449064
40,12.859439
41,12.520780
42,12.260616
43,12.041465
44,17.153101
45,21.384235
46,16.993305
47,17.271688
48,25.934265
49,18.000765
50,15.114664
51,13.570463
52,12.824711
53,12.349963
54,12.031326
55,11.843534
56,17.762743
57,21.004324
58,17.629034
59,17.801462
60,26.099249
61,17.477772
62,14.656175
63,13.548153
64,12.958139
65,12.555794
66,12.303477
67,12.068635
68,17.436861
69,21.004726
70,17.234522
71,17.634058
72,26.127251
73,17.896048
74,15.364551
75,14.203114
76,13.361586
77,12.840029
78,12.523629
79,17.369926
80,21.220520
81,16.806150
82,14.707246
83,17.557600
84,26.122753
85,17.516012
86,14.881702
87,13.792795
88,13.163642
89,12.808844
90,12.510809
91,17.792912
92,21.206564
93,18.079777
94,20.935274
95,18.288029
96,25.873947
97,18.446390
98,15.576114
99,14.184039
100,13.424777
101,12.926299
102,12.631725
103,12.459831
104,12.383291
105,16.781281
106,21.182892
107,18.411343
108,26.052214
109,18.202398
110,15.841554
111,14.566894
112,13.726731
113,13.190220
114,12.801003
115,12.517608
116,17.754374
117,21.155756
118,17.686430
119,18.198574
120,25.945375
121,17.919226
122,15.440113
123,14.293839
124,13.627785
125,13.254319
126,12.895868
127,17.267569
128,21.118168
129,17.244389
130,15.019806
131,18.171741
132,26.097452
133,18.404842
134,15.678880
135,14.555276
136,13.734146
137,13.204055
138,17.615383
139,21.035194
140,17.066309
141,14.781251
142,16.950260
143,21.041201
144,25.965359
145,18.094170
146,15.356781
147,14.040516
148,13.351844
149,12.953911
150,12.693504
151,12.542402
152,12.362293
153,12.193483
154,17.208111
155,21.028732
156,25.895599
157,17.203085
158,14.334791
159,13.090700
160,12.534215
161,12.215147
162,11.994710
163,11.847672
164,11.794052
165,17.532888
166,21.142830
167,18.004889
168,26.051271
169,18.134401
170,15.544426
171,13.999646
172,13.216794
173,12.749476
174,12.442190
175,12.209764
176,12.071632
177,17.468967
178,21.127876
179,18.191423
180,25.922119
181,17.949856
182,15.332924
183,14.145748
184,13.499467
185,13.047511
186,12.789558
187,12.431371
188,12.178292
189,17.543552
190,21.079132
191,17.934971
192,25.837118
193,18.051334
194,15.504120
195,14.207531
196,13.364448
197,12.817925
198,12.424795
199,12.185127
200,17.459644
201,21.037260
202,17.304932
203,17.783590
204,25.861334
205,17.518536
206,14.897576
207,13.570815
208,12.795772
209,12.296751
210,12.009677
211,11.840552
212,17.225449
213,20.939960
214,17.202742
215,17.752157
216,25.895233
217,17.734085
218,14.967866
219,13.774494
220,13.037457
221,12.579041
222,12.242440
223,11.961372
224,17.225437
225,21.076683
226,17.288254
227,17.501926
228,25.807493
229,17.560598
230,14.689079
231,13.402458
232,12.708284
233,12.289113
234,11.991021
235,11.780717
236,17.249105
237,20.967926
238,16.907948
239,17.371138
240,25.799652
241,17.260933
242,14.707562
243,13.496542
244,12.798238
245,12.379777
246,12.113348
247,11.848467
248,17.075191
249,20.943321
250,16.687035
251,16.969919
252,25.845589
253,17.147795
254,14.674399
255,13.503541
256,12.925645
257,12.557305
258,12.186574
259,11.832264
260,16.771942
261,20.923265
262,16.652016
263,17.116755
264,25.840483
265,16.555634
266,14.336974
267,13.115744
268,12.341404
269,11.909613
270,11.644813
271,11.465740
272,16.712828
273,20.987095
274,16.832409
275,16.977755
276,25.875559
277,17.015026
278,14.607490
279,13.436452
280,12.639602
281,12.166515
282,11.830806
283,11.638338
284,16.761328
285,21.126848
286,16.599138
287,16.909655
288,25.867357
289,16.936985
290,14.318727
291,13.068931
292,12.440267
293,12.064945
294,11.811587
295,11.649714
296,16.433308
297,21.104927
298,16.283348
299,17.019825
300,26.020384
301,16.677727
302,14.080399
303,12.763168
304,12.064298
305,11.777397
306,11.576941
307,16.652805
308,21.128298
309,16.258881
310,13.881156
311,14.999941
312,26.170294
313,14.960473
314,12.635680
315,11.913911
316,11.561131
317,11.257610
318,11.142257
319,11.052052
320,15.183978
321,21.208105
322,15.091309
323,15.180334
324,25.958456
325,15.296837
326,13.121005
327,12.156945
328,11.711220
329,11.455736
330,11.306762
331,11.191524
332,16.505522
333,21.130930
334,16.681999
335,16.820875
336,25.947491
337,16.999380
338,14.489663
339,13.325867
340,12.682848
341,12.252081
342,11.967546
343,16.546015
344,21.198431
345,16.386545
346,14.099543
347,16.798445
348,25.957661
349,16.807022
350,14.384624
351,13.185232
352,12.498903
353,12.088805
354,11.818183
355,16.262215
356,21.147266
357,16.137182
358,13.992237
359,16.219830
360,25.903076
361,16.401489
362,14.171842
363,13.126305
364,12.452929
365,11.907970
366,11.432026
367,15.226714
368,21.344986
369,14.873559
370,12.979273
371,16.015549
372,26.050678
373,15.832421
374,13.283975
375,12.192491
376,11.627953
377,11.347094
378,11.128750
379,15.425185
380,21.232994
381,14.951950
382,12.961322
383,15.502710
384,26.089533
385,15.234365
386,12.857926
387,11.965474
388,11.489371
389,11.220992
390,11.036402
391,10.896980
392,15.088449
393,21.280910
394,14.670535
395,14.352903
396,26.264013
397,14.450040
398,12.386951
399,11.565603
400,11.180253
401,10.930677
402,10.789555
403,10.689721
404,14.589891
405,21.376612
406,14.317792
407,13.958930
408,26.691587
409,13.888244
410,12.153540
411,11.432435
412,11.149957
413,10.916448
414,10.763343
415,10.612200
416,14.015949
417,21.780296
418,13.863322
419,13.719225
420,26.745453
421,13.790822
422,12.148983
423,11.488342
424,11.140075
425,10.943343
426,10.759098
427,10.600400
428,14.304776
429,21.495262
430,14.474048
431,14.013615
432,26.445248
433,14.346654
434,12.334970
435,11.566613
436,11.138412
437,10.931237
438,10.746870
439,10.595366
440,14.494682
441,21.394012
442,14.752325
443,15.076020
444,26.174990
445,14.454571
446,12.414498
447,11.567720
448,11.081880
449,10.782124
450,10.591083
451,10.436895
452,14.517132
453,21.335888
454,14.449297
455,14.879468
456,26.387053
457,14.498840
458,12.531554
459,11.752172
460,11.300592
461,11.005250
462,10.810551
463,10.625607
464,10.472343
465,15.038082
466,21.280912
467,16.025267
468,26.116583
469,16.432936
470,13.917785
471,12.459919
472,11.593928
473,11.098381
474,10.767202
475,10.572251
476,10.451852
477,15.850016
478,21.107557
479,16.016245
480,26.154642
481,15.690818
482,13.159504
483,12.002669
484,11.484436
485,11.145288
486,10.955502
487,10.862144
488,10.786053
489,15.895477
490,21.256914
491,15.905769
492,26.127882
