frame,value
0,27.995731
1,26.945498
2,26.458727
3,26.302137
4,26.219177
5,26.032059
6,25.935148
7,23.543360
8,21.313375
9,20.792814
10,19.815897
11,24.192009
12,27.945219
13,24.503407
14,21.572142
15,20.402521
16,19.284380
17,18.808184
18,18.558807
19,18.447954
20,18.103077
21,17.848455
22,17.608063
23,24.571543
24,28.015825
25,23.757853
26,21.271641
27,19.956974
28,18.782030
29,18.228115
30,17.830008
31,17.544949
32,17.352640
33,17.125341
34,17.054813
35,24.362545
36,28.023129
37,23.991262
38,21.254692
39,19.787783
40,19.134636
41,18.506958
42,18.465782
43,18.253889
44,18.143969
45,18.252371
46,18.232529
47,24.980810
48,28.163334
49,23.640179
50,22.046007
51,20.463938
52,19.833652
53,19.173481
54,19.079275
55,18.923824
56,18.736845
57,18.532219
58,18.361746
59,24.876913
60,28.089298
61,25.171495
62,21.833838
63,20.371593
64,19.501883
65,19.204256
66,18.693094
67,18.401884
68,18.069790
69,17.882298
70,17.665831
71,24.739859
72,28.070274
73,25.166550
74,22.469997
75,21.351231
76,20.101070
77,19.626120
78,19.173664
79,18.877012
80,18.621319
81,18.493248
82,18.370457
83,23.240807
84,28.185486
85,24.842571
86,22.723907
87,21.200184
88,19.813826
89,19.199051
90,18.884398
91,18.629869
92,18.359207
93,18.116755
94,18.001919
95,25.423733
96,28.121721
97,24.885324
98,21.744972
99,19.556250
100,18.863365
101,18.348528
102,18.254707
103,17.849937
104,17.810871
105,17.644764
106,17.690395
107,24.674793
108,28.087261
109,23.444750
110,21.593658
111,20.506151
112,19.830292
113,19.397491
114,19.178070
115,18.873047
116,18.614119
117,18.468739
118,18.256737
119,23.809629
120,28.262058
121,24.003006
122,21.953342
123,20.815626
124,19.697174
125,19.169712
126,18.796953
127,18.613708
128,18.282158
129,18.074612
130,17.906227
131,24.046812
132,28.107647
133,24.027260
134,21.843317
135,20.168577
136,19.088505
137,18.338737
138,18.109331
139,17.645493
140,17.464405
141,17.196409
142,17.105314
143,23.992544
144,28.273830
145,23.684343
146,21.540609
147,19.832129
148,18.939600
149,18.465809
150,18.403492
151,18.027683
152,17.893333
153,17.827438
154,17.833620
155,23.546726
156,28.240400
157,23.456059
158,21.592264
159,20.249079
160,19.641876
161,19.157461
162,18.914736
163,18.746124
164,18.695879
165,18.480341
166,18.310459
167,24.207457
168,28.222023
169,24.853962
170,21.952930
171,20.550894
172,19.293053
173,19.009121
174,18.615973
175,18.549797
176,18.305344
177,18.208683
178,17.886610
179,24.800644
180,28.366924
181,24.607229
182,21.904789
183,20.404072
184,19.698235
185,19.298977
186,18.972687
187,18.651495
188,18.501913
189,18.282860
190,18.116777
191,22.715225
192,28.146507
193,24.217386
194,21.596251
195,20.176573
196,19.233578
197,18.954124
198,18.643412
199,18.486982
200,18.308727
201,18.052431
202,17.826336
203,24.210546
204,28.275724
205,23.439644
206,21.287748
207,19.860727
208,19.124607
209,18.612516
210,18.434782
211,18.342318
212,18.214256
213,17.966158
214,17.583061
215,24.335722
216,28.291485
217,24.012255
218,21.156021
219,19.408371
220,18.802444
221,18.379179
222,18.238329
223,17.770041
224,17.620945
225,17.421089
226,17.243296
227,22.494389
228,28.208969
229,23.316544
230,20.930780
231,19.868797
232,19.020079
233,18.707533
234,18.535719
235,18.273882
236,17.913799
237,17.726652
238,17.354042
239,22.394985
240,28.112604
241,23.215918
242,20.642338
243,19.334450
244,18.473766
245,18.235210
246,17.928778
247,17.735813
248,17.555132
249,17.400839
250,17.038092
251,23.454199
252,28.123703
253,24.013956
254,20.840628
255,19.417253
256,18.697994
257,18.396994
258,18.103901
259,17.852577
260,17.675907
261,17.527555
262,17.359375
263,23.664627
264,28.226679
265,23.159845
266,20.744352
267,18.976200
268,18.256914
269,17.759428
270,17.478870
271,17.094173
272,16.743679
273,16.572491
274,16.364716
275,23.232338
276,28.162170
277,23.702759
278,20.980816
279,19.351881
280,17.996342
281,17.501579
282,17.091894
283,16.801476
284,16.450081
285,16.296270
286,16.059759
287,22.939873
288,28.273418
289,23.352821
290,20.101694
291,18.963221
292,18.486498
293,18.286512
294,17.953688
295,17.636042
296,17.523607
297,17.188799
298,16.915766
299,22.702795
300,28.378212
301,22.424967
302,19.793129
303,18.899269
304,18.184412
305,17.927134
306,17.559303
307,17.256372
308,16.865198
309,16.811001
310,16.746977
311,22.690058
312,28.305983
313,22.833344
314,20.673620
315,19.461235
316,18.698372
317,18.165291
318,17.991287
319,17.642227
320,17.279205
321,16.957651
322,16.802753
323,23.736204
324,28.376226
325,23.429716
326,20.961351
327,19.317425
328,18.720110
329,18.418976
330,18.135920
331,17.849707
332,17.312696
333,17.028328
334,16.813675
335,23.310831
336,28.176367
337,22.546936
338,20.300640
339,19.278894
340,18.541010
341,18.221668
342,17.822098
343,17.500103
344,17.107653
345,16.825144
346,16.616400
347,22.139338
348,28.477701
349,23.708389
350,20.680761
351,19.485153
352,18.813723
353,18.244480
354,17.870590
355,17.497658
356,17.087141
357,16.789312
358,16.544651
359,22.425831
360,28.289846
361,22.929176
362,20.364239
363,19.023792
364,18.139893
365,17.829227
366,17.665535
367,17.426880
368,17.041790
369,16.707594
370,16.563509
371,23.450171
372,28.186392
373,22.764452
374,20.313168
375,19.028250
376,18.721653
377,18.268690
378,18.090517
379,17.840273
380,17.572849
381,17.236982
382,17.066811
383,23.050083
384,28.145121
385,21.546509
386,19.762884
387,18.661400
388,18.077684
389,17.753189
390,17.392221
391,16.996420
392,16.615730
393,16.434843
394,16.290213
395,22.354351
396,28.125101
397,23.178921
398,20.459583
399,18.962021
400,18.178608
401,17.821423
402,17.475012
403,17.148441
404,16.823210
405,16.666243
406,16.459995
407,23.018761
408,28.222210
409,23.807377
410,20.389643
411,19.378420
412,18.537338
413,18.079756
414,17.720947
415,17.345554
416,16.914883
417,16.584743
418,16.492838
419,22.508360
420,28.128294
421,22.192112
422,19.861448
423,18.754595
424,18.286709
425,17.924099
426,17.788031
427,17.519419
428,17.246504
429,16.861683
430,16.638336
431,22.424402
432,28.460056
433,21.999790
434,19.644907
435,18.271063
436,17.553925
437,17.115049
438,16.879564
439,16.408955
440,16.096973
441,15.898929
442,15.699587
443,22.009403
444,28.409945
445,23.217506
446,20.051594
447,18.655197
448,17.692343
449,17.428905
450,17.071405
451,16.756088
452,16.279226
453,16.041218
454,15.803952
455,23.049623
456,28.259808
457,19.983225
458,20.111858
459,18.776424
460,17.260658
461,16.845968
462,16.580439
463,16.171511
464,15.939890
465,15.734530
466,15.513202
467,22.080448
468,28.298552
469,22.468683
470,19.651863
471,18.185265
472,17.624083
473,17.192673
474,17.038242
475,16.571196
476,16.410112
477,16.034351
478,15.891206
479,22.648731
480,28.126125
481,21.692165
482,19.385775
483,17.773129
484,17.205194
485,16.786959
486,16.511417
487,16.197655
488,15.925395
489,15.562860
490,15.401866
491,21.626907
492,28.467295
493,21.360695
494,18.519762
495,17.739470
496,16.971594
497,16.621840
498,16.323072
499,16.062544
average,20.116848
