frame,value
0,0.907697
1,0.890797
2,0.893637
3,0.904197
4,0.902643
5,0.899166
6,0.900156
7,0.900682
8,0.900169
9,0.898650
10,0.900305
11,0.900856
12,0.940247
13,0.923764
14,0.920215
15,0.917517
16,0.917991
17,0.914686
18,0.912384
19,0.910263
20,0.911161
21,0.909072
22,0.908609
23,0.907005
24,0.939024
25,0.918694
26,0.913936
27,0.912900
28,0.909967
29,0.909266
30,0.905177
31,0.906314
32,0.903563
33,0.904348
34,0.900960
35,0.898967
36,0.936613
37,0.916878
38,0.911899
39,0.908654
40,0.907336
41,0.907237
42,0.907025
43,0.906814
44,0.906231
45,0.907760
46,0.909893
47,0.908945
48,0.944100
49,0.920228
50,0.920500
51,0.916238
52,0.918275
53,0.915850
54,0.914380
55,0.913958
56,0.916118
57,0.914620
58,0.913200
59,0.912082
60,0.942434
61,0.923497
62,0.919368
63,0.917261
64,0.914818
65,0.916431
66,0.912760
67,0.916453
68,0.911412
69,0.910404
70,0.909752
71,0.909112
72,0.939350
73,0.922186
74,0.920062
75,0.916409
76,0.919722
77,0.917670
78,0.916687
79,0.915378
80,0.917497
81,0.913145
82,0.912378
83,0.910959
84,0.945618
85,0.926775
86,0.927298
87,0.922335
88,0.926352
89,0.919018
90,0.919004
91,0.921878
92,0.916172
93,0.915444
94,0.914121
95,0.916198
96,0.942926
97,0.930321
98,0.921543
99,0.925565
100,0.918233
101,0.921637
102,0.914441
103,0.915237
104,0.913898
105,0.913196
106,0.913618
107,0.909143
108,0.942841
109,0.923798
110,0.922349
111,0.923120
112,0.917804
113,0.917027
114,0.918936
115,0.917820
116,0.918029
117,0.914969
118,0.917860
119,0.911794
120,0.947745
121,0.925107
122,0.925071
123,0.920339
124,0.919714
125,0.923294
126,0.917496
127,0.918989
128,0.916508
129,0.917583
130,0.912741
131,0.913216
132,0.940912
133,0.922380
134,0.918199
135,0.925847
136,0.915680
137,0.918153
138,0.913333
139,0.918919
140,0.912195
141,0.914646
142,0.910333
143,0.906927
144,0.942145
145,0.920040
146,0.919037
147,0.912694
148,0.916000
149,0.909822
150,0.922855
151,0.908125
152,0.916550
153,0.908675
154,0.913394
155,0.911040
156,0.943467
157,0.923110
158,0.919349
159,0.920278
160,0.918144
161,0.920553
162,0.915626
163,0.919290
164,0.920947
165,0.923647
166,0.917912
167,0.921625
168,0.945161
169,0.937406
170,0.925572
171,0.928653
172,0.922639
173,0.925812
174,0.918090
175,0.919792
176,0.918041
177,0.916582
178,0.916431
179,0.919076
180,0.948621
181,0.923948
182,0.928811
183,0.920453
