frame,value
0,32.949451
1,31.021814
2,29.846628
3,29.409210
4,29.021688
5,29.050558
6,29.052259
7,28.788872
8,28.859232
9,29.128428
10,29.273685
11,29.135199
12,32.392967
13,29.557299
14,29.144466
15,28.888365
16,28.750816
17,28.704645
18,28.838995
19,28.881048
20,29.000048
21,29.364304
22,29.374605
23,29.277464
24,32.383537
25,29.742567
26,29.693893
27,29.547552
28,29.526258
29,29.612093
30,29.665661
31,29.636909
32,29.465954
33,29.599144
34,29.562189
35,29.615120
36,32.886360
37,29.949902
38,29.781231
39,29.455690
40,29.553991
41,29.491152
42,29.542564
43,29.733107
44,29.803020
45,29.762863
46,29.707811
47,30.231409
48,34.239548
49,30.759499
50,30.666355
51,30.567919
52,30.261837
53,29.988113
54,29.886042
55,29.826715
56,33.303276
57,30.228617
58,30.000277
59,29.695877
60,29.672054
61,29.468809
62,29.395479
63,29.547642
64,29.703510
65,35.807121
66,32.388103
67,36.049438
68,32.227173
69,35.978317
70,36.243526
71,36.083347
72,32.213383
73,31.888288
74,37.221031
75,37.551720
76,32.713528
77,37.105450
78,37.316902
79,37.389565
80,37.383747
81,36.599663
82,36.211460
83,35.890339
84,36.452766
85,36.756565
86,36.870426
87,36.653790
88,36.499294
89,36.075127
90,35.798340
91,35.690437
92,32.219772
93,35.939182
94,32.341415
95,32.338253
96,32.256020
97,36.146538
98,32.681805
99,32.629250
100,32.553383
101,36.092094
102,32.467522
103,32.161709
104,32.094231
105,32.134811
106,32.263569
107,32.309589
108,32.130127
109,32.266930
110,32.349392
111,37.242649
112,33.461933
113,33.015175
114,32.821415
115,34.445934
116,30.881886
117,30.780571
118,30.706911
119,30.905313
120,30.963509
121,31.198112
122,31.559727
123,31.416731
124,35.053982
125,35.077282
126,35.198795
127,35.228477
128,34.889683
129,34.588024
130,34.311226
131,33.788776
132,33.832577
133,33.938587
134,33.589310
135,33.594143
136,33.575356
137,33.615288
138,30.482164
139,33.195881
140,30.145224
141,29.458166
142,29.097658
143,28.877150
144,28.783266
145,28.864843
146,28.918400
147,28.924692
148,28.964745
149,28.844566
150,28.836464
151,32.998856
152,30.245506
153,29.909304
154,29.713898
155,29.607080
156,34.421448
157,30.860846
158,30.570465
159,30.558668
160,30.653152
161,30.862095
162,34.266415
163,31.075605
164,34.336376
165,31.166361
166,34.398590
167,34.458397
168,34.385036
169,34.285767
170,34.469482
171,34.535282
172,34.389683
173,34.385574
174,34.383175
175,34.703011
176,34.917965
177,31.052719
178,31.051674
179,31.143570
180,31.125948
181,34.882442
182,35.009468
183,30.612028
184,28.678793
185,28.834768
186,29.010248
187,28.793680
188,29.414398
189,29.745981
190,30.024946
191,30.164738
192,30.682138
193,34.916771
194,34.660923
195,35.030502
196,34.962894
197,34.682636
198,34.746658
199,34.068550
200,33.873032
201,33.599995
202,33.715824
203,33.534916
204,33.993160
205,33.881500
206,33.759434
207,33.399456
208,33.323391
209,33.218166
210,30.037479
211,29.571724
212,29.278225
213,29.168764
214,28.836527
215,28.646568
216,28.433851
217,28.236971
218,27.853964
219,27.550753
220,27.499737
221,31.369896
222,28.807549
223,28.192724
224,27.806120
225,27.442545
226,27.157398
227,27.072027
228,27.176863
229,27.549913
230,27.923943
231,28.272928
232,27.878845
233,32.154881
234,28.754890
235,28.649477
236,28.489477
237,28.498426
238,28.718546
239,28.793344
240,28.869228
241,32.239731
242,28.945837
243,28.806131
244,28.730669
245,28.742046
246,28.623768
247,28.673761
248,28.627037
249,28.535873
250,28.386839
251,28.356493
252,27.998775
253,31.834034
254,28.280951
255,27.735115
256,27.414383
257,27.389595
258,27.286221
259,27.104162
260,26.917725
261,26.759098
262,26.692282
263,27.116383
264,27.417130
265,31.039452
266,29.350855
267,28.739239
268,28.172472
269,28.037132
270,27.866671
271,27.833776
272,27.869022
273,28.072155
274,28.217989
275,28.321894
276,28.340126
277,32.004913
278,30.016348
279,29.803122
