frame,value
0,0.965856
1,0.947529
2,0.939497
3,0.937753
4,0.928185
5,0.918713
6,0.911893
7,0.908033
8,0.913584
9,0.920077
10,0.921016
11,0.927635
12,0.966058
13,0.933087
14,0.924362
15,0.920639
16,0.912229
17,0.907673
18,0.916126
19,0.916571
20,0.920368
21,0.925808
22,0.922203
23,0.914985
24,0.960274
25,0.907341
26,0.910163
27,0.907433
28,0.906430
29,0.913320
30,0.917914
31,0.926288
32,0.929069
33,0.936022
34,0.940245
35,0.941890
36,0.971124
37,0.947717
38,0.945825
39,0.935934
40,0.929967
41,0.925256
42,0.931045
43,0.934904
44,0.934497
45,0.934405
46,0.935645
47,0.937560
48,0.975253
49,0.948861
50,0.950836
51,0.950912
52,0.947340
53,0.942970
54,0.938341
55,0.939852
56,0.940038
57,0.969003
58,0.943785
59,0.938592
60,0.931532
61,0.931429
62,0.931116
63,0.928990
64,0.931305
65,0.975747
66,0.975837
67,0.977204
68,0.940760
69,0.977504
70,0.977111
71,0.977116
72,0.976968
73,0.943080
74,0.979010
75,0.978354
76,0.978076
77,0.977965
78,0.978347
79,0.978399
80,0.978915
81,0.978691
82,0.977653
83,0.976870
84,0.977421
85,0.977325
86,0.979413
87,0.979061
88,0.979134
89,0.977854
90,0.977057
91,0.976389
92,0.976818
93,0.976466
94,0.945973
95,0.977508
96,0.949186
97,0.979105
98,0.953408
99,0.953122
100,0.952003
101,0.950528
102,0.949261
103,0.948738
104,0.948186
105,0.981204
106,0.952446
107,0.956351
108,0.955530
109,0.955723
110,0.955152
111,0.981758
112,0.961431
113,0.958084
114,0.956126
115,0.982013
116,0.957550
117,0.955988
118,0.956031
119,0.955566
120,0.957212
121,0.959778
122,0.959928
123,0.960564
124,0.982058
125,0.982402
126,0.982921
127,0.983237
128,0.983619
129,0.983225
130,0.982206
131,0.982187
132,0.982143
133,0.981442
134,0.981518
135,0.981591
136,0.981610
137,0.980708
138,0.980725
139,0.952660
140,0.979049
141,0.948417
142,0.939052
143,0.928887
144,0.920838
145,0.919151
146,0.916859
147,0.916750
148,0.915992
149,0.915922
150,0.914460
151,0.911683
152,0.968647
153,0.940441
154,0.933037
155,0.928526
156,0.969242
157,0.922923
158,0.925474
159,0.924452
160,0.930445
161,0.976954
162,0.977972
163,0.977934
164,0.976859
165,0.977939
166,0.976972
167,0.976827
168,0.976239
169,0.975914
170,0.975738
171,0.975636
172,0.976710
173,0.975373
174,0.975746
175,0.976019
176,0.975979
177,0.976355
178,0.976487
179,0.976638
180,0.976888
181,0.977085
182,0.977808
183,0.963087
184,0.942828
185,0.942114
186,0.938884
187,0.946295
188,0.952035
189,0.957406
190,0.956902
191,0.955094
192,0.979623
193,0.980949
194,0.980773
195,0.980938
196,0.979646
197,0.979749
198,0.979081
199,0.980318
200,0.980781
201,0.980153
202,0.980554
203,0.977101
204,0.978218
205,0.978422
206,0.978260
207,0.978270
208,0.978338
209,0.978363
210,0.956215
211,0.947878
212,0.938537
213,0.930420
214,0.917323
215,0.905737
216,0.895300
217,0.889981
218,0.884959
219,0.877565
220,0.873690
221,0.953010
222,0.895981
223,0.883658
224,0.880285
225,0.882060
226,0.883857
227,0.888223
228,0.894509
229,0.904275
230,0.919603
231,0.926722
232,0.926970
233,0.976198
234,0.941430
235,0.941073
236,0.940109
237,0.935906
238,0.931049
239,0.924764
240,0.922045
241,0.916925
242,0.966088
243,0.925012
244,0.921311
245,0.917109
246,0.916251
247,0.915556
248,0.914861
249,0.913761
250,0.911790
251,0.912078
252,0.906492
253,0.902830
254,0.962983
255,0.916146
256,0.905731
257,0.899590
258,0.896145
259,0.892912
260,0.889173
261,0.887505
262,0.885510
263,0.887899
264,0.889728
265,0.957663
266,0.939272
267,0.931162
268,0.928937
269,0.930502
270,0.932615
271,0.935311
272,0.937398
273,0.940135
274,0.945824
275,0.945715
276,0.948104
277,0.981803
278,0.972453
279,0.969673
280,0.966835
281,0.964736
282,0.963134
283,0.961947
284,0.961137
285,0.960523
286,0.960052
287,0.958853
288,0.957985
289,0.981099
290,0.972828
291,0.968743
292,0.966512
293,0.966003
294,0.965924
295,0.967058
296,0.968711
297,0.968759
298,0.969243
299,0.969591
300,0.969297
301,0.987581
302,0.982149
303,0.979513
304,0.978275
305,0.978051
306,0.977963
307,0.978153
308,0.977950
309,0.978733
310,0.978600
311,0.978352
312,0.977992
313,0.990224
314,0.985876
315,0.983632
316,0.982003
317,0.980931
318,0.980174
319,0.979563
320,0.979021
321,0.978462
322,0.978183
323,0.977333
324,0.976827
325,0.989988
326,0.985685
327,0.983160
328,0.981832
329,0.980856
330,0.980069
331,0.979491
332,0.979143
333,0.978597
334,0.978072
335,0.977778
336,0.977256
337,0.990097
338,0.985831
339,0.983501
340,0.981968
341,0.982011
342,0.981351
343,0.981006
344,0.980525
345,0.980117
346,0.979719
347,0.979305
348,0.979122
349,0.990950
350,0.987309
351,0.985523
352,0.984090
353,0.983609
354,0.982899
355,0.982392
356,0.981995
357,0.981172
358,0.980746
359,0.980274
360,0.979859
361,0.990318
362,0.990910
363,0.984747
364,0.983219
365,0.982896
366,0.980278
367,0.979135
368,0.977612
369,0.977150
370,0.975963
371,0.975702
372,0.974825
373,0.972773
374,0.989056
375,0.980054
376,0.978294
377,0.977596
378,0.976506
379,0.975779
380,0.976146
381,0.976267
382,0.976117
383,0.978204
384,0.978360
385,0.978895
386,0.991943
387,0.984448
388,0.981549
389,0.982328
390,0.981740
391,0.980984
392,0.977665
393,0.976026
394,0.973986
395,0.970192
396,0.966040
397,0.961641
398,0.980923
399,0.957933
400,0.948864
401,0.942154
402,0.935800
403,0.926405
404,0.920389
405,0.917113
406,0.917891
407,0.923022
408,0.926815
409,0.931307
410,0.975506
411,0.960552
412,0.955357
413,0.955602
414,0.957610
415,0.962274
416,0.965332
417,0.967537
418,0.992855
419,0.987829
420,0.986844
421,0.986178
422,0.983385
423,0.980310
424,0.976229
425,0.972073
426,0.967847
427,0.963920
428,0.959922
429,0.955342
430,0.974488
431,0.965101
432,0.960558
433,0.956291
434,0.954176
435,0.953058
436,0.955673
437,0.957209
438,0.959638
439,0.962006
440,0.964292
441,0.965966
442,0.987312
443,0.982061
444,0.979671
445,0.978333
446,0.977282
447,0.977041
448,0.975620
449,0.974587
450,0.972391
451,0.972239
452,0.971801
453,0.970867
454,0.987533
455,0.979265
456,0.979099
457,0.978769
458,0.979352
459,0.979498
460,0.978517
461,0.978060
462,0.976906
463,0.976054
464,0.974306
465,0.972533
466,0.987928
467,0.979036
468,0.976308
469,0.973506
470,0.971281
471,0.968877
472,0.968032
473,0.965170
474,0.965024
475,0.967795
476,0.968167
477,0.968262
478,0.986535
479,0.981458
480,0.979306
481,0.977542
482,0.976575
483,0.976764
484,0.976772
485,0.977076
486,0.977091
487,0.977679
488,0.977595
489,0.977486
490,0.991049
491,0.986680
492,0.984211
493,0.982140
494,0.980633
495,0.979216
496,0.978021
497,0.976561
498,0.975927
499,0.975416
average,0.958474
