System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
14:16:30:728,209785025606478,1.0005,3263,8.6084,8.6089,2.3914,3.4674,3.4677,0.9632,0.0000,0.0000,0.0000,
14:16:31:729,209788227659755,2.0011,3586,21.2173,29.8305,8.2863,12.8847,16.3549,4.5430,0.0000,0.0000,0.0000,
14:16:32:729,209791429899595,3.0018,3399,38.7822,68.6212,19.0614,30.3852,46.7467,12.9852,0.0000,0.0000,0.0000,
14:16:33:730,209794632136406,4.0025,3448,56.2296,124.8635,34.6843,46.2932,93.0504,25.8473,0.0000,0.0000,0.0000,
14:16:34:731,209797834512785,5.0032,3483,53.9231,178.7982,49.6662,43.9462,137.0060,38.0572,0.0014,0.0014,0.0004,
14:16:35:731,209801036727473,6.0039,3414,53.9564,232.7672,64.6576,43.9867,181.0029,50.2786,0.0000,0.0014,0.0004,
14:16:36:732,209804238849881,7.0046,3406,53.5378,286.3155,79.5321,43.5978,224.6093,62.3915,0.0000,0.0014,0.0004,
14:16:37:733,209807440999458,8.0052,3430,53.5730,339.8988,94.4163,43.6294,268.2471,74.5131,0.0000,0.0014,0.0004,
14:16:38:733,209810643184511,9.0059,3407,53.1546,393.0654,109.1848,43.2443,311.5011,86.5281,0.0000,0.0014,0.0004,
14:16:39:734,209813845314169,10.0065,3410,53.2364,446.3121,123.9756,43.3321,354.8416,98.5671,0.0000,0.0014,0.0004,
14:16:40:735,209817047507017,11.0072,3492,53.0882,499.4107,138.7252,43.1875,398.0376,110.5660,0.0000,0.0014,0.0004,
14:16:41:735,209820249641448,12.0079,3416,53.6114,553.0329,153.6202,43.6519,441.6983,122.6940,0.0000,0.0014,0.0004,
14:16:42:736,209823451770760,13.0085,3399,53.7217,606.7645,168.5457,43.7574,485.4637,134.8510,0.0000,0.0014,0.0004,
14:16:43:737,209826653898777,14.0092,3400,53.6685,660.4438,183.4566,43.7495,529.2221,147.0061,0.0000,0.0014,0.0004,
14:16:44:737,209829856071531,15.0098,3430,53.4016,713.8571,198.2936,43.4477,572.6793,159.0776,0.0000,0.0014,0.0004,
14:16:45:738,209833058152584,16.0105,3409,54.4114,768.2787,213.4107,44.4950,617.1826,171.4396,0.0000,0.0014,0.0004,
14:16:46:739,209836260339921,17.0111,3450,55.0987,823.3895,228.7193,45.1427,662.3352,183.9820,0.0000,0.0014,0.0004,
14:16:47:739,209839462335726,18.0117,3599,37.9957,861.3921,239.2756,28.8578,691.1983,191.9995,0.0000,0.0014,0.0004,
14:16:48:740,209842664528776,19.0124,3410,52.8170,914.2192,253.9498,42.9454,734.1520,203.9311,0.0000,0.0014,0.0004,
14:16:49:740,209845866595362,20.0130,3399,44.6184,958.8459,266.3461,36.1304,770.2890,213.9692,0.0000,0.0014,0.0004,
14:16:50:741,209849068722710,21.0137,3401,54.8594,1013.7153,281.5876,44.8821,815.1793,226.4387,0.0000,0.0014,0.0004,
14:16:51:742,209852270823086,22.0143,3400,55.3068,1069.0326,296.9535,45.3190,860.5069,239.0297,0.0000,0.0014,0.0004,
14:16:52:742,209855472931020,23.0150,3399,56.9845,1126.0278,312.7855,47.0066,907.5223,252.0895,0.0000,0.0014,0.0004,
14:16:53:743,209858674999857,24.0156,3413,55.4745,1181.5125,328.1979,45.5015,953.0321,264.7311,0.0000,0.0014,0.0004,
14:16:54:744,209861877084805,25.0162,3410,54.8593,1236.3818,343.4394,44.9804,998.0207,277.2280,0.0000,0.0014,0.0004,
14:16:55:744,209865079141855,26.0169,3420,56.6744,1293.0663,359.1851,46.6237,1044.6527,290.1813,0.0000,0.0014,0.0004,
14:16:56:745,209868281336061,27.0175,3399,44.3479,1337.4238,371.5066,35.6616,1080.3221,300.0895,0.0000,0.0014,0.0004,
14:16:57:746,209871483463107,28.0182,3417,58.1925,1395.6276,387.6743,48.2811,1128.6125,313.5035,0.0000,0.0014,0.0004,
14:16:58:746,209874685539659,29.0188,3399,57.2513,1452.8895,403.5804,47.2044,1175.8257,326.6182,0.0000,0.0014,0.0004,
14:16:59:747,209877887622611,30.0195,3401,57.1761,1510.0764,419.4657,47.1950,1223.0295,339.7304,0.0000,0.0014,0.0004,
14:17:00:747,209881089692279,31.0201,3399,57.1682,1567.2550,435.3486,47.2047,1270.2429,352.8452,0.0000,0.0014,0.0004,
14:17:01:748,209884291951839,32.0208,3410,56.1664,1623.4344,450.9540,46.1342,1316.3878,365.6633,0.0000,0.0014,0.0004,
14:17:02:749,209887494081448,33.0214,3435,57.4085,1680.8536,466.9038,47.5515,1363.9481,378.8745,0.0000,0.0014,0.0004,
