System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
03:07:14:450,1463703427466024,1.0005,3525,11.3057,11.3065,3.1407,4.7448,4.7451,1.3181,0.0000,0.0000,0.0000,
03:07:15:451,1463706631302062,2.0017,2388,9.6872,20.9959,5.8322,4.1112,8.8572,2.4603,0.0000,0.0000,0.0000,
03:07:16:452,1463709833732075,3.0024,3447,13.8694,34.8696,9.6860,6.1469,15.0060,4.1683,0.0000,0.0000,0.0000,
03:07:17:453,1463713035862429,4.0031,3550,21.3751,56.2491,15.6247,12.7947,27.8033,7.7232,0.0000,0.0000,0.0000,
03:07:18:453,1463716237986513,5.0037,3598,24.5547,80.8091,22.4470,15.8353,43.6420,12.1228,0.0000,0.0000,0.0000,
03:07:19:454,1463719439999540,6.0044,3591,18.5957,99.4082,27.6134,10.4962,54.1402,15.0389,0.0000,0.0000,0.0000,
03:07:20:454,1463722642037745,7.0050,3600,18.5299,117.9416,32.7616,10.3949,64.5370,17.9270,0.0000,0.0000,0.0000,
03:07:21:455,1463725844033105,8.0056,3593,18.4201,136.3651,37.8792,10.3103,74.8492,20.7915,0.0000,0.0000,0.0000,
03:07:22:456,1463729046025134,9.0062,3592,18.4034,154.7717,42.9921,10.2678,85.1189,23.6441,0.0000,0.0000,0.0000,
03:07:23:456,1463732248017771,10.0068,3595,18.4759,173.2510,48.1253,10.3447,95.4655,26.5182,0.0000,0.0000,0.0000,
03:07:24:457,1463735450037242,11.0074,3596,18.3784,191.6328,53.2313,10.2259,105.6932,29.3592,0.0000,0.0000,0.0000,
03:07:25:458,1463738652069658,12.0081,3596,18.4179,210.0541,58.3484,10.2092,115.9042,32.1956,0.0000,0.0000,0.0000,
03:07:26:458,1463741854070554,13.0087,3585,18.4610,228.5184,63.4773,10.2921,126.1982,35.0551,0.0000,0.0000,0.0000,
03:07:27:459,1463745056073454,14.0093,3589,18.3575,246.8792,68.5776,10.2183,136.4183,37.8940,0.0000,0.0000,0.0000,
03:07:28:459,1463748258089198,15.0099,3592,18.5356,265.4182,73.7273,10.3352,146.7553,40.7654,0.0000,0.0000,0.0000,
03:07:29:460,1463751460118551,16.0105,3585,18.6382,284.0599,78.9055,10.4208,157.1780,43.6606,0.0000,0.0000,0.0000,
03:07:30:461,1463754662136311,17.0111,3585,18.4099,302.4732,84.0203,10.2520,167.4319,46.5089,0.0000,0.0000,0.0000,
03:07:31:461,1463757864143054,18.0117,3590,18.5338,321.0103,89.1695,10.3518,177.7856,49.3849,0.0000,0.0000,0.0000,
03:07:32:462,1463761066203578,19.0124,3540,21.0203,342.0345,95.0096,12.1283,189.9161,52.7545,0.0000,0.0000,0.0000,
03:07:33:462,1463764268198336,20.0130,3516,21.8805,363.9189,101.0886,12.7352,202.6536,56.2927,0.0000,0.0000,0.0000,
03:07:34:463,1463767470209687,21.0136,3558,18.6425,382.5648,106.2680,10.5168,213.1723,59.2145,0.0000,0.0000,0.0000,
03:07:35:464,1463770672244049,22.0142,3594,18.7459,401.3143,111.4762,10.6007,223.7750,62.1597,0.0000,0.0000,0.0000,
03:07:36:464,1463773874249303,23.0148,3600,18.8644,420.1822,116.7173,10.7012,234.4782,65.1328,0.0000,0.0000,0.0000,
03:07:37:465,1463777076261396,24.0154,3598,19.0275,439.2130,122.0036,10.8506,245.3307,68.1474,0.0000,0.0000,0.0000,
03:07:38:466,1463780278394971,25.0161,3534,20.0296,459.2464,127.5684,11.8218,257.1548,71.4319,0.0000,0.0000,0.0000,
03:07:39:466,1463783480570727,26.0168,3474,46.5562,505.8118,140.5033,36.6090,293.7711,81.6031,0.0000,0.0000,0.0000,
03:07:40:467,1463786682710129,27.0174,3399,57.8313,563.6548,156.5708,47.7479,341.5286,94.8691,0.0000,0.0000,0.0000,
03:07:41:468,1463789884801116,28.0181,3399,58.8392,622.5051,172.9181,48.7141,390.2518,108.4033,0.0000,0.0000,0.0000,
03:07:42:468,1463793086960628,29.0187,3399,59.0332,681.5498,189.3194,48.8918,439.1532,121.9870,0.0016,0.0016,0.0004,
03:07:43:469,1463796289146600,30.0194,3399,59.1745,740.7366,205.7602,49.0545,488.2179,135.6161,0.0000,0.0016,0.0004,
03:07:44:470,1463799491230449,31.0200,3399,59.5103,800.2583,222.2940,49.3991,537.6265,149.3407,0.0000,0.0016,0.0004,
