System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
05:51:25:718,942259884872146,1.0008,3598,13.3706,13.3718,3.7144,5.7710,5.7715,1.6032,0.0000,0.0000,0.0000,
05:51:26:719,942263087184011,2.0016,3599,12.0857,25.4611,7.0725,5.3138,11.0869,3.0797,0.0000,0.0000,0.0000,
05:51:27:720,942266289239796,3.0022,3083,3.9507,29.4125,8.1701,1.3240,12.4111,3.4475,0.0000,0.0000,0.0000,
05:51:28:720,942269491302478,4.0028,3594,5.6523,35.0659,9.7405,2.1007,14.5122,4.0312,0.0000,0.0000,0.0000,
05:51:29:721,942272693429960,5.0035,3595,14.3395,49.4084,13.7246,8.2444,22.7584,6.3218,0.0000,0.0000,0.0000,
05:51:30:722,942275895453597,6.0041,3595,20.2615,69.6736,19.3538,11.9812,34.7418,9.6505,0.0000,0.0000,0.0000,
05:51:31:722,942279097484555,7.0047,3576,20.2678,89.9451,24.9847,11.9610,46.7050,12.9736,0.0000,0.0000,0.0000,
05:51:32:723,942282299537899,8.0053,3545,26.3287,116.2786,32.2996,17.1202,63.8283,17.7301,0.0000,0.0000,0.0000,
05:51:33:723,942285501588456,9.0060,3399,51.8187,168.1060,46.6961,42.0958,105.9312,29.4253,0.0000,0.0000,0.0000,
05:51:34:724,942288703734896,10.0066,3399,59.7608,227.8787,63.2996,50.0096,155.9508,43.3197,0.0000,0.0000,0.0000,
05:51:35:725,942291905918708,11.0073,3399,58.8999,286.7902,79.6639,49.1327,205.0932,56.9703,0.0000,0.0000,0.0000,
05:51:36:725,942295108064016,12.0079,3400,56.3942,343.1951,95.3320,46.3995,251.5016,69.8616,0.0000,0.0000,0.0000,
05:51:37:726,942298310219152,13.0086,3399,55.7736,398.9798,110.8277,45.7978,297.3085,82.5857,0.0000,0.0000,0.0000,
05:51:38:727,942301512425445,14.0093,3399,55.4758,454.4682,126.2412,45.4714,342.7903,95.2195,0.0000,0.0000,0.0000,
05:51:39:727,942304714525757,15.0099,3399,56.0159,510.4948,141.8041,46.0096,388.8087,108.0024,0.0000,0.0000,0.0000,
05:51:40:728,942307916731246,16.0106,3403,51.6711,562.1761,156.1600,41.6823,430.4992,119.5831,0.0000,0.0000,0.0000,
05:51:41:729,942311118972087,17.0113,3399,56.3153,618.5044,171.8068,46.3016,476.8115,132.4476,0.0000,0.0000,0.0000,
05:51:42:729,942314321034365,18.0119,3401,55.4181,673.9325,187.2035,45.4620,522.2817,145.0782,0.0000,0.0000,0.0000,
05:51:43:730,942317523083993,19.0125,3399,56.9259,730.8684,203.0190,46.8861,569.1760,158.1045,0.0000,0.0000,0.0000,
05:51:44:731,942320725291188,20.0132,3399,56.8951,787.7764,218.8268,46.8967,616.0834,171.1343,0.0000,0.0000,0.0000,
05:51:45:731,942323927369244,21.0138,3399,52.6180,840.4041,233.4456,42.6880,658.7792,182.9942,0.0000,0.0000,0.0000,
05:51:46:732,942327129459572,22.0145,3428,57.0080,897.4227,249.2841,47.0190,705.8071,196.0575,0.0000,0.0000,0.0000,
05:51:47:733,942330331597916,23.0151,3399,55.9335,953.3668,264.8241,45.9667,751.7825,208.8285,0.0000,0.0000,0.0000,
05:51:48:733,942333533679357,24.0158,3399,56.3442,1009.7215,280.4782,46.3209,798.1120,221.6978,0.0000,0.0000,0.0000,
05:51:49:734,942336735876523,25.0164,3399,56.8665,1066.6007,296.2780,46.8337,844.9562,234.7100,0.0000,0.0000,0.0000,
05:51:50:735,942339937967330,26.0171,3399,56.4964,1123.1077,311.9744,46.5054,891.4703,247.6306,0.0000,0.0000,0.0000,
05:51:51:735,942343140068814,27.0177,3399,56.3028,1179.4213,327.6170,46.2693,937.7484,260.4857,0.0000,0.0000,0.0000,
05:51:52:736,942346342147441,28.0184,3399,56.7554,1236.1873,343.3854,46.7468,984.5040,273.4733,0.0000,0.0000,0.0000,
05:51:53:737,942349544214291,29.0190,3399,56.9202,1293.1178,359.1994,46.9803,1031.4928,286.5258,0.0016,0.0016,0.0004,
05:51:54:742,942352760739475,30.0241,3399,57.1326,1350.5184,375.1440,47.0599,1078.7734,299.6593,0.0000,0.0016,0.0004,
05:51:55:742,942355962798656,31.0248,3399,56.7542,1407.2829,390.9119,46.7550,1125.5369,312.6491,0.0000,0.0016,0.0004,
05:51:56:743,942359164876032,32.0254,3401,56.4693,1463.7627,406.6007,46.4496,1171.9951,325.5542,0.0000,0.0016,0.0004,
05:51:57:744,942362366963936,33.0260,3399,57.6569,1521.4303,422.6195,47.6480,1219.6520,338.7922,0.0000,0.0016,0.0004,
05:51:58:744,942365569060377,34.0267,3400,56.8038,1578.2450,438.4014,46.8196,1266.4805,351.8001,0.0000,0.0016,0.0004,
05:51:59:746,942368776082207,35.0289,3399,56.9961,1635.3394,454.2609,47.0280,1313.5897,364.8860,0.0000,0.0016,0.0004,
05:52:00:747,942371978162048,36.0295,3399,56.5949,1691.9449,469.9847,46.5388,1360.1372,377.8159,0.0000,0.0016,0.0004,
05:52:01:748,942375180260922,37.0301,3399,56.9082,1748.8640,485.7955,46.8782,1407.0243,390.8401,0.0000,0.0016,0.0004,
05:52:02:748,942378382460950,38.0308,3399,57.1287,1806.0045,501.6679,47.1773,1454.2114,403.9476,0.0000,0.0016,0.0004,
05:52:03:749,942381584549864,39.0314,3399,56.7154,1862.7301,517.4250,46.6815,1500.9012,416.9170,0.0000,0.0016,0.0004,
05:52:04:750,942384786824427,40.0321,3399,57.2883,1920.0325,533.3424,47.2804,1548.1933,430.0537,0.0000,0.0016,0.0004,
05:52:05:750,942387988917122,41.0328,3399,56.2267,1976.2698,548.9638,46.2739,1594.4758,442.9100,0.0000,0.0016,0.0004,
05:52:06:751,942391191011816,42.0334,3420,57.7069,2033.9876,564.9966,47.6570,1642.1418,456.1505,0.0000,0.0016,0.0004,
05:52:07:752,942394393119121,43.0341,3399,56.5835,2090.5821,580.7172,46.5980,1688.7489,469.0969,0.0000,0.0016,0.0004,
05:52:08:752,942397595298285,44.0347,3426,57.2524,2147.8464,596.6240,47.3075,1736.0662,482.2406,0.0000,0.0016,0.0004,
05:52:09:753,942400797456730,45.0354,3399,56.8461,2204.7042,612.4178,46.8025,1782.8783,495.2440,0.0000,0.0016,0.0004,
05:52:10:754,942403999539455,46.0360,3399,57.1292,2261.8441,628.2900,47.1219,1830.0090,508.3358,0.0000,0.0016,0.0004,
05:52:11:754,942407201603900,47.0367,3399,57.3499,2319.2043,644.2234,47.4045,1877.4221,521.5061,0.0000,0.0016,0.0004,
05:52:12:755,942410403768352,48.0373,3399,57.2123,2376.4273,660.1187,47.1624,1924.5933,534.6092,0.0000,0.0016,0.0004,
05:52:13:755,942413605825713,49.0379,3400,56.7806,2433.2181,675.8939,46.7653,1971.3670,547.6019,0.0000,0.0016,0.0004,
05:52:14:756,942416808123465,50.0387,3438,56.5389,2489.7710,691.6031,46.5893,2017.9678,560.5466,0.0000,0.0016,0.0004,
05:52:15:757,942420010215240,51.0393,3399,56.3290,2546.1102,707.2528,46.2961,2064.2723,573.4090,0.0000,0.0016,0.0004,
05:52:16:757,942423212283066,52.0399,3405,52.1403,2598.2600,721.7389,42.2267,2106.5067,585.1407,0.0000,0.0016,0.0004,
05:52:17:758,942426414357465,53.0406,3399,56.8359,2655.1064,737.5296,46.8884,2153.4037,598.1677,0.0000,0.0016,0.0004,
05:52:18:761,942429623943824,54.0435,3399,56.5902,2711.8398,753.2888,46.5809,2200.1025,611.1396,0.0000,0.0016,0.0004,
05:52:19:762,942432826791842,55.0444,3399,57.2185,2769.0828,769.1897,47.1678,2247.2905,624.2474,0.0000,0.0016,0.0004,
05:52:20:763,942436028884700,56.0451,3399,57.1132,2826.2068,785.0575,47.1204,2294.4197,637.3388,0.0000,0.0016,0.0004,
05:52:21:763,942439230978134,57.0457,3399,57.0644,2883.2822,800.9117,47.0461,2341.4748,650.4097,0.0000,0.0016,0.0004,
05:52:22:764,942442433055738,58.0463,3399,57.2111,2940.5040,816.8067,47.2182,2388.7018,663.5283,0.0000,0.0016,0.0004,
05:52:23:764,942445635152311,59.0470,3399,56.7024,2997.2172,832.5603,46.7011,2435.4118,676.5033,0.0000,0.0016,0.0004,
05:52:24:765,942448837494964,60.0477,3399,57.3109,3054.5435,848.4843,47.3079,2482.7323,689.6479,0.0000,0.0016,0.0004,
