System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
14:44:28:690,1669595302782428,1.0005,3403,39.3657,39.3686,10.9357,29.6037,29.6058,8.2238,0.0000,0.0000,0.0000,
14:44:29:691,1669598504886073,2.0012,3456,43.7744,83.1520,23.0978,33.9400,63.5528,17.6536,0.0000,0.0000,0.0000,
14:44:30:692,1669601706983197,3.0018,3466,43.9475,127.1086,35.3079,34.1032,97.6631,27.1286,0.0000,0.0000,0.0000,
14:44:31:692,1669604909072741,4.0025,3460,42.9242,170.0408,47.2335,33.1645,130.8338,36.3427,0.0000,0.0000,0.0000,
14:44:32:693,1669608111462646,5.0032,3399,43.9607,214.0118,59.4477,34.1347,164.9766,45.8268,0.0000,0.0000,0.0000,
14:44:33:694,1669611313675755,6.0039,3443,44.1130,258.1355,71.7043,34.2853,199.2701,55.3528,0.0000,0.0000,0.0000,
14:44:34:694,1669614515898555,7.0046,3438,44.4462,302.5914,84.0532,34.5501,233.8277,64.9521,0.0000,0.0000,0.0000,
14:44:35:695,1669617717869984,8.0053,3443,45.0993,347.6993,96.5831,35.1611,268.9955,74.7210,0.0000,0.0000,0.0000,
14:44:36:696,1669620919924627,9.0059,3488,43.9312,391.6385,108.7885,34.0027,303.0045,84.1679,0.0000,0.0000,0.0000,
14:44:37:696,1669624122142469,10.0066,3432,44.2647,435.9128,121.0869,34.4497,337.4617,93.7394,0.0000,0.0000,0.0000,
14:44:38:697,1669627324340203,11.0073,3442,44.8332,480.7560,133.5433,34.9695,372.4390,103.4553,0.0000,0.0000,0.0000,
14:44:39:698,1669630526457760,12.0079,3438,44.5774,525.3422,145.9284,34.6915,407.1373,113.0937,0.0000,0.0000,0.0000,
14:44:40:698,1669633728453102,13.0086,3429,44.5970,569.9481,158.3189,34.6359,441.7802,122.7167,0.0000,0.0000,0.0000,
14:44:41:699,1669636930464540,14.0092,3430,43.9721,613.9286,170.5357,34.1404,475.9272,132.2020,0.0000,0.0000,0.0000,
14:44:42:700,1669640132450641,15.0098,3453,44.1329,658.0701,182.7972,34.2637,510.1976,141.7215,0.0000,0.0000,0.0000,
