System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
20:23:43:176,1109742194433460,1.0005,3598,14.9117,14.9128,4.1424,6.5824,6.5829,1.8286,0.0000,0.0000,0.0000,
20:23:44:177,1109745396442039,2.0011,3573,10.5979,25.5129,7.0869,4.6017,11.1855,3.1071,0.0000,0.0000,0.0000,
20:23:45:177,1109748598487409,3.0018,3571,14.1867,39.7024,11.0284,6.5984,17.7852,4.9403,0.0010,0.0010,0.0003,
20:23:46:178,1109751800519261,4.0024,3524,21.5864,61.2927,17.0258,13.1418,30.9293,8.5915,0.0000,0.0010,0.0003,
20:23:47:178,1109755002550461,5.0030,3586,19.6442,80.9406,22.4835,11.4518,42.3833,11.7731,0.0000,0.0010,0.0003,
20:23:48:179,1109758204603322,6.0036,3600,19.4422,100.3865,27.8851,11.1860,53.5715,14.8810,0.0000,0.0010,0.0003,
20:23:49:180,1109761406629274,7.0042,3581,19.7312,120.1214,33.3671,11.4121,64.9857,18.0516,0.0000,0.0010,0.0003,
20:23:50:180,1109764608650941,8.0048,3581,19.6124,139.7374,38.8160,11.3111,76.2989,21.1941,0.0000,0.0010,0.0003,
20:23:51:181,1109767810679700,9.0055,3581,19.6814,159.4224,44.2840,11.3656,87.6665,24.3518,0.0000,0.0010,0.0003,
20:23:52:182,1109771012693352,10.0061,3591,19.8617,179.2876,49.8021,11.5483,99.2169,27.5602,0.0000,0.0010,0.0003,
20:23:53:182,1109774214741640,11.0067,3591,19.9542,199.2457,55.3460,11.7258,110.9449,30.8180,0.0000,0.0010,0.0003,
20:23:54:183,1109777416775586,12.0073,3399,45.5672,244.8208,68.0058,36.0270,146.9783,40.8273,0.0000,0.0010,0.0003,
20:23:55:183,1109780618815761,13.0079,3399,58.6363,303.4675,84.2965,48.9232,195.9101,54.4195,0.0000,0.0010,0.0003,
20:23:56:184,1109783820903738,14.0086,3399,58.6420,362.1202,100.5889,48.8259,244.7449,67.9847,0.0000,0.0010,0.0003,
20:23:57:185,1109787023071324,15.0092,3399,57.4972,419.6284,116.5634,47.5640,292.3180,81.1994,0.0000,0.0010,0.0003,
20:23:58:185,1109790225225600,16.0099,3399,57.2178,476.8580,132.4606,47.2424,339.5702,94.3251,0.0000,0.0010,0.0003,
20:23:59:186,1109793427317562,17.0105,3399,55.8699,532.7384,147.9829,45.7694,385.3482,107.0412,0.0000,0.0010,0.0003,
20:24:00:187,1109796629526466,18.0112,3399,55.6964,588.4453,163.4570,45.6392,430.9960,119.7211,0.0000,0.0010,0.0003,
20:24:01:187,1109799831763132,19.0119,3404,54.7022,643.1605,178.6557,44.5817,475.5883,132.1079,0.0000,0.0010,0.0003,
20:24:02:188,1109803033862550,20.0125,3400,54.7776,697.9485,193.8746,44.6692,520.2661,144.5184,0.0000,0.0010,0.0003,
20:24:03:189,1109806235975645,21.0132,3399,55.0301,752.9891,209.1636,44.9257,565.2004,157.0001,0.0000,0.0010,0.0003,
20:24:04:189,1109809438051007,22.0138,3399,54.2259,807.2252,224.2292,44.0587,609.2673,169.2409,0.0000,0.0010,0.0003,
20:24:05:190,1109812640100022,23.0144,3399,54.6116,861.8466,239.4018,44.4675,653.7428,181.5952,0.0000,0.0010,0.0003,
20:24:06:191,1109815842160956,24.0151,3400,54.4494,916.3059,254.5294,44.2989,698.0497,193.9027,0.0000,0.0010,0.0003,
20:24:07:191,1109819044238347,25.0157,3399,53.7969,970.1129,269.4758,43.6107,741.6685,206.0190,0.0000,0.0010,0.0003,
20:24:08:192,1109822246360016,26.0164,3399,54.2864,1024.4100,284.5583,44.1285,785.8057,218.2794,0.0000,0.0010,0.0003,
20:24:09:192,1109825448468509,27.0170,3399,53.4458,1077.8660,299.4072,43.2346,829.0486,230.2913,0.0000,0.0010,0.0003,
20:24:10:193,1109828650461791,28.0176,3399,53.5459,1131.4202,314.2834,43.3399,872.3952,242.3320,0.0000,0.0010,0.0003,
20:24:11:194,1109831852535193,29.0182,3399,54.2571,1185.6874,329.3576,44.1202,916.5236,254.5899,0.0000,0.0010,0.0003,
20:24:12:194,1109835054624043,30.0189,3399,53.6335,1239.3309,344.2586,43.5418,960.0736,266.6871,0.0000,0.0010,0.0003,
20:24:13:195,1109838256917678,31.0196,3417,53.0259,1292.3700,358.9917,42.7958,1002.8801,278.5778,0.0000,0.0010,0.0003,
20:24:14:196,1109841459016668,32.0202,3400,53.4680,1345.8483,373.8467,43.2541,1046.1425,290.5951,0.0000,0.0010,0.0003,
20:24:15:196,1109844661118550,33.0209,3399,54.2318,1400.0904,388.9140,44.1085,1090.2594,302.8498,0.0000,0.0010,0.0003,
20:24:16:197,1109847863264604,34.0215,3399,53.8050,1453.9064,403.8629,43.5485,1133.8168,314.9491,0.0000,0.0010,0.0003,
20:24:17:198,1109851065362210,35.0221,3399,54.3078,1508.2245,418.9512,44.1332,1177.9584,327.2107,0.0000,0.0010,0.0003,
20:24:18:198,1109854267622656,36.0228,3440,53.3309,1561.5682,433.7689,43.1672,1221.1359,339.2044,0.0000,0.0010,0.0003,
20:24:19:199,1109857469745905,37.0235,3399,53.3057,1614.8843,448.5790,43.0981,1264.2424,351.1785,0.0000,0.0010,0.0003,
20:24:20:200,1109860671854970,38.0241,3399,53.5456,1668.4403,463.4556,43.3090,1307.5599,363.2111,0.0000,0.0010,0.0003,
20:24:21:200,1109863873932026,39.0248,3399,54.8117,1723.2624,478.6840,44.7008,1352.2692,375.6303,0.0000,0.0010,0.0003,
20:24:22:201,1109867076202105,40.0255,3423,53.9013,1777.1750,493.6597,43.6617,1395.9400,387.7611,0.0000,0.0010,0.0003,
20:24:23:202,1109870278326742,41.0261,3399,53.3871,1830.5727,508.4924,43.1478,1439.0963,399.7490,0.0000,0.0010,0.0003,
20:24:24:202,1109873480391220,42.0267,3400,54.5328,1885.1156,523.6432,44.3839,1483.4885,412.0801,0.0000,0.0010,0.0003,
20:24:25:203,1109876682487717,43.0274,3399,54.0177,1939.1435,538.6510,43.8307,1527.3274,424.2576,0.0000,0.0010,0.0003,
20:24:26:204,1109879884742589,44.0281,3399,53.8159,1992.9703,553.6029,43.5972,1570.9335,436.3704,0.0000,0.0010,0.0003,
20:24:27:204,1109883086857387,45.0287,3399,54.2093,2047.1906,568.6640,44.0271,1614.9694,448.6026,0.0000,0.0010,0.0003,
20:24:28:205,1109886288999540,46.0294,3399,53.9728,2101.1736,583.6593,43.7824,1658.7601,460.7667,0.0016,0.0026,0.0007,
20:24:29:205,1109889491110620,47.0300,3399,53.4256,2154.6096,598.5027,43.1861,1701.9547,472.7652,0.0000,0.0026,0.0007,
20:24:30:206,1109892693186731,48.0306,3399,53.8050,2208.4245,613.4512,43.5927,1745.5554,484.8765,0.0000,0.0026,0.0007,
20:24:31:207,1109895895296374,49.0313,3399,54.4904,2262.9254,628.5904,44.3172,1789.8810,497.1892,0.0000,0.0026,0.0007,
20:24:32:207,1109899097411034,50.0319,3399,53.9566,2316.8925,643.5812,43.7350,1833.6245,509.3401,0.0000,0.0026,0.0007,
20:24:33:208,1109902299662810,51.0326,3399,53.3972,2370.3024,658.4173,43.1797,1876.8145,521.3373,0.0000,0.0026,0.0007,
20:24:34:209,1109905501796424,52.0333,3399,53.9676,2424.2803,673.4112,43.7664,1920.5892,533.4970,0.0000,0.0026,0.0007,
20:24:35:209,1109908703894661,53.0339,3399,55.0740,2479.3648,688.7124,44.9190,1965.5168,545.9769,0.0000,0.0026,0.0007,
20:24:36:210,1109911905977914,54.0345,3399,54.1597,2533.5346,703.7596,43.9887,2009.5137,558.1982,0.0000,0.0026,0.0007,
20:24:37:211,1109915108083685,55.0352,3399,54.4506,2587.9958,718.8877,44.2369,2053.7592,570.4887,0.0000,0.0026,0.0007,
20:24:38:211,1109918310315322,56.0359,3399,53.6855,2641.6937,733.8038,43.4873,2097.2565,582.5713,0.0000,0.0026,0.0007,
20:24:39:212,1109921512399601,57.0365,3399,54.0230,2695.7269,748.8130,43.8389,2141.1037,594.7510,0.0000,0.0026,0.0007,
20:24:40:213,1109924714506795,58.0371,3399,54.9266,2750.6638,764.0733,44.7781,2185.8902,607.1917,0.0000,0.0026,0.0007,
20:24:41:213,1109927916591999,59.0378,3399,54.2769,2804.9510,779.1531,44.0608,2229.9594,619.4332,0.0000,0.0026,0.0007,
20:24:42:214,1109931118686429,60.0384,3400,54.7395,2859.7008,794.3613,44.6059,2274.5737,631.8260,0.0000,0.0026,0.0007,
20:24:43:215,1109934320929055,61.0391,3400,53.8487,2913.5623,809.3228,43.5811,2318.1652,643.9348,0.0000,0.0026,0.0007,
20:24:44:215,1109937523010295,62.0397,3399,53.8824,2967.4548,824.2930,43.6547,2361.8281,656.0634,0.0000,0.0026,0.0007,
20:24:45:216,1109940725081588,63.0404,3399,54.6676,3022.1326,839.4813,44.5387,2406.3751,668.4375,0.0000,0.0026,0.0007,
20:24:46:216,1109943927173168,64.0410,3399,53.3451,3075.4877,854.3021,43.0482,2449.4313,680.3976,0.0000,0.0026,0.0007,
20:24:47:217,1109947129118245,65.0416,3399,54.0724,3129.5677,869.3244,43.8269,2493.2644,692.5734,0.0000,0.0026,0.0007,
20:24:48:218,1109950331333637,66.0423,3399,55.3321,3184.9125,884.6979,45.2490,2538.5238,705.1455,0.0000,0.0026,0.0007,
