System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
05:06:21:215,452677240126301,1.0005,3563,21.4016,21.4027,5.9452,12.6639,12.6646,3.5179,0.0000,0.0000,0.0000,
05:06:22:216,452680442251743,2.0012,3416,42.0463,63.4582,17.6273,32.7525,45.4242,12.6178,0.0000,0.0000,0.0000,
05:06:23:217,452683644340224,3.0018,3460,48.6811,112.1488,31.1524,39.1656,84.5974,23.4993,0.0000,0.0000,0.0000,
05:06:24:217,452686846466635,4.0025,3471,51.3742,163.5341,45.4261,41.6613,126.2677,35.0744,0.0000,0.0000,0.0000,
05:06:25:218,452690048560598,5.0031,3411,52.2779,215.8227,59.9507,42.5668,168.8433,46.9009,0.0000,0.0000,0.0000,
05:06:26:219,452693250628118,6.0038,3444,53.0556,268.8889,74.6913,43.3408,212.1927,58.9424,0.0000,0.0000,0.0000,
05:06:27:219,452696452653049,7.0044,3399,53.2218,322.1204,89.4779,43.4966,255.6974,71.0271,0.0000,0.0000,0.0000,
05:06:28:220,452699654712555,8.0051,3415,52.5379,374.6686,104.0746,42.8154,298.5212,82.9225,0.0000,0.0000,0.0000,
05:06:29:221,452702856734731,9.0057,3487,52.7602,427.4385,118.7329,42.9933,341.5223,94.8673,0.0000,0.0000,0.0000,
05:06:30:221,452706058758786,10.0063,3400,53.9250,481.3734,133.7148,44.1056,385.6360,107.1211,0.0000,0.0000,0.0000,
05:06:31:222,452709260817751,11.0070,3416,53.2979,534.6810,148.5225,43.5625,429.2065,119.2240,0.0000,0.0000,0.0000,
05:06:32:222,452712462847953,12.0076,3399,53.0675,587.7584,163.2662,43.2916,472.5062,131.2517,0.0000,0.0000,0.0000,
05:06:33:223,452715664942553,13.0083,3463,53.6467,641.4158,178.1711,43.8775,516.3924,143.4423,0.0000,0.0000,0.0000,
05:06:34:224,452718866917259,14.0089,3496,51.7000,693.1257,192.5349,42.0394,558.4398,155.1222,0.0000,0.0000,0.0000,
05:06:35:224,452722068960020,15.0095,3555,26.6994,719.8309,199.9530,17.8902,576.3339,160.0927,0.0000,0.0000,0.0000,
05:06:36:225,452725271118897,16.0102,3574,29.1586,748.9954,208.0543,20.1672,596.5051,165.6959,0.0000,0.0000,0.0000,
05:06:37:226,452728473163652,17.0108,3574,31.3959,780.3976,216.7771,22.3034,618.8129,171.8925,0.0000,0.0000,0.0000,
05:06:38:226,452731675147386,18.0115,3574,31.5278,811.9316,225.5365,22.3730,641.1903,178.1084,0.0000,0.0000,0.0000,
05:06:39:227,452734877152337,19.0121,3399,31.5486,843.4857,234.3016,22.4389,663.6331,184.3425,0.0000,0.0000,0.0000,
05:06:40:228,452738079421892,20.0128,3430,54.8980,898.3976,249.5549,45.0876,708.7321,196.8700,0.0000,0.0000,0.0000,
05:06:41:228,452741281453329,21.0134,3399,54.7421,953.1498,264.7638,44.9179,753.6583,209.3495,0.0000,0.0000,0.0000,
05:06:42:229,452744483519822,22.0141,3465,53.8678,1007.0276,279.7299,44.0961,797.7626,221.6007,0.0000,0.0000,0.0000,
05:06:43:230,452747685564357,23.0147,3407,54.5164,1061.5545,294.8763,44.7228,842.4939,234.0261,0.0000,0.0000,0.0000,
05:06:44:230,452750887547156,24.0153,3492,54.0393,1115.6043,309.8901,44.2346,886.7371,246.3159,0.0000,0.0000,0.0000,
05:06:45:231,452754089653157,25.0160,3399,53.8074,1169.4223,324.8395,43.9965,930.7422,258.5395,0.0000,0.0000,0.0000,
05:06:46:232,452757291744086,26.0167,3430,54.4976,1223.9313,339.9809,44.6675,975.4191,270.9497,0.0000,0.0000,0.0000,
05:06:47:232,452760493785946,27.0173,3468,53.6650,1277.6064,354.8907,43.8664,1019.2938,283.1372,0.0000,0.0000,0.0000,
05:06:48:233,452763695852956,28.0179,3408,55.6132,1333.2298,370.3416,45.8200,1065.1222,295.8673,0.0015,0.0015,0.0004,
05:06:49:233,452766897961419,29.0186,3409,55.1736,1388.4145,385.6707,45.2925,1110.4238,308.4511,0.0000,0.0015,0.0004,
05:06:50:234,452770100113483,30.0193,3506,53.6370,1442.0634,400.5732,43.8197,1154.2532,320.6259,0.0000,0.0015,0.0004,
05:06:51:235,452773302217060,31.0199,3399,54.7621,1496.8365,415.7879,44.9770,1199.2393,333.1220,0.0000,0.0015,0.0004,
05:06:52:235,452776504186615,32.0206,3530,32.5166,1529.3593,424.8220,23.4882,1222.7319,339.6478,0.0000,0.0015,0.0004,
05:06:53:236,452779706142647,33.0212,3573,28.6531,1558.0177,432.7827,19.7138,1242.4494,345.1248,0.0000,0.0015,0.0004,
05:06:54:237,452782908229389,34.0218,3573,31.5459,1589.5704,441.5473,22.4145,1264.8687,351.3524,0.0000,0.0015,0.0004,
05:06:55:239,452786115294084,35.0240,3584,31.3031,1620.9288,450.2580,22.2104,1287.1184,357.5329,0.0000,0.0015,0.0004,
