System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
10:52:44:724,795663943744925,1.0005,3574,21.4812,21.4827,5.9674,12.5402,12.5410,3.4836,0.0000,0.0000,0.0000,
10:52:45:724,795667145785710,2.0011,3590,20.4100,41.8972,11.6381,12.1177,24.6614,6.8504,0.0000,0.0000,0.0000,
10:52:46:725,795670347809396,3.0018,3399,35.1051,77.0087,21.3913,26.1864,50.8526,14.1257,0.0000,0.0000,0.0000,
10:52:47:726,795673549811260,4.0024,3399,59.9905,137.0101,38.0584,50.2204,101.0820,28.0783,0.0015,0.0015,0.0004,
10:52:48:726,795676751825082,5.0030,3399,60.2354,197.2564,54.7934,50.4434,151.5347,42.0930,0.0000,0.0015,0.0004,
10:52:49:727,795679953899061,6.0037,3401,59.2425,256.5104,71.2529,49.2597,200.8039,55.7789,0.0000,0.0015,0.0004,
10:52:50:728,795683155922003,7.0043,3399,60.0790,316.6004,87.9446,50.1871,251.0002,69.7223,0.0000,0.0015,0.0004,
10:52:51:728,795686358039735,8.0050,3399,60.6149,377.2268,104.7852,50.7931,301.8029,83.8341,0.0000,0.0015,0.0004,
10:52:52:729,795689560132320,9.0056,3399,60.4541,437.6931,121.5814,50.5553,352.3684,97.8801,0.0000,0.0015,0.0004,
10:52:53:730,795692762143799,10.0063,3399,60.3949,498.0990,138.3608,50.5493,402.9269,111.9241,0.0000,0.0015,0.0004,
10:52:54:730,795695964395888,11.0070,3406,60.4295,558.5435,155.1510,50.6743,453.6137,126.0038,0.0000,0.0015,0.0004,
10:52:55:731,795699166413344,12.0076,3399,60.6892,619.2438,172.0122,50.7899,504.4130,140.1147,0.0000,0.0015,0.0004,
10:52:56:732,795702368440293,13.0082,3399,60.8093,680.0643,188.9068,50.9579,555.3803,154.2723,0.0000,0.0015,0.0004,
10:52:57:732,795705570463644,14.0089,3399,60.7795,740.8550,205.7931,50.9525,606.3422,168.4284,0.0000,0.0015,0.0004,
10:52:58:733,795708772564436,15.0095,3399,60.7771,801.6436,222.6788,50.9368,657.2886,182.5802,0.0000,0.0015,0.0004,
10:52:59:733,795711974678752,16.0102,3399,60.8708,862.5273,239.5909,51.0320,708.3314,196.7587,0.0000,0.0015,0.0004,
10:53:00:734,795715176682874,17.0108,3399,60.5886,923.1269,256.4241,50.7450,759.0855,210.8571,0.0000,0.0015,0.0004,
10:53:01:735,795718378691112,18.0115,3407,60.6677,983.8056,273.2793,50.8381,809.9328,224.9813,0.0000,0.0015,0.0004,
10:53:02:735,795721580789239,19.0121,3399,60.6068,1044.4250,290.1181,50.7519,860.6953,239.0820,0.0000,0.0015,0.0004,
10:53:03:736,795724782808578,20.0127,3434,60.2844,1104.7206,306.8668,50.4482,911.1528,253.0980,0.0000,0.0015,0.0004,
10:53:04:737,795727984946461,21.0134,3399,60.3606,1165.0942,323.6373,50.5081,961.6718,267.1311,0.0000,0.0015,0.0004,
10:53:05:737,795731187022469,22.0141,3401,60.5638,1225.6704,340.4640,50.7585,1012.4407,281.2335,0.0000,0.0015,0.0004,
10:53:06:738,795734389022286,23.0147,3399,60.4346,1286.1158,357.2544,50.5297,1062.9795,295.2721,0.0000,0.0015,0.0004,
10:53:07:739,795737591076893,24.0153,3549,37.1562,1323.2795,367.5777,27.9523,1090.9374,303.0382,0.0000,0.0015,0.0004,
10:53:08:739,795740793047130,25.0160,3574,35.0860,1358.3720,377.3256,25.8393,1116.7815,310.2171,0.0000,0.0015,0.0004,
10:53:09:740,795743995024750,26.0166,3399,50.9667,1409.3475,391.4854,41.2879,1158.0765,321.6879,0.0000,0.0015,0.0004,
10:53:10:740,795747197012377,27.0172,3399,60.5055,1469.8638,408.2955,50.5500,1208.6355,335.7321,0.0000,0.0015,0.0004,
10:53:11:741,795750399108872,28.0179,3404,59.5539,1529.4294,424.8415,49.5879,1258.2332,349.5092,0.0000,0.0015,0.0004,
10:53:12:742,795753601135087,29.0185,3493,56.8560,1586.2966,440.6380,46.9102,1305.1526,362.5424,0.0000,0.0015,0.0004,
10:53:13:742,795756803141064,30.0191,3399,57.7593,1644.0662,456.6851,47.9888,1353.1500,375.8750,0.0000,0.0015,0.0004,
10:53:14:743,795760005268331,31.0198,3399,60.9066,1704.9861,473.6073,51.0091,1404.1703,390.0473,0.0000,0.0015,0.0004,
10:53:15:744,795763207317210,32.0204,3399,60.4233,1765.4210,490.3947,50.5636,1454.7435,404.0954,0.0000,0.0015,0.0004,
10:53:16:744,795766409323214,33.0211,3400,60.8182,1826.2502,507.2917,50.9817,1505.7344,418.2596,0.0000,0.0015,0.0004,
10:53:17:745,795769611425474,34.0217,3417,60.5984,1886.8607,524.1280,50.6869,1556.4315,432.3421,0.0000,0.0015,0.0004,
10:53:18:746,795772813440060,35.0223,3399,60.9572,1947.8289,541.0636,51.0818,1607.5226,446.5341,0.0000,0.0015,0.0004,
10:53:19:746,795776015588302,36.0230,3430,60.7999,2008.6425,557.9562,50.9928,1658.5269,460.7019,0.0000,0.0015,0.0004,
10:53:20:747,795779217618143,37.0237,3399,60.9325,2069.5863,574.8851,51.0051,1709.5416,474.8727,0.0000,0.0015,0.0004,
10:53:21:748,795782419640441,38.0243,3411,60.6247,2130.2222,591.7284,50.7703,1760.3212,488.9781,0.0000,0.0015,0.0004,
10:53:22:748,795785621708826,39.0249,3399,60.9348,2191.1693,608.6581,51.0730,1811.4046,503.1679,0.0000,0.0015,0.0004,
10:53:23:749,795788823778714,40.0256,3399,60.9144,2252.0952,625.5820,51.0276,1862.4419,517.3450,0.0000,0.0015,0.0004,
