System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
05:42:41:261,1289092108384468,1.0005,3558,23.2617,23.2632,6.4620,13.9118,13.9127,3.8646,0.0000,0.0000,0.0000,
05:42:42:261,1289095310380128,2.0011,3590,19.6506,42.9177,11.9216,11.3652,25.2802,7.0223,0.0000,0.0000,0.0000,
05:42:43:262,1289098512272480,3.0017,3599,19.1709,62.0917,17.2477,10.8936,36.1755,10.0488,0.0000,0.0000,0.0000,
05:42:44:262,1289101714203915,4.0023,3579,18.9659,81.0610,22.5169,10.7122,46.8896,13.0249,0.0000,0.0000,0.0000,
05:42:45:263,1289104916183502,5.0029,3592,18.8972,99.9617,27.7671,10.6426,57.5342,15.9817,0.0000,0.0000,0.0000,
05:42:46:264,1289108118121402,6.0036,3600,18.9564,118.9216,33.0338,10.6830,68.2192,18.9498,0.0000,0.0000,0.0000,
05:42:47:264,1289111320050856,7.0042,3599,18.8596,137.7845,38.2735,10.5690,78.7900,21.8861,0.0000,0.0000,0.0000,
05:42:48:265,1289114522087307,8.0048,3590,18.8899,156.6777,43.5216,10.5686,89.3605,24.8224,0.0000,0.0000,0.0000,
05:42:49:265,1289117724008040,9.0054,3578,18.8195,175.5005,48.7502,10.4570,99.8193,27.7276,0.0000,0.0000,0.0000,
05:42:50:266,1289120926018877,10.0060,3599,18.8819,194.3862,53.9962,10.5560,110.3774,30.6604,0.0000,0.0000,0.0000,
05:42:51:267,1289124127945245,11.0066,3600,18.8930,213.2826,59.2452,10.5690,120.9482,33.5967,0.0000,0.0000,0.0000,
05:42:52:267,1289127329878059,12.0072,3589,18.8844,232.1703,64.4918,10.5900,131.5401,36.5389,0.0000,0.0000,0.0000,
05:42:53:268,1289130531807694,13.0078,3600,18.7533,250.9269,69.7019,10.5026,142.0446,39.4568,0.0000,0.0000,0.0000,
05:42:54:268,1289133733731752,14.0084,3586,18.8722,269.8024,74.9451,10.5821,152.6285,42.3968,0.0000,0.0000,0.0000,
05:42:55:269,1289136935786664,15.0091,3597,18.9077,288.7139,80.1983,10.6415,163.2722,45.3534,0.0000,0.0000,0.0000,
05:42:56:270,1289140137713710,16.0097,3599,18.9909,307.7081,85.4745,10.6792,173.9533,48.3204,0.0000,0.0000,0.0000,
05:42:57:270,1289143339642152,17.0103,3597,18.9896,326.7010,90.7503,10.6834,184.6386,51.2885,0.0000,0.0000,0.0000,
05:42:58:271,1289146541583680,18.0109,3599,18.8067,345.5111,95.9753,10.5629,195.2034,54.2232,0.0000,0.0000,0.0000,
05:42:59:272,1289149743547453,19.0115,3599,19.0318,364.5464,101.2629,10.7171,205.9225,57.2007,0.0000,0.0000,0.0000,
05:43:00:272,1289152945601294,20.0122,3589,18.9377,383.4882,106.5245,10.6740,216.5988,60.1663,0.0000,0.0000,0.0000,
05:43:01:273,1289156147678330,21.0128,3599,18.9714,402.4632,111.7953,10.7521,227.3529,63.1536,0.0000,0.0000,0.0000,
05:43:02:273,1289159349637064,22.0134,3599,19.0491,421.5159,117.0877,10.8228,238.1777,66.1605,0.0000,0.0000,0.0000,
05:43:03:274,1289162551597710,23.0140,3600,19.1516,440.6711,122.4086,10.9314,249.1112,69.1976,0.0000,0.0000,0.0000,
05:43:04:275,1289165753558551,24.0147,3590,19.1685,459.8431,127.7342,10.9746,260.0879,72.2466,0.0000,0.0000,0.0000,
05:43:05:275,1289168955618728,25.0153,3572,20.0908,479.9382,133.3162,11.7909,271.8812,75.5226,0.0000,0.0000,0.0000,
05:43:06:276,1289172157626219,26.0159,3399,47.5296,527.4762,146.5212,37.8550,309.7429,86.0397,0.0000,0.0000,0.0000,
05:43:07:277,1289175359651834,27.0166,3399,60.4869,587.9742,163.3262,50.2425,359.9947,99.9985,0.0000,0.0000,0.0000,
05:43:08:277,1289178561602094,28.0172,3400,60.8911,648.8751,180.2431,50.5072,410.5100,114.0306,0.0000,0.0000,0.0000,
05:43:09:278,1289181763595249,29.0178,3399,60.6404,709.5262,197.0906,50.3053,460.8242,128.0067,0.0000,0.0000,0.0000,
05:43:10:279,1289184965719952,30.0185,3399,60.7122,770.2515,213.9587,50.4472,511.2822,142.0228,0.0000,0.0000,0.0000,
05:43:11:279,1289188167734696,31.0191,3400,60.6355,830.8978,230.8049,50.3321,561.6233,156.0065,0.0000,0.0000,0.0000,
05:43:12:280,1289191369732383,32.0197,3399,61.1905,892.0991,247.8053,50.8234,612.4557,170.1266,0.0000,0.0000,0.0000,
05:43:13:280,1289194571723249,33.0203,3399,61.3367,953.4465,264.8463,50.9856,663.4503,184.2917,0.0000,0.0000,0.0000,
05:43:14:281,1289197773801000,34.0210,3399,61.3743,1014.8326,281.8979,51.0230,714.4830,198.4675,0.0000,0.0000,0.0000,
05:43:15:282,1289200975919519,35.0217,3399,61.1811,1076.0269,298.8964,50.9809,765.4750,212.6320,0.0000,0.0000,0.0000,
05:43:16:282,1289204177920631,36.0223,3399,61.0225,1137.0603,315.8501,50.7106,816.1946,226.7207,0.0000,0.0000,0.0000,
05:43:17:283,1289207379915263,37.0229,3400,61.0458,1198.1168,332.8102,50.7669,866.9705,240.8251,0.0000,0.0000,0.0000,
05:43:18:284,1289210581970787,38.0236,3549,49.1700,1247.2969,346.4714,39.0855,906.0640,251.6845,0.0000,0.0000,0.0000,
05:43:19:284,1289213783992506,39.0242,3549,38.0793,1285.3837,357.0510,28.3556,934.4252,259.5625,0.0000,0.0000,0.0000,
05:43:20:285,1289216986091857,40.0248,3399,38.0183,1323.4095,367.6138,28.4452,962.8761,267.4656,0.0015,0.0015,0.0004,
05:43:21:286,1289220188107031,41.0255,3399,60.7493,1384.1699,384.4916,50.2951,1013.1804,281.4390,0.0000,0.0015,0.0004,
05:43:22:286,1289223390117299,42.0261,3399,60.6869,1444.8677,401.3521,50.2646,1063.4540,295.4039,0.0000,0.0015,0.0004,
05:43:23:287,1289226592124086,43.0267,3399,60.8110,1505.6895,418.2471,50.4274,1113.8904,309.4140,0.0000,0.0015,0.0004,
05:43:24:287,1289229794135968,44.0274,3399,60.2594,1565.9599,434.9889,49.9074,1163.8069,323.2797,0.0000,0.0015,0.0004,
05:43:25:288,1289232996162867,45.0280,3399,60.5763,1626.5474,451.8187,50.2372,1214.0534,337.2371,0.0000,0.0015,0.0004,
05:43:26:289,1289236198160965,46.0286,3399,60.6136,1687.1718,468.6588,50.3670,1264.4293,351.2304,0.0000,0.0015,0.0004,
05:43:27:289,1289239400211665,47.0293,3399,60.9251,1748.1087,485.5858,50.5964,1315.0356,365.2877,0.0000,0.0015,0.0004,
05:43:28:290,1289242602312174,48.0299,3474,56.5113,1804.6313,501.2865,46.3120,1361.3569,378.1547,0.0000,0.0015,0.0004,
05:43:29:291,1289245804270231,49.0305,3574,33.5934,1838.2310,510.6197,24.4523,1385.8137,384.9483,0.0000,0.0015,0.0004,
05:43:30:291,1289249006367886,50.0312,3399,40.7871,1879.0264,521.9518,31.1072,1416.9273,393.5909,0.0000,0.0015,0.0004,
05:43:31:292,1289252208417084,51.0318,3434,59.8495,1938.8873,538.5798,49.4697,1466.4064,407.3351,0.0000,0.0015,0.0004,
05:43:32:293,1289255410438024,52.0325,3399,55.5215,1994.4190,554.0053,45.2620,1511.6768,419.9102,0.0000,0.0015,0.0004,
05:43:33:293,1289258612482583,53.0331,3400,57.8122,2052.2419,570.0672,47.4793,1559.1649,433.1014,0.0000,0.0015,0.0004,
05:43:34:294,1289261814509308,54.0337,3399,57.3178,2109.5703,585.9917,47.0367,1606.2103,446.1695,0.0000,0.0015,0.0004,
05:43:35:294,1289265016549405,55.0344,3399,58.8926,2168.4741,602.3539,48.5447,1654.7643,459.6567,0.0000,0.0015,0.0004,
05:43:36:295,1289268218734582,56.0351,3400,60.1115,2228.5974,619.0548,49.7033,1704.4772,473.4659,0.0000,0.0015,0.0004,
05:43:37:296,1289271420901957,57.0358,3399,61.0070,2289.6188,636.0052,50.5379,1755.0271,487.5075,0.0000,0.0015,0.0004,
05:43:38:296,1289274622905937,58.0364,3399,60.8877,2350.5175,652.9215,50.4907,1805.5269,501.5353,0.0000,0.0015,0.0004,
05:43:39:297,1289277824931580,59.0370,3399,60.7005,2411.2291,669.7859,50.3048,1855.8409,515.5114,0.0000,0.0015,0.0004,
05:43:40:298,1289281026939403,60.0376,3399,60.4272,2471.6673,686.5742,50.1358,1905.9858,529.4405,0.0000,0.0015,0.0004,
05:43:41:298,1289284228941841,61.0383,3399,60.5572,2532.2354,703.3987,50.1411,1956.1359,543.3711,0.0000,0.0015,0.0004,
05:43:42:299,1289287430939706,62.0389,3400,60.7428,2592.9890,720.2747,50.3754,2006.5203,557.3668,0.0000,0.0015,0.0004,
05:43:43:300,1289290632952694,63.0395,3399,60.5559,2653.5560,737.0989,50.0770,2056.6064,571.2796,0.0000,0.0015,0.0004,
05:43:44:300,1289293834957238,64.0402,3400,60.4352,2714.0023,753.8895,49.9215,2106.5372,585.1492,0.0000,0.0015,0.0004,
05:43:45:301,1289297036973488,65.0408,3399,60.3855,2774.3989,770.6664,49.8958,2156.4421,599.0117,0.0000,0.0015,0.0004,
05:43:46:301,1289300238943240,66.0414,3399,59.9518,2834.3612,787.3226,49.5161,2205.9669,612.7686,0.0000,0.0015,0.0004,
05:43:47:302,1289303440913888,67.0420,3399,60.0408,2894.4124,804.0034,49.5861,2255.5615,626.5449,0.0000,0.0015,0.0004,
05:43:48:303,1289306642875470,68.0426,3399,60.2312,2954.6541,820.7372,49.8498,2305.4200,640.3944,0.0000,0.0015,0.0004,
05:43:49:303,1289309844883382,69.0433,3399,60.4651,3015.1304,837.5362,50.0010,2355.4303,654.2862,0.0000,0.0015,0.0004,
05:43:50:304,1289313046864200,70.0439,3399,60.4352,3075.5764,854.3268,50.0520,2405.4912,668.1920,0.0000,0.0015,0.0004,
05:43:51:305,1289316248845372,71.0445,3399,59.8234,3135.4103,870.9473,49.5127,2455.0126,681.9480,0.0000,0.0015,0.0004,
05:43:52:305,1289319450821116,72.0451,3399,59.2169,3194.6375,887.3993,48.9269,2503.9479,695.5411,0.0000,0.0015,0.0004,
05:43:53:306,1289322652784948,73.0457,3399,58.0163,3252.6639,903.5177,47.8158,2551.7721,708.8256,0.0000,0.0015,0.0004,
05:43:54:306,1289325854755382,74.0464,3399,60.1192,3312.7936,920.2204,49.6168,2601.3976,722.6104,0.0000,0.0015,0.0004,
05:43:55:307,1289329056749686,75.0470,3399,59.9113,3372.7159,936.8655,49.3741,2650.7807,736.3280,0.0000,0.0015,0.0004,
05:43:56:308,1289332258719316,76.0476,3399,61.2310,3433.9577,953.8771,50.7536,2701.5433,750.4287,0.0000,0.0015,0.0004,
05:43:57:308,1289335460683104,77.0482,3399,60.9725,3494.9408,970.8169,50.4057,2751.9577,764.4327,0.0000,0.0015,0.0004,
05:43:58:309,1289338662668753,78.0488,3399,60.8431,3555.7944,987.7207,50.3370,2802.3034,778.4176,0.0000,0.0015,0.0004,
05:43:59:309,1289341864641334,79.0495,3399,60.7679,3616.5729,1004.6036,50.3230,2852.6352,792.3987,0.0000,0.0015,0.0004,
05:44:00:310,1289345066621061,80.0501,3399,60.3544,3676.9380,1021.3717,49.9658,2902.6099,806.2805,0.0000,0.0015,0.0004,
05:44:01:311,1289348268596604,81.0507,3399,59.9686,3736.9170,1038.0325,49.6509,2952.2693,820.0748,0.0000,0.0015,0.0004,
05:44:02:311,1289351470578132,82.0513,3399,60.1354,3797.0630,1054.7397,49.6965,3001.9745,833.8818,0.0000,0.0015,0.0004,
05:44:03:312,1289354672566940,83.0519,3399,60.8382,3857.9118,1071.6422,50.3844,3052.3677,847.8799,0.0017,0.0032,0.0009,
05:44:04:313,1289357874598451,84.0526,3399,61.5909,3919.5143,1088.7540,51.0501,3103.4274,862.0632,0.0000,0.0032,0.0009,
05:44:05:315,1289361080885712,85.0545,3399,60.3947,3980.0007,1105.5557,49.8092,3153.3122,875.9201,0.0000,0.0032,0.0009,
05:44:06:315,1289364282893053,86.0552,3399,60.5224,4040.5341,1122.3706,49.9597,3203.2810,889.8003,0.0000,0.0032,0.0009,
05:44:07:316,1289367484869184,87.0558,3399,60.4648,4101.0096,1139.1693,49.9303,3253.2201,903.6722,0.0000,0.0032,0.0009,
05:44:08:316,1289370686830827,88.0564,3399,60.6482,4161.6683,1156.0190,50.1606,3303.3894,917.6082,0.0000,0.0032,0.0009,
05:44:09:317,1289373888819923,89.0570,3399,60.6235,4222.3024,1172.8618,50.1162,3353.5143,931.5318,0.0000,0.0032,0.0009,
05:44:10:318,1289377090974458,90.0577,3404,60.4586,4282.7747,1189.6596,50.0471,3403.5728,945.4369,0.0000,0.0032,0.0009,
05:44:11:318,1289380293070407,91.0584,3474,58.7815,4341.5677,1205.9910,48.3888,3451.9711,958.8809,0.0000,0.0032,0.0009,
05:44:12:319,1289383495192145,92.0590,3474,56.5268,4398.1061,1221.6962,46.2692,3498.2498,971.7360,0.0000,0.0032,0.0009,
05:44:13:320,1289386697208925,93.0597,3400,57.0256,4455.1422,1237.5395,46.7972,3545.0555,984.7377,0.0000,0.0032,0.0009,
05:44:14:320,1289389899238618,94.0603,3407,56.2771,4511.4296,1253.1749,45.9208,3590.9848,997.4958,0.0000,0.0032,0.0009,
