System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
16:43:49:399,863070802525838,1.0005,3592,21.2039,21.2053,5.8904,12.2925,12.2933,3.4148,0.0000,0.0000,0.0000,
16:43:50:400,863074004521757,2.0011,3600,20.2865,41.4958,11.5266,11.9996,24.2953,6.7487,0.0000,0.0000,0.0000,
16:43:51:401,863077206543060,3.0018,3600,20.3597,61.8596,17.1832,12.0494,36.3472,10.0964,0.0000,0.0000,0.0000,
16:43:52:401,863080408557972,4.0024,3399,49.8747,111.7434,31.0398,40.3576,76.7122,21.3089,0.0000,0.0000,0.0000,
16:43:53:402,863083610579223,5.0030,3399,59.9816,171.7360,47.7045,50.0587,126.7800,35.2167,0.0000,0.0000,0.0000,
16:43:54:402,863086812585483,6.0037,3413,60.3212,232.0682,64.4634,50.4431,177.2322,49.2312,0.0000,0.0000,0.0000,
16:43:55:403,863090014616182,7.0043,3399,60.4428,292.5223,81.2562,50.4965,227.7381,63.2606,0.0000,0.0000,0.0000,
16:43:56:404,863093216648788,8.0049,3399,60.4194,352.9531,98.0425,50.5364,278.2841,77.3011,0.0000,0.0000,0.0000,
16:43:57:404,863096418690230,9.0056,3399,60.5613,413.5259,114.8683,50.6770,328.9706,91.3807,0.0000,0.0000,0.0000,
16:43:58:405,863099620774585,10.0062,3400,60.4914,474.0288,131.6747,50.6067,379.5870,105.4408,0.0000,0.0000,0.0000,
16:43:59:406,863102822784456,11.0068,3399,60.5304,534.5703,148.4918,50.6461,430.2424,119.5118,0.0000,0.0000,0.0000,
16:44:00:406,863106024797887,12.0075,3403,60.5184,595.0997,165.3055,50.6440,480.8955,133.5821,0.0000,0.0000,0.0000,
16:44:01:407,863109226911286,13.0081,3418,60.5917,655.7039,182.1400,50.7023,531.6082,147.6689,0.0000,0.0000,0.0000,
16:44:02:408,863112428926341,14.0088,3399,60.8059,716.5209,199.0336,50.9102,582.5278,161.8133,0.0000,0.0000,0.0000,
