System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
22:14:52:581,1203112463890635,1.0005,3598,22.5541,22.5557,6.2655,13.2516,13.2525,3.6813,0.0000,0.0000,0.0000,
22:14:53:581,1203115666016840,2.0012,3587,19.9655,42.5258,11.8127,11.5982,24.8533,6.9037,0.0000,0.0000,0.0000,
22:14:54:582,1203118868041696,3.0018,3588,20.0518,62.5813,17.3837,11.6309,36.4864,10.1351,0.0000,0.0000,0.0000,
22:14:55:583,1203122070005693,4.0024,3595,19.9348,82.5198,22.9222,11.5981,48.0867,13.3574,0.0000,0.0000,0.0000,
22:14:56:583,1203125271945629,5.0030,3573,20.7777,103.3013,28.6948,12.2220,60.3109,16.7530,0.0000,0.0000,0.0000,
22:14:57:584,1203128473954929,6.0037,3574,19.9390,123.2444,34.2346,11.5807,71.8939,19.9705,0.0000,0.0000,0.0000,
22:14:58:584,1203131675914001,7.0043,3586,19.8871,143.1352,39.7598,11.5427,83.4388,23.1774,0.0000,0.0000,0.0000,
22:14:59:585,1203134877904904,8.0049,3600,20.0126,163.1515,45.3199,11.6710,95.1119,26.4200,0.0000,0.0000,0.0000,
22:15:00:586,1203138079928520,9.0055,3586,20.6653,183.8206,51.0613,12.3718,107.4860,29.8572,0.0000,0.0000,0.0000,
22:15:01:586,1203141281907138,10.0061,3399,48.2947,232.1237,64.4788,38.5289,146.0216,40.5616,0.0000,0.0000,0.0000,
22:15:02:587,1203144483920642,11.0068,3399,60.3390,292.4738,81.2427,50.3697,196.4006,54.5557,0.0000,0.0000,0.0000,
22:15:03:588,1203147685908261,12.0074,3413,60.4027,352.8873,98.0242,50.4886,246.8982,68.5828,0.0000,0.0000,0.0000,
