System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
10:14:36:634,163339236170112,1.0016,2882,2.8798,2.8801,0.8000,0.7013,0.7014,0.1948,0.0000,0.0000,0.0000,
10:14:37:636,163342442389452,2.0035,880,1.3391,4.2199,1.1722,0.0082,0.7097,0.1971,0.0000,0.0000,0.0000,
10:14:38:638,163345648976992,3.0056,1107,1.2721,5.4926,1.5257,0.0006,0.7103,0.1973,0.0000,0.0000,0.0000,
10:14:39:639,163348852344135,4.0066,1480,1.3090,6.8022,1.8895,0.0013,0.7116,0.1977,0.0000,0.0000,0.0000,
10:14:40:640,163352054523156,5.0073,3589,13.9013,20.7066,5.7518,6.5435,7.2566,2.0157,0.0000,0.0000,0.0000,
10:14:41:640,163355256573332,6.0079,3592,19.8842,40.5946,11.2763,11.5300,18.7888,5.2191,0.0000,0.0000,0.0000,
10:14:42:641,163358458690944,7.0086,3402,27.4261,68.0255,18.8960,18.6684,37.4604,10.4057,0.0000,0.0000,0.0000,
10:14:43:642,163361660878720,8.0092,3399,51.0754,119.1111,33.0864,41.0778,78.5464,21.8184,0.0000,0.0000,0.0000,
10:14:44:642,163364862979037,9.0099,3559,47.2281,166.3492,46.2081,37.1689,115.7231,32.1453,0.0000,0.0000,0.0000,
10:14:45:643,163368064992427,10.0105,3433,6.0384,172.3887,47.8858,2.7581,118.4818,32.9116,0.0000,0.0000,0.0000,
10:14:46:644,163371267002504,11.0111,3010,1.8270,174.2161,48.3934,0.1538,118.6356,32.9543,0.0000,0.0000,0.0000,
10:14:47:645,163374472665504,12.0129,1229,1.3915,175.6078,48.7800,0.0313,118.6669,32.9630,0.0000,0.0000,0.0000,
10:14:48:647,163377676596441,13.0141,1602,2.4306,178.0396,49.4554,0.5365,119.2036,33.1121,0.0000,0.0000,0.0000,
10:14:49:647,163380878932712,14.0148,3544,38.0257,216.0754,60.0210,29.0942,148.3057,41.1960,0.0000,0.0000,0.0000,
10:14:50:648,163384081066227,15.0154,3400,41.9260,258.0097,71.6694,32.0410,180.3530,50.0980,0.0000,0.0000,0.0000,
10:14:51:649,163387283149387,16.0161,3525,42.5060,300.5239,83.4789,32.5963,212.9556,59.1543,0.0000,0.0000,0.0000,
10:14:52:649,163390485401969,17.0168,3516,40.6479,341.1798,94.7722,30.8467,243.8084,67.7246,0.0000,0.0000,0.0000,
10:14:53:650,163393687520744,18.0174,3403,40.7726,381.9606,106.1002,30.9915,274.8062,76.3350,0.0000,0.0000,0.0000,
10:14:54:650,163396889630365,19.0181,3517,43.7951,425.7644,118.2679,33.9492,308.7621,85.7672,0.0000,0.0000,0.0000,
10:14:55:651,163400091782181,20.0187,3400,43.5417,469.3143,130.3651,33.6079,342.3762,95.1045,0.0000,0.0000,0.0000,
10:14:56:652,163403293952843,21.0194,3539,41.7067,511.0304,141.9529,31.8866,374.2701,103.9639,0.0000,0.0000,0.0000,
10:14:57:653,163406496229661,22.0201,3494,43.5384,554.5781,154.0495,33.6883,407.9656,113.3238,0.0000,0.0000,0.0000,
10:14:58:653,163409698474105,23.0208,3473,41.1246,595.7122,165.4756,31.2785,439.2513,122.0143,0.0000,0.0000,0.0000,
10:14:59:654,163412900535174,24.0214,3517,37.5456,633.2650,175.9069,28.0839,467.3406,129.8168,0.0000,0.0000,0.0000,
10:15:00:654,163416102672801,25.0220,3475,39.4976,672.7711,186.8808,29.8340,497.1810,138.1058,0.0000,0.0000,0.0000,
10:15:01:655,163419304810798,26.0227,3427,45.7088,718.4884,199.5801,35.7264,532.9141,148.0317,0.0000,0.0000,0.0000,
10:15:02:656,163422506926348,27.0233,3434,47.1223,765.6207,212.6724,37.2819,570.2039,158.3900,0.0000,0.0000,0.0000,
10:15:03:656,163425709084063,28.0240,3484,39.8837,805.5126,223.7535,30.1161,600.3262,166.7573,0.0000,0.0000,0.0000,
10:15:04:657,163428911208936,29.0247,3530,45.3225,850.8446,236.3457,35.4454,635.7791,176.6053,0.0000,0.0000,0.0000,
10:15:05:658,163432113385364,30.0253,3400,43.2342,894.0880,248.3578,33.5819,669.3682,185.9356,0.0000,0.0000,0.0000,
10:15:06:658,163435315610533,31.0260,3478,50.5428,944.6412,262.4003,40.6083,709.9847,197.2180,0.0000,0.0000,0.0000,
10:15:07:659,163438517967997,32.0267,3471,47.6865,992.3404,275.6501,37.7425,747.7372,207.7048,0.0000,0.0000,0.0000,
10:15:08:660,163441720160636,33.0274,3399,47.6260,1039.9760,288.8822,37.7052,785.4500,218.1806,0.0000,0.0000,0.0000,
10:15:09:661,163444922398096,34.0281,3423,43.0759,1083.0620,300.8506,33.2539,818.7117,227.4199,0.0000,0.0000,0.0000,
10:15:10:661,163448125418289,35.0290,3421,44.6155,1127.6988,313.2497,34.8666,853.5949,237.1097,0.0000,0.0000,0.0000,
10:15:11:662,163451327516267,36.0296,3400,44.9698,1172.6772,325.7437,35.2790,888.8807,246.9113,0.0000,0.0000,0.0000,
10:15:12:663,163454529636660,37.0303,3527,45.8204,1218.5068,338.4741,36.0671,924.9550,256.9319,0.0000,0.0000,0.0000,
10:15:13:663,163457731770959,38.0309,3473,46.1631,1264.6790,351.2997,36.3048,961.2670,267.0186,0.0000,0.0000,0.0000,
10:15:14:664,163460933793643,39.0316,3568,50.6308,1315.3193,365.3665,40.6792,1001.9538,278.3205,0.0000,0.0000,0.0000,
10:15:15:665,163464135799677,40.0322,3545,40.0092,1355.3359,376.4822,31.3901,1033.3497,287.0416,0.0000,0.0000,0.0000,
10:15:16:665,163467337828081,41.0328,3577,48.5873,1403.9326,389.9813,38.7871,1072.1442,297.8178,0.0000,0.0000,0.0000,
10:15:17:666,163470539878894,42.0334,3418,45.0355,1448.9758,402.4933,36.5562,1108.7067,307.9741,0.0000,0.0000,0.0000,
