System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
18:44:24:585,537706267631504,1.0005,3149,2.1961,2.1962,0.6101,0.2746,0.2747,0.0763,0.0000,0.0000,0.0000,
18:44:25:585,537709469675979,2.0012,3485,1.9479,4.1445,1.1513,0.1696,0.4443,0.1234,0.0000,0.0000,0.0000,
18:44:26:586,537712671695837,3.0018,3597,12.4193,16.5660,4.6017,5.6821,6.1274,1.7021,0.0000,0.0000,0.0000,
18:44:27:587,537715873768238,4.0024,3598,14.2240,30.7928,8.5536,6.4113,12.5399,3.4833,0.0000,0.0000,0.0000,
18:44:28:587,537719075878344,5.0031,3597,13.1244,43.9199,12.2000,6.3815,18.9227,5.2563,0.0000,0.0000,0.0000,
18:44:29:588,537722277918696,6.0037,3582,21.8113,65.7353,18.2598,13.3398,32.2650,8.9625,0.0000,0.0000,0.0000,
18:44:30:589,537725479989134,7.0043,3581,20.1318,85.8708,23.8530,11.8551,44.1223,12.2562,0.0000,0.0000,0.0000,
18:44:31:589,537728683015530,8.0052,3597,14.2659,100.1396,27.8166,8.0840,52.2079,14.5022,0.0011,0.0011,0.0003,
18:44:32:591,537731889109856,9.0071,962,1.3975,101.5375,28.2049,0.0311,52.2390,14.5108,0.0000,0.0011,0.0003,
18:44:33:592,537735092319552,10.0081,1750,1.3163,102.8545,28.5707,0.0063,52.2453,14.5126,0.0000,0.0011,0.0003,
18:44:34:593,537738294584706,11.0088,3545,9.2602,112.1166,31.1435,6.0396,58.2862,16.1906,0.0000,0.0011,0.0003,
18:44:35:594,537741496651901,12.0094,3590,5.9000,118.0179,32.7827,2.8410,61.1277,16.9799,0.0000,0.0011,0.0003,
