System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
08:33:35:916,1249881007242708,1.0005,3579,14.8804,14.8815,4.1337,6.9986,6.9991,1.9442,0.0000,0.0000,0.0000,
08:33:36:916,1249884209270033,2.0012,3379,9.4948,24.3782,6.7717,4.0766,11.0765,3.0768,0.0000,0.0000,0.0000,
08:33:37:917,1249887411353623,3.0018,3452,6.6143,30.9938,8.6094,2.5814,13.6585,3.7940,0.0000,0.0000,0.0000,
08:33:38:918,1249890615810570,4.0032,948,1.5514,32.5455,9.0404,0.0719,13.7305,3.8140,0.0000,0.0000,0.0000,
08:33:39:920,1249893819943080,5.0044,1117,1.4341,33.9801,9.4389,0.0334,13.7639,3.8233,0.0000,0.0000,0.0000,
08:33:40:922,1249897026166848,6.0064,921,1.5039,35.4844,9.8568,0.0642,13.8281,3.8411,0.0000,0.0000,0.0000,
08:33:41:923,1249900232379838,7.0083,1065,1.3009,36.7860,10.2183,0.0001,13.8281,3.8411,0.0000,0.0000,0.0000,
08:33:42:926,1249903439075680,8.0104,1199,1.3564,38.1431,10.5953,0.0148,13.8430,3.8453,0.0000,0.0000,0.0000,
08:33:43:928,1249906645806464,9.0125,952,1.5180,39.6618,11.0172,0.0546,13.8976,3.8604,0.0000,0.0000,0.0000,
08:33:44:929,1249909851292488,10.0142,945,1.3000,40.9625,11.3785,0.0000,13.8976,3.8604,0.0000,0.0000,0.0000,
08:33:45:931,1249913057201214,11.0160,1131,1.3028,42.2658,11.7405,0.0001,13.8976,3.8605,0.0000,0.0000,0.0000,
08:33:46:932,1249916261053785,12.0172,1075,1.4222,43.6886,12.1357,0.0135,13.9111,3.8642,0.0000,0.0000,0.0000,
