System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
08:57:25:170,701486616086298,1.0005,3579,14.4411,14.4421,4.0117,6.6936,6.6940,1.8595,0.0000,0.0000,0.0000,
08:57:26:170,701489818228128,2.0012,3584,14.2571,28.7023,7.9729,6.4341,13.1295,3.6471,0.0000,0.0000,0.0000,
08:57:27:171,701493020313131,3.0018,3599,14.6305,43.3358,12.0377,6.7556,19.8865,5.5240,0.0000,0.0000,0.0000,
08:57:28:172,701496222401527,4.0024,3583,21.1871,64.5272,17.9242,12.7106,32.5996,9.0554,0.0000,0.0000,0.0000,
08:57:29:172,701499424420948,5.0031,3571,22.0650,86.5963,24.0545,13.5098,46.1119,12.8089,0.0000,0.0000,0.0000,
08:57:30:173,701502626439386,6.0037,3589,21.6829,108.2831,30.0786,13.2388,59.3530,16.4870,0.0000,0.0000,0.0000,
08:57:31:174,701505829251398,7.0045,2670,7.4782,115.7624,32.1562,3.9203,63.2739,17.5761,0.0000,0.0000,0.0000,
08:57:32:176,701509035849648,8.0066,1616,1.4177,117.1822,32.5506,0.0220,63.2959,17.5822,0.0000,0.0000,0.0000,
08:57:33:176,701512237938714,9.0072,3599,9.4698,126.6541,35.1817,4.9884,68.2853,18.9681,0.0000,0.0000,0.0000,
08:57:34:177,701515440219220,10.0079,1644,1.7145,128.3689,35.6580,0.1260,68.4113,19.0031,0.0000,0.0000,0.0000,
08:57:35:179,701518645422866,11.0095,1243,1.3343,129.7034,36.0287,0.0094,68.4207,19.0058,0.0000,0.0000,0.0000,
08:57:36:180,701521848248171,12.0104,3597,15.1303,144.8403,40.2334,8.9076,77.3322,21.4812,0.0000,0.0000,0.0000,
08:57:37:180,701525050436694,13.0111,3400,54.4333,199.2849,55.3569,44.5142,121.8556,33.8488,0.0000,0.0000,0.0000,
08:57:38:181,701528252640272,14.0117,3399,54.4506,253.7465,70.4851,44.4078,166.2725,46.1868,0.0000,0.0000,0.0000,
08:57:39:182,701531454812165,15.0124,3403,53.9994,307.7571,85.4881,43.8814,210.1629,58.3786,0.0000,0.0000,0.0000,
08:57:40:182,701534656871607,16.0130,3401,56.0129,363.7801,101.0500,45.8811,256.0523,71.1256,0.0000,0.0000,0.0000,
08:57:41:190,701537880122621,17.0203,3399,56.8576,421.0245,116.9512,46.7858,303.1564,84.2101,0.0000,0.0000,0.0000,
08:57:42:190,701541082242329,18.0209,3406,55.9481,476.9836,132.4954,45.7927,348.9580,96.9328,0.0000,0.0000,0.0000,
08:57:43:191,701544284363037,19.0216,3399,56.3197,533.3145,148.1429,46.1802,395.1474,109.7632,0.0000,0.0000,0.0000,
08:57:44:191,701547486484636,20.0222,3399,56.5202,589.8457,163.8460,46.4404,441.5969,122.6658,0.0000,0.0000,0.0000,
08:57:45:192,701550688631592,21.0229,3399,56.0262,645.8828,179.4119,45.8728,487.4785,135.4107,0.0000,0.0000,0.0000,
08:57:46:193,701553890823738,22.0235,3401,56.5394,702.4346,195.1207,46.4661,533.9548,148.3208,0.0015,0.0015,0.0004,
08:57:47:193,701557092893009,23.0242,3399,56.2726,758.7175,210.7549,46.2669,580.2301,161.1750,0.0000,0.0015,0.0004,
08:57:48:194,701560294965303,24.0248,3399,56.8536,815.5815,226.5504,46.7499,626.9886,174.1635,0.0000,0.0015,0.0004,
08:57:49:195,701563497079709,25.0255,3399,56.5181,872.1106,242.2529,46.4300,673.4276,187.0632,0.0000,0.0015,0.0004,
08:57:50:195,701566699181376,26.0261,3399,56.2100,928.3313,257.8698,46.2056,719.6420,199.9005,0.0000,0.0015,0.0004,
08:57:51:196,701569901294839,27.0267,3401,56.4289,984.7712,273.5476,46.2727,765.9237,212.7566,0.0000,0.0015,0.0004,
08:57:52:197,701573103551226,28.0274,3406,55.8073,1040.5914,289.0532,45.6798,811.6140,225.4483,0.0000,0.0015,0.0004,
08:57:53:197,701576305625559,29.0281,3399,55.5349,1096.1364,304.4823,45.4377,857.0600,238.0722,0.0000,0.0015,0.0004,
08:57:54:198,701579507715377,30.0287,3399,56.1545,1152.3015,320.0837,46.0159,903.0845,250.8568,0.0000,0.0015,0.0004,
08:57:55:199,701582709817651,31.0293,3399,56.8162,1209.1285,335.8690,46.6773,949.7707,263.8252,0.0000,0.0015,0.0004,
08:57:56:199,701585911941206,32.0300,3399,55.7751,1264.9146,351.3652,45.6807,995.4604,276.5168,0.0000,0.0015,0.0004,
08:57:57:200,701589114207671,33.0307,3399,55.4652,1320.3932,366.7759,45.2385,1040.7098,289.0861,0.0000,0.0015,0.0004,
08:57:58:201,701592316278635,34.0313,3399,55.8322,1376.2357,382.2877,45.6386,1086.3568,301.7658,0.0000,0.0015,0.0004,
08:57:59:201,701595518440610,35.0320,3411,55.6635,1431.9109,397.7530,45.5751,1131.9415,314.4282,0.0000,0.0015,0.0004,
