System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
05:08:38:911,934045979047726,1.0005,3599,14.1507,14.1518,3.9311,6.7122,6.7127,1.8646,0.0000,0.0000,0.0000,
05:08:39:912,934049181059581,2.0011,3585,8.1458,22.2992,6.1942,3.3921,10.1055,2.8071,0.0000,0.0000,0.0000,
05:08:40:913,934052384173487,3.0021,2120,4.4670,26.7671,7.4353,1.5492,11.6550,3.2375,0.0000,0.0000,0.0000,
05:08:41:914,934055590345872,4.0040,2162,2.3765,29.1443,8.0957,0.4466,12.1017,3.3616,0.0000,0.0000,0.0000,
05:08:42:916,934058796464516,5.0059,1069,1.3058,30.4507,8.4585,0.0014,12.1031,3.3620,0.0000,0.0000,0.0000,
05:08:43:918,934062002501480,6.0078,953,1.3870,31.8384,8.8440,0.0107,12.1138,3.3650,0.0000,0.0000,0.0000,
05:08:44:920,934065208534462,7.0096,826,1.3090,33.1480,9.2078,0.0000,12.1138,3.3650,0.0000,0.0000,0.0000,
05:08:45:922,934068414621644,8.0115,925,1.3028,34.4514,9.5698,0.0000,12.1138,3.3650,0.0000,0.0000,0.0000,
05:08:46:924,934071620677978,9.0134,1470,1.5168,35.9688,9.9913,0.0617,12.1756,3.3821,0.0000,0.0000,0.0000,
05:08:47:926,934074827301952,10.0154,1132,1.3266,37.2960,10.3600,0.0070,12.1826,3.3840,0.0000,0.0000,0.0000,
05:08:48:928,934078034073568,11.0175,810,1.2973,38.5939,10.7205,0.0001,12.1827,3.3841,0.0000,0.0000,0.0000,
05:08:49:929,934081237033399,12.0185,3599,12.0456,50.6454,14.0682,5.3130,17.4983,4.8606,0.0000,0.0000,0.0000,
05:08:50:930,934084439160511,13.0191,3598,14.3771,65.0253,18.0626,6.5711,24.0707,6.6863,0.0000,0.0000,0.0000,
05:08:51:930,934087641211281,14.0197,3567,22.2165,87.2462,24.2351,13.7488,37.8223,10.5062,0.0000,0.0000,0.0000,
05:08:52:931,934090843245515,15.0204,3590,19.8836,107.1335,29.7593,11.6465,49.4709,13.7419,0.0000,0.0000,0.0000,
05:08:53:932,934094045287805,16.0210,3563,20.0226,127.1601,35.3222,11.6988,61.1721,16.9922,0.0000,0.0000,0.0000,
05:08:54:932,934097247296608,17.0216,3596,19.8878,147.0515,40.8476,11.6420,72.8162,20.2267,0.0000,0.0000,0.0000,
05:08:55:933,934100449488177,18.0223,3596,19.9216,166.9771,46.3825,11.6441,84.4626,23.4618,0.0012,0.0012,0.0003,
05:08:56:933,934103651668049,19.0229,3598,20.0794,187.0613,51.9615,11.7537,96.2192,26.7275,0.0000,0.0012,0.0003,
05:08:57:934,934106853719636,20.0236,3400,24.7748,211.8405,58.8446,16.1979,112.4199,31.2277,0.0000,0.0012,0.0003,
05:08:58:935,934110055831508,21.0242,3399,57.2623,269.1135,74.7537,47.3976,159.8264,44.3962,0.0000,0.0012,0.0003,
05:08:59:935,934113257930423,22.0249,3399,59.0039,328.1288,91.1469,49.1426,208.9785,58.0496,0.0000,0.0012,0.0003,
05:09:00:936,934116460010176,23.0255,3399,58.5053,386.6450,107.4014,48.6074,257.5949,71.5541,0.0000,0.0012,0.0003,
05:09:01:937,934119662306885,24.0262,3399,57.4693,444.1276,123.3688,47.5429,305.1488,84.7636,0.0000,0.0012,0.0003,
05:09:02:937,934122864420959,25.0268,3399,56.2735,500.4122,139.0034,46.2920,351.4500,97.6250,0.0000,0.0012,0.0003,
05:09:03:938,934126066497309,26.0275,3399,55.5696,555.9919,154.4422,45.5593,397.0176,110.2827,0.0000,0.0012,0.0003,
05:09:04:939,934129268570975,27.0281,3399,54.8844,610.8864,169.6907,44.8446,441.8704,122.7418,0.0000,0.0012,0.0003,
05:09:05:939,934132470653215,28.0287,3399,55.2618,666.1585,185.0440,45.1486,487.0274,135.2854,0.0000,0.0012,0.0003,
05:09:06:940,934135672918565,29.0294,3400,55.5479,721.7200,200.4778,45.4896,532.5281,147.9245,0.0000,0.0012,0.0003,
05:09:07:941,934138875021774,30.0301,3399,55.4318,777.1624,215.8784,45.3262,577.8630,160.5175,0.0000,0.0012,0.0003,
05:09:08:941,934142077151918,31.0307,3399,55.5707,832.7443,231.3179,45.4522,623.3243,173.1456,0.0000,0.0012,0.0003,
05:09:09:942,934145279254504,32.0314,3399,55.5225,888.2775,246.7437,45.4553,668.7883,185.7745,0.0000,0.0012,0.0003,
05:09:10:943,934148481361445,33.0320,3399,55.8778,944.1661,262.2684,45.8335,714.6307,198.5085,0.0000,0.0012,0.0003,
