System Time,RDTSC,Elapsed Time (sec),IA Frequency_0 (MHz),Processor Power_0 (Watt),Cumulative Processor Energy_0 (Joules),Cumulative Processor Energy_0 (mWh),IA Power_0 (Watt),Cumulative IA Energy_0 (Joules),Cumulative IA Energy_0(mWh),GT Power_0 (Watt),Cumulative GT Energy_0 (Joules),Cumulative GT Energy_0(mWh)
22:19:58:439,1132063365471488,1.0012,1607,1.6228,1.6230,0.4508,0.0897,0.0897,0.0249,0.0000,0.0000,0.0000,
22:19:59:441,1132066569939421,2.0026,1184,1.3129,2.9364,0.8157,0.0001,0.0898,0.0249,0.0000,0.0000,0.0000,
22:20:00:441,1132069772331406,3.0033,2441,1.7799,4.7168,1.3102,0.2277,0.3175,0.0882,0.0000,0.0000,0.0000,
22:20:01:442,1132072974367456,4.0039,3598,14.8401,19.5598,5.4333,6.9186,7.2374,2.0104,0.0000,0.0000,0.0000,
22:20:02:443,1132076176430874,5.0046,3599,13.4085,32.9708,9.1585,5.9910,13.2296,3.6749,0.0000,0.0000,0.0000,
22:20:03:443,1132079378568808,6.0052,3596,13.9783,46.9519,13.0422,6.3196,19.5505,5.4307,0.0000,0.0000,0.0000,
22:20:04:444,1132082580799403,7.0059,3563,15.6369,62.5923,17.3867,7.9003,27.4525,7.6257,0.0000,0.0000,0.0000,
22:20:05:445,1132085782893146,8.0066,3578,25.0409,87.6384,24.3440,16.2226,43.6785,12.1329,0.0000,0.0000,0.0000,
22:20:06:445,1132088984933949,9.0072,3594,20.8031,108.4456,30.1238,12.3244,56.0052,15.5570,0.0000,0.0000,0.0000,
22:20:07:446,1132092186935802,10.0078,3576,20.8998,129.3491,35.9303,12.4610,68.4684,19.0190,0.0000,0.0000,0.0000,
22:20:08:766,1132096410497771,11.3276,3568,20.9359,156.9722,43.6034,12.4135,84.8469,23.5686,0.0000,0.0000,0.0000,
22:20:09:766,1132099612496558,12.3282,3584,21.0329,178.0088,49.4469,12.4954,97.3446,27.0402,0.0000,0.0000,0.0000,
22:20:10:767,1132102814522071,13.3289,3591,20.3643,198.3768,55.1047,11.8865,109.2333,30.3426,0.0000,0.0000,0.0000,
22:20:11:767,1132106016556826,14.3295,3581,19.8105,218.1910,60.6086,11.4449,120.6804,33.5223,0.0000,0.0000,0.0000,
22:20:12:768,1132109218590327,15.3301,3581,19.7377,237.9324,66.0923,11.3872,132.0697,36.6860,0.0000,0.0000,0.0000,
22:20:13:769,1132112420619485,16.3307,3594,19.7120,257.6481,71.5689,11.3612,143.4330,39.8425,0.0000,0.0000,0.0000,
22:20:14:769,1132115622624925,17.3313,3581,19.5194,277.1710,76.9919,11.2274,154.6624,42.9618,0.0000,0.0000,0.0000,
22:20:15:770,1132118824649896,18.3320,3584,19.6853,296.8599,82.4611,11.3542,166.0187,46.1163,0.0000,0.0000,0.0000,
22:20:16:771,1132122026670059,19.3326,3567,19.6588,316.5223,87.9229,11.3478,177.3686,49.2691,0.0000,0.0000,0.0000,
22:20:17:771,1132125228658909,20.3332,3592,19.7310,336.2568,93.4047,11.3828,188.7534,52.4315,0.0000,0.0000,0.0000,
22:20:18:772,1132128430679255,21.3338,3557,19.7507,356.0110,98.8920,11.4118,200.1673,55.6020,0.0000,0.0000,0.0000,
22:20:19:772,1132131632711560,22.3344,3600,19.4195,375.4343,104.2873,11.1085,211.2779,58.6883,0.0000,0.0000,0.0000,
22:20:20:773,1132134834764826,23.3350,3600,19.5617,394.9998,109.7222,11.2322,222.5123,61.8090,0.0000,0.0000,0.0000,
22:20:21:774,1132138036775566,24.3357,3585,19.4935,414.4968,115.1380,11.1933,233.7076,64.9188,0.0000,0.0000,0.0000,
22:20:22:774,1132141238833067,25.3363,3564,23.1081,437.6091,121.5581,14.5085,248.2188,68.9497,0.0000,0.0000,0.0000,
22:20:23:775,1132144441006053,26.3370,3421,56.2096,493.8303,137.1751,46.3319,294.5601,81.8223,0.0000,0.0000,0.0000,
22:20:24:776,1132147643149818,27.3376,3399,57.9705,551.8121,153.2811,48.0755,342.6450,95.1792,0.0000,0.0000,0.0000,
22:20:25:776,1132150845275613,28.3383,3399,58.8897,610.7137,169.6427,48.9940,391.6489,108.7914,0.0017,0.0017,0.0005,
22:20:26:777,1132154047370376,29.3389,3399,57.8780,668.6025,185.7229,47.9442,439.6021,122.1117,0.0000,0.0017,0.0005,
22:20:27:778,1132157249419293,30.3395,3399,57.5856,726.1984,201.7218,47.6259,487.2365,135.3435,0.0000,0.0017,0.0005,
22:20:28:781,1132160461362818,31.3432,3399,57.2102,783.5954,217.6654,47.2177,534.6083,148.5023,0.0000,0.0017,0.0005,
