frame,value
0,21.628225
1,20.921604
2,20.881943
3,20.624594
4,20.441643
5,20.482471
6,20.501408
7,20.301498
8,20.150265
9,19.842661
10,19.625299
11,19.398649
12,19.173758
13,18.697309
14,18.734528
15,18.558722
16,18.603409
17,18.265673
18,18.042614
19,18.132633
20,18.091719
21,18.070938
22,17.770405
23,17.822737
24,17.872519
25,17.723900
26,17.526701
27,17.609381
28,17.657166
29,17.607502
30,17.537359
31,17.535078
32,17.565010
33,17.566687
34,17.316383
35,17.409811
36,17.486734
37,17.262281
38,17.180058
39,17.234703
40,17.281698
41,17.227121
42,17.185923
43,17.208536
44,17.275927
45,17.277336
46,17.088799
47,17.192797
48,17.215937
49,17.136761
50,16.992004
51,17.056414
52,17.122320
53,16.980333
54,16.839386
55,16.926487
56,16.978172
57,16.963530
58,16.880226
59,16.988216
60,17.061808
61,16.932875
62,16.884308
63,16.970833
64,17.059820
65,16.936319
66,16.906118
67,16.873919
68,16.933662
69,16.841314
70,16.888634
71,16.796673
72,16.953640
73,16.677542
74,16.668556
75,16.790169
76,16.828123
77,16.735802
78,16.716150
79,16.777922
80,16.853964
81,16.736757
82,16.694221
83,16.719225
84,16.839363
85,16.674915
86,16.569487
87,16.638016
88,16.643156
89,16.680708
90,16.615910
91,16.571218
92,16.561983
93,16.517359
94,16.464006
95,16.481770
96,16.518013
97,16.493792
98,16.419252
99,16.456806
100,16.544884
101,16.488426
102,16.453613
103,16.503279
104,16.550135
105,16.434404
106,16.364931
107,16.423244
108,16.485075
109,16.415195
110,16.480631
111,16.498301
112,16.468834
113,16.455259
114,16.405666
115,16.350681
116,16.394764
117,16.360771
118,16.286304
119,16.315050
120,16.352558
121,16.303835
122,16.269375
123,16.310974
124,16.244223
125,16.259317
126,16.209850
127,16.242392
128,16.247526
129,16.279171
130,16.249180
131,16.301781
132,16.374504
133,16.365002
134,16.330406
135,16.481464
136,16.398209
137,16.353067
138,16.307449
139,16.265633
140,16.237150
141,16.212082
142,16.150309
143,16.182981
144,16.214628
145,16.185799
146,16.153399
147,16.170155
148,16.164009
149,16.126537
150,16.061771
151,16.124067
152,16.141838
153,16.101004
154,16.057978
155,16.098816
156,16.047485
157,16.055103
158,16.025820
159,16.031429
160,16.059118
161,16.050575
162,15.974405
163,15.982416
164,15.962809
165,15.945853
166,15.952847
167,15.943692
168,15.958672
169,15.932802
170,15.895245
171,15.892977
172,15.892501
173,15.844007
174,15.789815
175,15.787357
176,15.762346
177,15.772800
178,15.766264
179,15.776389
180,15.730008
181,15.767335
182,15.787860
183,15.750483
184,15.734742
185,15.674752
186,15.723039
187,15.684127
188,15.635261
189,15.610636
190,15.559385
191,15.523219
192,15.508263
193,15.493525
194,15.455264
195,15.486894
196,15.411417
197,15.447393
198,15.358192
199,15.407364
200,15.307895
201,15.383094
202,15.309614
203,15.305297
204,15.288592
205,15.305147
206,15.267862
207,15.274874
208,15.214242
209,15.243038
210,15.195854
211,15.281450
212,15.195832
213,15.170452
214,15.165254
215,15.199374
216,15.187084
217,15.228266
218,15.202055
219,15.199745
220,15.155908
221,15.212573
222,15.180305
223,15.179830
224,15.220250
225,15.153351
226,15.126842
227,15.122078
228,15.105510
229,15.106409
230,15.049976
231,15.084056
232,15.068345
233,15.147122
234,15.113996
235,15.129209
236,15.066351
237,15.085972
238,15.045247
239,15.067723
240,15.038795
241,15.078167
242,15.053717
243,15.071404
244,15.036618
245,15.072843
246,15.074172
247,15.074302
248,15.040467
249,15.119769
250,13.970715
251,14.126421
252,14.103046
253,14.107977
254,14.083787
255,14.157269
256,14.123035
257,14.137326
258,14.078986
259,14.132730
260,14.137226
261,14.119193
262,14.122316
263,14.144494
264,14.114655
265,14.124154
266,14.110564
267,14.152288
268,14.106591
269,14.095057
270,14.043891
271,14.035944
272,14.003793
273,14.015012
274,13.994677
275,14.025871
276,13.959962
277,13.970751
278,13.930979
279,13.945398
280,13.885131
281,13.884117
282,13.854697
283,13.909937
284,13.881303
285,13.899864
286,13.855740
287,13.905036
288,13.856160
289,13.855824
290,13.835363
291,13.852767
292,13.822914
293,13.828583
294,13.823928
295,13.854999
296,13.834529
297,13.826050
298,13.840774
299,13.859267
300,13.860139
301,13.843503
302,13.815063
303,13.826835
304,13.784542
305,13.772631
306,13.743003
307,13.702030
308,13.688437
309,13.683095
310,13.702252
311,13.692524
312,13.733290
313,13.721110
314,13.699553
315,13.703798
316,13.710517
317,13.654601
318,13.697881
319,13.721720
320,13.695678
321,13.717098
322,13.683589
323,13.710881
324,13.623954
325,13.603420
326,13.547789
327,13.589707
328,13.577245
329,13.598228
330,13.578220
331,13.576170
332,13.551464
333,13.560921
334,13.540349
335,13.582600
336,13.552936
337,13.595007
338,13.550172
339,13.532393
340,13.501991
341,13.513628
342,13.513303
343,13.552064
344,13.515826
345,13.530847
346,13.510611
347,13.536848
348,13.523884
349,13.515293
350,13.540810
351,13.503519
352,13.474226
353,13.473426
354,13.456613
355,13.479539
356,13.446925
357,13.420946
358,13.386075
359,13.396406
360,13.358595
361,13.341413
362,13.396491
363,13.392434
364,13.379848
365,13.371497
366,13.387304
367,13.350595
368,13.317800
369,13.312835
370,13.293100
371,13.302108
372,13.301765
373,13.321424
374,13.304304
375,13.325910
376,13.309044
377,13.315289
378,13.307318
379,13.317183
380,13.312233
381,13.338130
382,13.341587
383,13.351686
384,13.324243
385,13.343007
386,13.319336
387,13.376323
388,13.324624
389,13.306244
390,13.295131
391,13.323243
392,13.251334
393,13.336970
394,13.313513
395,13.411938
396,13.393067
397,13.420501
398,13.459388
399,13.483258
400,13.474641
401,13.438973
402,13.380115
403,13.408525
404,13.414230
405,13.429345
406,13.445560
407,13.524079
408,13.519358
409,13.519753
410,13.480736
411,13.495864
412,13.544966
413,13.489582
414,13.490757
415,13.555019
416,13.587751
417,13.587610
418,13.570148
419,13.605563
420,13.556579
421,13.505319
422,13.450520
423,13.488198
424,13.447357
425,13.427497
426,13.369580
427,13.345700
428,13.335470
429,13.361208
430,13.324166
431,13.413394
432,13.348978
433,13.367073
434,13.339534
435,13.381650
436,13.319476
437,13.412058
438,13.316043
439,13.363312
440,13.288160
441,13.297563
442,13.153231
443,13.210488
444,13.177625
445,13.226210
446,13.204813
447,13.324128
448,13.315269
449,13.312476
450,13.270070
451,13.298648
452,13.248909
453,13.263239
454,13.221781
455,13.257153
456,13.217073
457,13.227468
458,13.198903
459,13.244324
460,13.254943
461,13.297302
462,13.312854
463,13.328702
464,13.252343
465,13.201238
466,13.153147
467,13.157180
468,13.119348
469,13.122578
470,13.091352
471,13.176047
472,13.195974
473,13.232094
474,13.171600
475,13.172488
476,13.148870
477,13.161626
478,13.136648
479,13.190356
480,13.174533
481,13.192999
482,13.164194
483,13.171963
484,13.146872
485,13.130922
486,13.050550
487,13.114124
488,13.092360
489,13.113022
490,13.069765
491,13.156201
492,13.124061
493,13.166880
494,13.121347
495,13.211747
496,13.212380
497,13.215425
498,13.189144
499,13.198931
average,15.000806
