frame,value
0,0.981430
1,0.967874
2,0.968969
3,0.966979
4,0.970555
5,0.967038
6,0.968060
7,0.965525
8,0.968430
9,0.960458
10,0.955743
11,0.947584
12,0.943500
13,0.931108
14,0.925082
15,0.906270
16,0.894655
17,0.888471
18,0.887410
19,0.886806
20,0.885623
21,0.885714
22,0.884638
23,0.878796
24,0.880001
25,0.874111
26,0.874796
27,0.871906
28,0.873863
29,0.870228
30,0.875422
31,0.871948
32,0.873477
33,0.875109
34,0.874466
35,0.870533
36,0.874684
37,0.867810
38,0.870823
39,0.866654
40,0.870603
41,0.867990
42,0.872398
43,0.869056
44,0.871291
45,0.870933
46,0.870401
47,0.869029
48,0.869584
49,0.865877
50,0.869256
51,0.864350
52,0.868248
53,0.864311
54,0.867278
55,0.864390
56,0.868822
57,0.867136
58,0.871010
59,0.869528
60,0.873330
61,0.868043
62,0.873437
63,0.870045
64,0.872898
65,0.868284
66,0.874794
67,0.869210
68,0.874873
69,0.868892
70,0.875432
71,0.865780
72,0.875214
73,0.864375
74,0.872105
75,0.868101
76,0.869629
77,0.864599
78,0.873360
79,0.869689
80,0.872976
81,0.867168
82,0.872730
83,0.868230
84,0.873994
85,0.866680
86,0.870102
87,0.868764
88,0.870954
89,0.869170
90,0.874825
91,0.867911
92,0.870665
93,0.865073
94,0.869311
95,0.864067
96,0.868276
97,0.864514
98,0.869041
99,0.866755
100,0.872569
101,0.868887
102,0.872913
103,0.868929
104,0.872692
105,0.868834
106,0.874006
107,0.870234
108,0.875467
109,0.868083
110,0.874053
111,0.868685
112,0.872511
113,0.867771
114,0.873234
115,0.867956
116,0.872968
117,0.869105
118,0.871617
119,0.868645
120,0.871897
121,0.870001
122,0.872192
123,0.871037
124,0.871524
125,0.867900
126,0.872404
127,0.867698
128,0.872631
129,0.868282
130,0.873353
131,0.870534
132,0.876573
133,0.874978
134,0.878931
135,0.879462
136,0.878218
137,0.873089
138,0.876945
139,0.871884
140,0.874226
141,0.871835
142,0.875593
143,0.870924
144,0.874675
145,0.869282
146,0.873696
147,0.868200
148,0.872595
149,0.867446
150,0.871643
151,0.870511
152,0.873164
153,0.869481
154,0.872335
155,0.869195
156,0.871256
157,0.867556
158,0.873961
159,0.868449
160,0.873012
161,0.870310
162,0.872896
163,0.870502
164,0.871317
165,0.870817
166,0.877699
167,0.873621
168,0.877323
169,0.872791
170,0.877754
171,0.872005
172,0.875666
173,0.867330
174,0.872301
175,0.866585
176,0.871327
177,0.868359
178,0.875853
179,0.870915
180,0.873794
181,0.869796
182,0.877391
183,0.871780
184,0.875005
185,0.866880
186,0.875226
187,0.868895
188,0.871476
189,0.865871
190,0.872353
191,0.868049
192,0.871930
193,0.868126
194,0.873046
195,0.870746
196,0.871556
197,0.870719
198,0.872134
199,0.872696
200,0.871217
201,0.870159
202,0.871256
203,0.869699
204,0.873396
205,0.868411
206,0.870947
207,0.867114
208,0.869569
209,0.867415
210,0.872148
211,0.873508
212,0.874722
213,0.869241
214,0.874684
215,0.871463
216,0.875239
217,0.872874
218,0.876204
219,0.871290
220,0.874780
221,0.870455
222,0.875591
223,0.867419
224,0.876119
225,0.867130
226,0.873598
227,0.869942
228,0.872472
229,0.868198
230,0.873257
231,0.869649
232,0.873902
233,0.872398
234,0.878070
235,0.873887
236,0.874103
237,0.871632
238,0.875690
239,0.871339
240,0.872184
241,0.870316
242,0.874450
243,0.870875
244,0.874040
245,0.870078
246,0.875748
247,0.869165
248,0.872096
249,0.860159
250,0.929325
251,0.906608
252,0.905565
253,0.899437
254,0.904477
255,0.896218
256,0.898619
257,0.892268
258,0.895816
259,0.888498
260,0.892270
261,0.884868
262,0.888574
263,0.884277
264,0.888106
265,0.883964
266,0.887063
267,0.882912
268,0.885319
