frame,value
0,0.924020
1,0.901619
2,0.901028
3,0.894371
4,0.899260
5,0.890094
6,0.890519
7,0.881246
8,0.887777
9,0.865132
10,0.853959
11,0.839330
12,0.833920
13,0.815227
14,0.811457
15,0.794866
16,0.795957
17,0.772564
18,0.763257
19,0.762368
20,0.770266
21,0.753254
22,0.740395
23,0.734610
24,0.747416
25,0.725397
26,0.718531
27,0.716662
28,0.730470
29,0.709914
30,0.706593
31,0.705565
32,0.718666
33,0.705923
34,0.695770
35,0.696046
36,0.708451
37,0.683579
38,0.675774
39,0.675873
40,0.691485
41,0.674617
42,0.669674
43,0.671429
44,0.686501
45,0.672751
46,0.664883
47,0.667834
48,0.680044
49,0.661442
50,0.655583
51,0.656372
52,0.670243
53,0.648427
54,0.642399
55,0.644474
56,0.662557
57,0.645380
58,0.638951
59,0.640969
60,0.657596
61,0.636918
62,0.633268
63,0.638773
64,0.657351
65,0.638669
66,0.634471
67,0.635296
68,0.652058
69,0.627828
70,0.629059
71,0.627144
72,0.645227
73,0.621025
74,0.619715
75,0.622903
76,0.635958
77,0.620666
78,0.619552
79,0.621283
80,0.634899
81,0.617966
82,0.610213
83,0.614161
84,0.629072
85,0.610182
86,0.604928
87,0.610286
88,0.622650
89,0.612053
90,0.607516
91,0.605342
92,0.616641
93,0.604065
94,0.603556
95,0.604112
96,0.614189
97,0.603829
98,0.601388
99,0.602426
100,0.613907
101,0.600497
102,0.598748
103,0.600691
104,0.612963
105,0.595558
106,0.594662
107,0.596583
108,0.611153
109,0.599064
110,0.602500
111,0.603774
112,0.611045
113,0.597297
114,0.594078
115,0.593274
116,0.605710
117,0.594123
118,0.592689
119,0.595926
120,0.607831
121,0.595336
122,0.593699
123,0.597503
124,0.605677
125,0.595656
126,0.591858
127,0.595951
128,0.604190
129,0.591146
130,0.587283
131,0.592541
132,0.610143
133,0.601491
134,0.600738
135,0.608750
136,0.613026
137,0.601828
138,0.597752
139,0.596791
140,0.604900
141,0.590987
142,0.588494
143,0.591644
144,0.605280
145,0.592229
146,0.590041
147,0.591613
148,0.601407
149,0.588112
150,0.585245
151,0.588654
152,0.601081
153,0.586683
154,0.586203
155,0.589380
156,0.597563
157,0.583907
158,0.586487
159,0.588811
160,0.601053
161,0.590323
162,0.585965
163,0.587929
164,0.596369
165,0.585412
166,0.589922
167,0.588457
168,0.602393
169,0.590089
170,0.590498
171,0.591850
172,0.602472
173,0.586724
174,0.582141
175,0.582959
176,0.595817
177,0.581199
178,0.584213
179,0.589497
180,0.601285
181,0.591248
182,0.593505
183,0.591529
184,0.603837
185,0.586828
186,0.589250
187,0.587494
188,0.598718
189,0.584579
190,0.587108
191,0.587687
192,0.598992
193,0.588050
194,0.586726
195,0.591284
196,0.599793
197,0.591097
198,0.587699
199,0.591942
200,0.599352
201,0.592261
202,0.588376
203,0.589323
204,0.602051
205,0.588059
206,0.586492
207,0.589636
208,0.601852
209,0.589151
210,0.589920
211,0.596595
212,0.607927
213,0.590692
214,0.590405
215,0.595067
216,0.607717
217,0.596940
218,0.595129
219,0.595348
220,0.606162
221,0.595267
222,0.592316
223,0.592419
224,0.609776
225,0.591950
226,0.590769
227,0.590865
228,0.604822
229,0.589578
230,0.587188
231,0.589460
232,0.601725
233,0.587756
234,0.586536
235,0.591088
236,0.601498
237,0.588044
238,0.588415
239,0.589972
240,0.601244
241,0.591156
242,0.590687
243,0.592023
244,0.601727
245,0.586788
246,0.587214
247,0.583423
248,0.595075
249,0.597863
250,0.680167
251,0.648779
252,0.638530
253,0.637025
254,0.653643
255,0.629989
256,0.625182
257,0.624579
258,0.636274
259,0.616855
260,0.612869
261,0.610940
262,0.624329
263,0.609143
264,0.605698
265,0.607153
266,0.619354
267,0.601679
268,0.600638
269,0.602597
270,0.618857
271,0.597664
272,0.598874
273,0.601465
