frame,value
0,32.609467
1,29.481224
2,29.531374
3,29.033216
4,29.825836
5,28.768440
6,28.861193
7,28.343071
8,29.013565
9,27.154968
10,26.233326
11,24.940945
12,24.459711
13,23.405745
14,23.072607
15,22.406761
16,21.982206
17,21.841734
18,21.735693
19,21.620230
20,21.266319
21,21.532646
22,21.446192
23,21.230513
24,20.970512
25,20.975555
26,20.912857
27,20.792984
28,20.653099
29,20.762407
30,20.873123
31,20.749069
32,20.634237
33,20.835659
34,20.754114
35,20.608644
36,20.561594
37,20.591698
38,20.630888
39,20.439575
40,20.330774
41,20.431761
42,20.608910
43,20.464746
44,20.365391
45,20.591808
46,20.535805
47,20.516830
48,20.313227
49,20.401314
50,20.539183
51,20.374853
52,20.277075
53,20.352381
54,20.391514
55,20.263006
56,20.174311
57,20.343897
58,20.388527
59,20.337873
60,20.330551
61,20.334450
62,20.557243
63,20.377737
64,20.342215
65,20.295759
66,20.457245
67,20.280848
68,20.321808
69,20.316408
70,20.563295
71,20.259588
72,20.381113
73,20.147169
74,20.392315
75,20.322996
76,20.213310
77,20.229643
78,20.525391
79,20.400475
80,20.360266
81,20.368885
82,20.452463
83,20.359484
84,20.363832
85,20.306332
86,20.381817
87,20.267139
88,20.175171
89,20.352350
90,20.475060
91,20.216158
92,20.130201
93,20.189840
94,20.275150
95,20.200880
96,20.098974
97,20.156305
98,20.229378
99,20.236572
100,20.254623
101,20.228525
102,20.361799
103,20.326834
104,20.287210
105,20.317291
106,20.405672
107,20.329817
108,20.319574
109,20.232191
110,20.453526
111,20.381809
112,20.280867
113,20.295732
114,20.398041
115,20.260319
116,20.243717
117,20.318216
118,20.347334
119,20.300138
120,20.258987
121,20.317814
122,20.392691
123,20.376432
124,20.181362
125,20.296675
126,20.354807
127,20.310219
128,20.167515
129,20.307051
130,20.420771
131,20.362543
132,20.419952
133,20.551012
134,20.606953
135,20.692036
136,20.417105
137,20.430691
138,20.524385
139,20.386393
140,20.254616
141,20.398302
142,20.489826
143,20.417458
144,20.318827
145,20.312960
146,20.399750
147,20.304630
148,20.214724
149,20.282995
150,20.372828
151,20.392950
152,20.286089
153,20.292997
154,20.342190
155,20.324766
156,20.194109
157,20.295872
158,20.434811
159,20.273220
160,20.279608
161,20.279583
162,20.331079
