frame,value
0,0.818414
1,0.766906
2,0.764759
3,0.756903
4,0.780950
5,0.742116
6,0.739345
7,0.732784
8,0.769872
9,0.685154
10,0.632877
11,0.646866
12,0.725226
13,0.604299
14,0.571088
15,0.619218
16,0.693307
17,0.608418
18,0.558849
19,0.599751
20,0.663959
21,0.582805
22,0.530231
23,0.576181
24,0.646874
25,0.575087
26,0.530400
27,0.567838
28,0.627997
29,0.553113
30,0.509001
31,0.547725
32,0.618081
33,0.556456
34,0.518793
35,0.554851
36,0.609162
37,0.542013
38,0.507778
39,0.544757
40,0.597687
41,0.537306
42,0.505640
43,0.534696
44,0.590041
45,0.527560
46,0.486232
47,0.523620
48,0.582440
49,0.521428
50,0.486978
51,0.519213
52,0.571528
53,0.508829
54,0.474885
55,0.509876
56,0.555961
57,0.502375
58,0.474645
59,0.506907
60,0.555675
61,0.499487
62,0.468924
63,0.499680
64,0.552070
65,0.498053
66,0.468924
67,0.497390
68,0.545835
69,0.493741
70,0.465479
71,0.492117
72,0.537584
73,0.481557
74,0.455769
75,0.482543
76,0.530912
77,0.477470
78,0.450583
79,0.482034
80,0.530842
81,0.477508
82,0.447661
83,0.476928
84,0.523656
85,0.471839
86,0.444194
87,0.469048
88,0.514190
89,0.472842
90,0.447554
91,0.465663
92,0.503245
93,0.455178
94,0.428192
95,0.455331
96,0.496088
97,0.453867
98,0.430219
99,0.453500
100,0.496851
101,0.443601
102,0.409530
103,0.437635
104,0.494190
105,0.426199
106,0.400500
107,0.435584
108,0.488027
109,0.443073
110,0.428466
111,0.452859
112,0.484276
113,0.442751
114,0.419164
115,0.440084
116,0.476843
117,0.428126
118,0.400164
119,0.422838
120,0.470719
121,0.416323
122,0.385852
123,0.416109
124,0.462456
125,0.418217
126,0.394832
127,0.422341
128,0.457537
129,0.414506
130,0.391452
131,0.417521
132,0.465194
133,0.418526
134,0.394478
135,0.427346
136,0.467650
137,0.420617
138,0.393526
139,0.414029
140,0.456288
141,0.399322
142,0.374686
143,0.407806
144,0.455056
145,0.410584
146,0.387003
147,0.405272
148,0.443504
149,0.395458
150,0.364822
151,0.391982
152,0.440417
153,0.387167
154,0.360983
155,0.388142
156,0.432189
157,0.379876
158,0.353238
159,0.381278
160,0.426651
161,0.384827
162,0.364151
163,0.385340
164,0.420833
165,0.373650
166,0.351670
167,0.378330
168,0.424805
169,0.383327
170,0.366862
171,0.386830
172,0.419427
173,0.378141
174,0.354016
175,0.371671
176,0.410909
177,0.366176
178,0.350744
179,0.370775
180,0.404163
181,0.372575
182,0.354971
183,0.371856
184,0.403781
185,0.357316
186,0.337770
187,0.357866
188,0.397801
189,0.357491
190,0.339006
191,0.358687
192,0.394477
193,0.359953
194,0.339772
195,0.357307
196,0.389639
197,0.353936
198,0.332949
199,0.353439
200,0.385012
201,0.349976
202,0.329089
203,0.348990
204,0.380652
205,0.338507
206,0.320525
207,0.342530
208,0.378815
209,0.337553
210,0.322023
211,0.349558
212,0.383930
213,0.343909
214,0.327637
215,0.350923
216,0.385649
217,0.353450
218,0.334878
219,0.353707
220,0.386511
221,0.347526
222,0.328069
223,0.348013
224,0.385657
225,0.346036
226,0.328772
227,0.348879
228,0.380154
229,0.345666
230,0.329962
231,0.349790
