frame,value
0,23.659224
1,22.028841
2,21.922197
3,21.667828
4,21.885368
5,21.350203
6,21.232685
7,20.933792
8,21.341383
9,19.821115
10,19.264736
11,18.750742
12,20.189142
13,17.273964
14,16.948845
15,17.594128
16,19.127605
17,17.101036
18,16.409908
19,17.234081
20,18.459198
21,17.103100
22,16.331337
23,16.982330
24,18.132631
25,16.877295
26,16.302681
27,16.896534
28,17.933762
29,16.790150
30,16.350798
31,16.775846
32,17.853064
33,16.867922
34,16.268396
35,16.723755
36,17.758543
37,16.520002
38,16.032288
39,16.597509
40,17.511259
41,16.595699
42,16.252924
43,16.626049
44,17.495649
45,16.565863
46,15.965440
47,16.472893
48,17.416969
49,16.573875
50,16.093822
51,16.457069
52,17.313164
53,16.314949
54,15.972234
55,16.517021
56,17.150818
57,16.556593
58,16.205288
59,16.573814
60,17.236597
61,16.382975
62,16.041725
63,16.497120
64,17.242971
65,16.538839
66,16.240870
67,16.497322
68,17.148794
69,16.397795
70,16.136568
71,16.450235
72,17.231707
73,16.417885
74,16.207336
75,16.515066
76,17.092527
77,16.416759
78,16.113411
79,16.484150
80,17.211704
81,16.375914
82,16.085970
83,16.508760
84,17.238483
85,16.501678
86,16.210947
87,16.571316
88,17.136509
89,16.669506
90,16.410681
91,16.637430
92,17.122719
93,16.538063
94,16.331688
95,16.626612
96,17.151882
97,16.603960
98,16.344421
99,16.659571
100,17.304543
101,16.541372
102,16.219635
103,16.529408
104,17.383038
105,16.400909
106,16.145674
107,16.653967
108,17.437031
109,16.685318
110,16.557005
111,16.926712
112,17.475451
113,16.816957
114,16.536760
115,16.833616
116,17.495134
117,16.693575
118,16.361334
119,16.738914
120,17.509979
121,16.623301
122,16.319023
123,16.718182
124,17.432404
125,16.655422
126,16.299753
127,16.788971
128,17.509592
129,16.745867
130,16.410109
131,16.865644
132,17.739187
133,16.865986
134,16.510643
135,17.075445
136,17.786100
137,16.898098
138,16.493711
139,16.851393
140,17.681204
141,16.618729
142,16.225430
143,16.826271
144,17.709478
145,16.887962
146,16.570438
147,17.002319
148,17.701427
149,16.795017
150,16.379269
151,16.806625
152,17.705425
153,16.686188
154,16.297684
155,16.807760
156,17.660864
157,16.626284
158,16.243135
159,16.849792
160,17.810108
161,16.866913
162,16.536375
163,16.976992
164,17.751984
165,16.679102
166,16.377251
167,16.818901
168,17.809410
169,16.840185
170,16.556307
171,16.991528
172,17.774525
173,16.836678
174,16.376207
175,16.781027
176,17.706423
177,16.649805
178,16.391201
179,16.881994
180,17.692516
181,16.890375
182,16.554659
183,16.891172
184,17.747459
185,16.620924
186,16.360567
187,16.780563
188,17.732433
189,16.734495
190,16.424843
191,16.819977
192,17.690081
193,16.778141
194,16.460165
195,16.875875
196,17.659523
197,16.787603
198,16.356909
199,16.864405
200,17.648373
201,16.763721
202,16.355221
203,16.766706
204,17.676691
205,16.601221
206,16.197401
207,16.684227
208,17.640471
209,16.500496
210,16.221756
211,16.865667
212,17.711542
213,16.637770
214,16.293385
215,16.788773
216,17.664268
217,16.745010
218,16.387815
219,16.820831
220,17.667513
221,16.695431
222,16.283018
223,16.761435
224,17.738762
225,16.652403
226,16.274302
