frame,value
0,28.240442
1,26.099081
2,25.855740
3,25.142082
4,25.154531
5,25.986065
6,24.738846
7,23.952457
8,22.729385
9,21.886732
10,22.307158
11,20.524971
12,19.239716
13,18.064510
14,18.387251
15,19.734085
16,18.030424
17,17.730492
18,18.169067
19,17.837133
20,18.126770
21,19.717192
22,17.708878
23,17.513155
24,17.865726
25,19.214127
26,17.698380
27,17.616467
28,17.962990
29,19.245735
30,17.910885
31,17.727930
32,18.016870
33,19.330647
34,17.918833
35,17.509447
36,17.863626
37,19.131397
38,17.601297
39,17.172194
40,16.994459
41,17.774729
42,19.196934
43,17.723951
44,17.124752
45,17.215408
46,17.533596
47,18.991529
48,17.765375
49,17.441919
50,17.053078
51,17.329485
52,19.047066
53,17.223085
54,16.669415
55,17.136501
56,17.932980
57,19.025671
58,17.912943
59,17.556616
60,18.074005
61,19.026695
62,17.945227
63,17.581738
64,17.474003
65,17.948383
66,19.189835
67,17.951736
68,17.615080
69,17.819223
70,19.135250
71,17.817879
72,17.857687
73,17.454584
74,17.906685
75,19.044474
76,18.004093
77,17.797800
78,18.100920
79,19.135227
80,17.962685
81,17.738993
82,17.498535
83,17.977324
84,19.220312
85,18.026234
86,17.791719
87,17.517822
88,17.963779
89,19.223484
90,18.185381
91,17.729811
92,18.141726
93,19.012150
94,18.135750
95,18.109253
96,18.254238
97,19.134558
98,18.048645
99,17.754648
100,18.101004
101,17.752331
102,18.108076
103,19.183538
104,17.961798
105,17.833990
106,17.672915
107,18.158247
108,19.177395
109,17.983335
110,17.633181
111,17.402735
112,17.735111
113,18.186880
114,19.294392
115,18.379930
116,18.745325
117,18.518053
118,19.209269
119,18.098492
120,17.652843
121,17.628342
122,17.748072
123,18.379993
124,19.199785
125,18.205051
126,17.659979
127,17.483009
128,17.963259
129,19.168669
130,18.129467
131,17.833656
132,18.254513
133,18.037994
134,18.346170
135,19.467108
136,18.477905
137,18.409533
138,18.419003
139,19.265692
140,18.068762
141,18.040550
142,17.597773
143,18.156475
144,19.269083
145,18.296040
146,18.292614
147,18.461750
