frame,value
0,0.648512
1,0.599675
2,0.550055
3,0.521439
4,0.528584
5,0.555976
6,0.495818
7,0.424118
8,0.382618
9,0.355268
10,0.336638
11,0.309312
12,0.291203
13,0.281754
14,0.295516
15,0.304184
16,0.295414
17,0.284143
18,0.273074
19,0.272253
20,0.275870
21,0.282947
22,0.257279
23,0.244447
24,0.244135
25,0.248417
26,0.224768
27,0.206820
28,0.206470
29,0.215185
30,0.194545
31,0.181747
32,0.184047
33,0.191842
34,0.180317
35,0.171909
36,0.168242
37,0.162892
38,0.154091
39,0.143699
40,0.135873
41,0.131348
42,0.128005
43,0.126686
44,0.126265
45,0.126706
46,0.127568
47,0.130282
48,0.128771
49,0.126427
50,0.123988
51,0.121159
52,0.118930
53,0.121582
54,0.123145
55,0.126307
56,0.132038
57,0.139438
58,0.135579
59,0.131900
60,0.131019
61,0.131652
62,0.128592
63,0.124396
64,0.121777
65,0.120763
66,0.120699
67,0.118753
68,0.118064
69,0.117100
70,0.116188
71,0.116101
72,0.117296
73,0.115778
74,0.117774
75,0.119821
76,0.119183
77,0.117029
78,0.118672
79,0.119975
80,0.118747
81,0.116978
82,0.115880
83,0.115399
84,0.116017
85,0.115232
86,0.114389
87,0.114611
88,0.114403
89,0.114613
90,0.114821
91,0.114262
92,0.114147
93,0.113714
94,0.113927
95,0.113133
96,0.112916
97,0.112702
98,0.113604
99,0.113674
100,0.113433
101,0.113535
102,0.113951
103,0.113445
104,0.113862
105,0.113522
106,0.112577
107,0.112155
108,0.112600
109,0.112861
110,0.113891
111,0.114071
112,0.113572
113,0.112958
114,0.112033
115,0.110979
116,0.110396
117,0.109142
118,0.108187
119,0.107938
120,0.107991
121,0.107357
122,0.106886
123,0.107193
124,0.106468
125,0.107661
126,0.107531
127,0.107180
128,0.106517
129,0.106823
130,0.106757
131,0.106571
132,0.106916
133,0.106049
134,0.105493
135,0.105874
136,0.105790
137,0.106331
138,0.106904
139,0.107800
140,0.107688
141,0.107980
142,0.107332
143,0.106546
144,0.105507
145,0.105233
146,0.104983
147,0.104544
148,0.104457
149,0.105048
150,0.105032
151,0.106016
152,0.106370
153,0.106905
154,0.106758
155,0.107201
156,0.106653
157,0.105918
158,0.105653
159,0.105284
160,0.105156
161,0.106482
162,0.107204
163,0.107197
164,0.106785
165,0.107000
166,0.107675
167,0.107391
168,0.106973
169,0.106784
170,0.106991
171,0.106924
172,0.107881
173,0.107255
174,0.106023
175,0.104691
176,0.103207
177,0.103319
178,0.105351
179,0.104884
180,0.105357
181,0.105618
182,0.107310
183,0.107791
184,0.108508
185,0.107773
186,0.108173
187,0.107080
188,0.105764
189,0.104950
190,0.104218
191,0.103257
192,0.102291
193,0.100988
194,0.099897
195,0.099440
196,0.101725
197,0.104305
198,0.104422
199,0.105885
200,0.105320
201,0.106792
202,0.105854
203,0.105260
204,0.104424
205,0.107572
206,0.107972
207,0.109353
208,0.109773
209,0.109139
210,0.109177
211,0.110362
212,0.109961
213,0.109077
214,0.108569
215,0.110337
216,0.110325
217,0.110648
218,0.110298
219,0.111371
220,0.111356
221,0.110466
222,0.109560
223,0.107375
224,0.110120
225,0.110324
226,0.111206
227,0.111377
228,0.111080
229,0.111671
230,0.111337
231,0.110819
232,0.110377
233,0.110145
234,0.111247
235,0.111509
236,0.112134
237,0.112492
238,0.112460
239,0.113129
240,0.112948
241,0.112676
242,0.112221
243,0.111099
244,0.112806
245,0.113790
246,0.114738
247,0.114625
248,0.114027
249,0.110419
250,0.220388
251,0.200519
252,0.175471
253,0.159419
254,0.149362
255,0.141087
256,0.135117
257,0.135269
258,0.136047
259,0.135819
260,0.136506
261,0.136592
262,0.133355
263,0.135179
264,0.135865
265,0.127517
266,0.119871
267,0.113675
268,0.111432
269,0.107877
270,0.104574
271,0.101238
272,0.100244
273,0.099633
274,0.099863
275,0.099801
276,0.098447
277,0.097805
278,0.097711
279,0.104598
280,0.108695
281,0.109286
282,0.110414
283,0.110118
284,0.107462
285,0.104665
286,0.101618
287,0.098683
288,0.095767
289,0.093849
290,0.092819
291,0.091290
292,0.090148
293,0.090137
294,0.091310
295,0.092170
296,0.092006
297,0.090960
298,0.092553
299,0.092267
300,0.091842
301,0.091552
302,0.092926
303,0.093432
304,0.094377
305,0.094203
306,0.093295
307,0.094932
308,0.094886
309,0.095073
310,0.093807
311,0.092058
312,0.090718
313,0.089619
314,0.089035
315,0.089824
316,0.088632
317,0.086542
318,0.085863
319,0.084779
320,0.084089
321,0.082631
322,0.081275
323,0.082579
324,0.083635
325,0.083107
326,0.081945
327,0.080150
328,0.080751
329,0.081749
330,0.081607
331,0.081355
332,0.083397
333,0.084953
334,0.085417
335,0.085188
336,0.084452
337,0.086222
338,0.086161
339,0.084814
340,0.084438
341,0.085749
342,0.086301
343,0.086351
344,0.086069
345,0.086239
346,0.084495
347,0.084638
348,0.084434
349,0.083752
350,0.084623
351,0.085853
352,0.087440
353,0.088326
354,0.087414
355,0.086635
356,0.086751
357,0.085565
358,0.083228
359,0.082173
360,0.083526
361,0.083511
362,0.084120
363,0.083902
364,0.082750
365,0.081796
366,0.083752
367,0.083912
368,0.082718
369,0.080751
370,0.081794
371,0.082371
372,0.083005
373,0.082182
374,0.080884
375,0.080335
376,0.081847
377,0.083068
378,0.081984
379,0.080054
380,0.082293
381,0.083657
382,0.082859
383,0.081590
384,0.082519
385,0.083552
386,0.082986
387,0.084038
388,0.084628
389,0.082894
390,0.080428
391,0.083618
392,0.083811
393,0.084298
394,0.084395
395,0.084697
396,0.084281
397,0.084193
398,0.086059
399,0.084509
400,0.082992
401,0.081881
402,0.080800
403,0.079063
404,0.078812
405,0.080284
406,0.081390
407,0.081111
408,0.080456
409,0.079679
410,0.078925
411,0.077488
412,0.078402
413,0.079390
414,0.080768
415,0.082231
416,0.082773
417,0.084882
418,0.085272
419,0.084610
420,0.082865
421,0.082046
422,0.081732
423,0.081554
424,0.081376
425,0.079391
426,0.078858
427,0.077554
428,0.076172
429,0.075297
430,0.075646
431,0.075963
432,0.075684
433,0.075363
434,0.075703
435,0.076193
436,0.075880
437,0.075615
438,0.074093
439,0.072485
440,0.073536
441,0.072688
442,0.070077
443,0.070735
444,0.069539
445,0.069115
446,0.069903
447,0.069865
448,0.069874
449,0.070667
450,0.070722
451,0.072534
452,0.073517
453,0.074273
454,0.074243
455,0.073144
456,0.073719
457,0.073551
458,0.073602
459,0.075252
460,0.075364
461,0.074834
462,0.076549
463,0.078439
464,0.078074
465,0.076903
466,0.073402
467,0.071162
468,0.072589
469,0.073288
470,0.074541
471,0.077010
472,0.080307
473,0.083473
474,0.081694
475,0.079110
476,0.077908
477,0.079186
478,0.081818
479,0.084173
480,0.082474
481,0.081442
482,0.082111
483,0.082326
484,0.083644
485,0.083275
486,0.084762
487,0.087734
488,0.086018
489,0.083523
490,0.083513
491,0.083323
492,0.079910
493,0.077371
494,0.076143
495,0.076082
496,0.076026
497,0.076434
498,0.075471
499,0.073069
average,0.115519
