frame,value
0,21.429329
1,20.534298
2,19.873028
3,19.651281
4,20.058252
5,19.860899
6,19.435799
7,19.217344
8,19.695827
9,18.157513
10,17.497641
11,17.538090
12,18.604141
13,16.717327
14,16.541039
15,17.157717
16,18.336786
17,16.859797
18,16.274057
19,16.982710
20,17.898165
21,16.824871
22,16.193209
23,16.767408
24,17.695318
25,16.665604
26,16.163147
27,16.668758
28,17.524422
29,16.562408
30,16.156361
31,16.539909
32,17.480379
33,16.646727
34,16.142687
35,16.556973
36,17.423849
37,16.386177
38,15.939625
39,16.417395
40,17.219910
41,16.392736
42,16.099894
43,16.435499
44,17.229147
45,16.403984
46,15.871380
47,16.340578
48,17.128180
49,16.344679
50,15.963385
51,16.346081
52,17.090157
53,16.201235
54,15.888195
55,16.373917
56,16.940250
57,16.344833
58,16.029476
59,16.404011
60,16.983341
61,16.206034
62,15.907168
63,16.295845
64,16.936625
65,16.272738
66,15.998645
67,16.248629
68,16.842922
69,16.165625
70,15.948773
71,16.215294
72,16.928564
73,16.165974
74,15.928865
75,16.217493
76,16.750765
77,16.113358
78,15.866299
79,16.177826
80,16.809355
81,16.110275
82,15.851274
83,16.184938
84,16.831120
85,16.203892
86,15.901782
87,16.188868
88,16.641415
89,16.218088
90,15.985063
91,16.126270
92,16.533655
93,16.051874
94,15.806220
95,16.040565
96,16.447985
97,16.003296
98,15.766859
99,15.975077
100,16.469185
101,15.902513
102,15.623519
103,15.870591
104,16.458076
105,15.706361
106,15.465216
107,15.815998
108,16.384890
109,15.857911
110,15.793119
111,16.045212
112,16.400303
113,15.962477
114,15.735358
115,15.869097
116,16.267384
117,15.816523
118,15.579721
119,15.792126
120,16.264181
121,15.691509
122,15.460381
123,15.737538
124,16.166569
125,15.731352
126,15.537118
127,15.775537
128,16.136665
129,15.706191
130,15.508081
131,15.753245
132,16.259504
133,15.781958
134,15.546663
135,15.889432
136,16.274029
137,15.806471
138,15.585378
139,15.724133
140,16.101221
141,15.569751
142,15.356119
143,15.630930
144,16.052057
145,15.642950
146,15.501311
147,15.701305
148,16.056429
149,15.604983
150,15.363494
151,15.594172
152,16.065525
153,15.525938
154,15.324315
155,15.587828
156,15.981470
157,15.477258
158,15.265798
159,15.527740
160,16.016853
161,15.591421
162,15.415461
163,15.621664
164,15.968966
165,15.507805
166,15.354553
167,15.565578
168,16.027252
169,15.586392
170,15.459144
171,15.652486
172,16.035564
173,15.574940
174,15.360065
175,15.518091
176,15.920959
177,15.459941
178,15.324544
179,15.528712
180,15.877488
181,15.536128
182,15.381621
183,15.500751
184,15.868533
185,15.343193
186,15.228234
187,15.365943
188,15.734834
189,15.316719
190,15.161807
191,15.300206
192,15.650877
193,15.304222
194,15.127528
195,15.282011
196,15.543777
197,15.248988
198,15.037794
199,15.232677
200,15.466131
201,15.165552
202,14.972795
203,15.110168
204,15.430701
205,15.073134
206,14.932178
207,15.090714
208,15.377777
209,15.024446
210,14.889452
211,15.134470
212,15.367971
213,15.003713
214,14.892292
215,15.057213
216,15.344840
217,15.093517
218,14.961977
219,15.094242
220,15.351583
221,15.062121
222,14.928206
223,15.046167
224,15.377086
225,14.999280
226,14.876036
227,14.997422
228,15.250222
229,14.956586
230,14.814624
231,14.972587
232,15.247046
233,15.002651
234,14.877703
235,15.036567
236,15.279156
237,14.958774
238,14.823441
239,14.950992
240,15.197532
241,14.899272
242,14.751948
243,14.883147
244,15.210106
245,14.854375
246,14.753656
247,14.891909
248,15.211480
249,15.283454
250,15.239896
251,14.893014
252,14.760836
253,14.950434
254,15.465000
255,14.894484
256,14.695587
257,14.940898
258,15.430132
259,14.964417
260,14.772131
261,14.938767
262,15.476455
263,14.937595
264,14.691447
265,14.943001
266,15.483186
267,14.830893
268,14.558928
269,14.844928
270,15.435785
271,14.757746
272,14.634410
273,14.933819
274,15.423201
275,14.930373
276,14.668406
277,14.895867
278,15.406338
279,14.867878
280,14.680496
281,14.901564
282,15.318130
283,14.848239
284,14.640738
285,14.845524
286,15.282231
287,14.742846
288,14.550288
289,14.772397
290,15.243236
291,14.770385
292,14.546542
293,14.767880
294,15.280500
295,14.729994
296,14.524261
297,14.722984
298,15.340887
299,14.826012
300,14.617799
301,14.787274
302,15.296136
303,14.655799
304,14.482079
305,14.715928
306,15.228270
307,14.648456
308,14.503490
309,14.655124
310,15.241863
311,14.546690
312,14.326277
313,14.536197
314,15.251315
315,14.526714
316,14.306981
317,14.532736
318,15.228828
319,14.474622
320,14.251210
321,14.578478
322,15.217466
323,14.498922
324,14.274858
325,14.558531
326,15.103216
327,14.494360
328,14.292466
329,14.548116
330,15.139901
331,14.569896
332,14.429813
333,14.666875
334,15.089722
335,14.746111
336,14.577989
337,14.805677
338,15.154387
339,14.662056
340,14.507064
341,14.686145
342,15.104858
343,14.742069
344,14.589068
345,14.744240
346,15.096859
347,14.696296
348,14.527140
349,14.647249
350,15.116389
351,14.592489
352,14.388608
353,14.531607
354,14.983665
355,14.554442
356,14.378474
357,14.539294
358,14.954221
359,14.466383
360,14.302430
361,14.492750
362,15.045695
363,14.526238
364,14.310767
