frame,value
0,0.972893
1,0.957614
2,0.956973
3,0.954439
4,0.958745
5,0.954122
6,0.954283
7,0.951403
8,0.955561
9,0.942603
10,0.933554
11,0.920766
12,0.914837
13,0.891634
14,0.877305
15,0.856728
16,0.854961
17,0.819376
18,0.819915
19,0.823511
20,0.836752
21,0.819462
22,0.819383
23,0.817443
24,0.826294
25,0.810923
26,0.808015
27,0.806747
28,0.816249
29,0.801169
30,0.807385
31,0.806111
32,0.816150
33,0.808334
34,0.807047
35,0.804692
36,0.814397
37,0.799738
38,0.802090
39,0.799339
40,0.808201
41,0.802387
42,0.804028
43,0.802207
44,0.809844
45,0.802921
46,0.800131
47,0.801884
48,0.807044
49,0.799377
50,0.799862
51,0.797379
52,0.806203
53,0.793586
54,0.793138
55,0.793931
56,0.804128
57,0.799445
58,0.799884
59,0.801604
60,0.809470
61,0.799747
62,0.799995
63,0.801633
64,0.810288
65,0.803705
66,0.803515
67,0.802044
68,0.810597
69,0.803460
70,0.806647
71,0.800388
72,0.813224
73,0.800103
74,0.802924
75,0.804998
76,0.808355
77,0.803007
78,0.806332
79,0.806126
80,0.813309
81,0.805502
82,0.803638
83,0.803671
84,0.814600
85,0.805448
86,0.802497
87,0.805131
88,0.810113
89,0.808599
90,0.807942
91,0.803945
92,0.806806
93,0.803068
94,0.801519
95,0.803844
96,0.808761
97,0.804382
98,0.801675
99,0.805602
100,0.812549
101,0.803748
102,0.803807
103,0.806052
104,0.813360
105,0.804805
106,0.804771
107,0.805903
108,0.814956
109,0.805162
110,0.807344
111,0.806713
112,0.811446
113,0.807437
114,0.804931
115,0.805947
116,0.811659
117,0.804109
118,0.802194
119,0.804522
120,0.812394
121,0.805345
122,0.804081
123,0.806827
124,0.809519
125,0.808046
126,0.804991
127,0.806804
128,0.811953
129,0.807631
130,0.806349
131,0.809739
132,0.818065
133,0.814756
134,0.813606
135,0.819672
136,0.820399
137,0.813843
138,0.811161
139,0.810695
140,0.815971
141,0.809526
142,0.807826
143,0.809145
144,0.813286
145,0.807986
146,0.805930
147,0.806572
148,0.812676
149,0.803572
150,0.802856
151,0.806602
152,0.813069
153,0.808243
154,0.805788
155,0.807611
156,0.812930
157,0.806178
158,0.806413
159,0.806133
160,0.812894
161,0.807930
162,0.803955
163,0.805427
164,0.808170
165,0.804049
166,0.806182
167,0.807769
168,0.814985
169,0.806483
170,0.807981
171,0.805581
172,0.814240
173,0.803572
174,0.798584
175,0.800664
176,0.807585
177,0.800583
178,0.803744
179,0.804154
180,0.811470
181,0.805628
182,0.807558
183,0.806445
184,0.812925
185,0.802801
186,0.805448
187,0.802279
188,0.807572
189,0.802208
190,0.803277
191,0.804071
192,0.810718
193,0.804656
194,0.803279
195,0.805160
196,0.809742
197,0.805463
198,0.801511
199,0.806474
200,0.809299
201,0.805277
202,0.803177
203,0.805189
204,0.811551
205,0.804978
206,0.800702
207,0.801721
208,0.806508
209,0.800650
210,0.799031
211,0.806621
212,0.811295
213,0.802074
214,0.801822
215,0.804298
216,0.812392
217,0.806748
218,0.804945
219,0.804381
220,0.812166
221,0.807352
222,0.805634
223,0.804448
224,0.815733
225,0.805183
226,0.803624
227,0.804398
228,0.810018
229,0.804110
230,0.801366
231,0.803550
232,0.810545
233,0.805056
234,0.805620
235,0.806247
236,0.811136
237,0.805145
238,0.805377
239,0.805511
240,0.810304
241,0.805911
242,0.805039
243,0.803762
244,0.812192
245,0.802153
246,0.804592
247,0.802226
248,0.807236
249,0.793418
250,0.901618
251,0.868186
252,0.858172
253,0.853913
254,0.862405
255,0.845631
256,0.841520
257,0.840407
258,0.848648
259,0.832690
260,0.831519
261,0.828694
262,0.836842
263,0.826116
264,0.824732
265,0.825885
266,0.833564
267,0.823566
268,0.822521
269,0.823804
270,0.832710
271,0.821151
272,0.822697
273,0.823560
274,0.830080
275,0.821779
276,0.819556
277,0.821145
278,0.828573
279,0.817532
280,0.816285
281,0.817121
282,0.825179
283,0.816365
284,0.817246
285,0.818180
286,0.824162
287,0.817963
288,0.815056
289,0.814761
290,0.823124
291,0.814024
292,0.813132
293,0.812550
294,0.820705
295,0.811775
296,0.814424
297,0.813699
298,0.826050
299,0.813270
300,0.813931
301,0.812626
302,0.820388
303,0.812515
304,0.812827
305,0.813612
306,0.822036
307,0.811772
308,0.813426
309,0.813769
310,0.823122
311,0.813614
312,0.817641
313,0.815003
314,0.822646
315,0.813192
316,0.814463
317,0.809961
318,0.822540
319,0.809697
320,0.811788
321,0.812643
322,0.822265
323,0.810283
324,0.806324
325,0.809026
326,0.817895
327,0.808423
328,0.809314
329,0.811062
330,0.822118
331,0.808870
332,0.810972
333,0.812190
334,0.818697
335,0.811687
336,0.812950
337,0.813179
338,0.822259
339,0.811704
340,0.812388
341,0.813813
342,0.824181
343,0.816751
344,0.815325
345,0.813601
346,0.821264
347,0.813908
348,0.813850
349,0.813757
350,0.826200
351,0.814116
352,0.812748
353,0.811367
354,0.821348
355,0.811432
356,0.810996
357,0.812733
358,0.820472
359,0.810793
360,0.809492
361,0.810804
362,0.825861
363,0.811353
364,0.813034
365,0.813691
366,0.826042
367,0.812946
368,0.812397
369,0.813077
370,0.822394
371,0.811001
372,0.812686
373,0.814888
374,0.822732
375,0.812898
376,0.810984
377,0.814065
378,0.822958
379,0.812738
380,0.812969
381,0.813115
382,0.822143
383,0.810668
384,0.811951
385,0.813334
386,0.821980
387,0.818897
388,0.814985
389,0.815477
390,0.823744
391,0.816037
392,0.812021
393,0.816696
394,0.823572
395,0.813891
396,0.815592
397,0.816412
398,0.831185
399,0.817448
400,0.824713
401,0.819168
402,0.830012
403,0.816222
404,0.817819
405,0.819274
406,0.830191
407,0.820829
408,0.824161
409,0.823604
410,0.834452
411,0.818840
412,0.827275
413,0.821685
414,0.830924
415,0.820061
416,0.825433
417,0.824574
418,0.836271
419,0.821864
420,0.825451
421,0.824831
422,0.832799
423,0.824284
424,0.823841
425,0.826653
426,0.832954
427,0.820706
428,0.821334
429,0.822770
430,0.832609
431,0.824474
432,0.824202
433,0.826542
434,0.832711
435,0.822679
436,0.820644
437,0.827088
438,0.834842
439,0.824176
440,0.825116
441,0.824700
442,0.828361
443,0.818996
444,0.820295
445,0.822167
446,0.833442
447,0.825382
448,0.829037
449,0.828391
450,0.840473
451,0.824673
452,0.827097
453,0.828186
454,0.837774
455,0.826085
456,0.825513
457,0.826227
458,0.834467
459,0.822672
460,0.826055
461,0.826910
462,0.842126
463,0.828958
464,0.828734
465,0.825119
466,0.835131
467,0.822123
468,0.823197
469,0.823563
470,0.830218
471,0.822585
472,0.825394
473,0.827770
474,0.834335
475,0.822836
476,0.821965
477,0.823398
478,0.832365
479,0.823536
480,0.823543
481,0.822659
482,0.833145
483,0.821425
484,0.823760
485,0.822266
486,0.825829
487,0.820593
488,0.820904
489,0.820585
490,0.828912
491,0.818122
492,0.818303
493,0.818143
494,0.825067
495,0.816344
496,0.815591
497,0.810739
498,0.815834
499,0.807428
average,0.818513
