frame,value
0,40.945740
1,34.221016
2,36.704601
3,34.091682
4,34.822323
5,33.928673
6,36.136784
7,32.415516
8,30.653143
9,29.984280
10,27.665892
11,26.486444
12,25.224901
13,24.730682
14,23.983950
15,23.515337
16,23.324142
17,23.412624
18,23.054678
19,23.176170
20,23.139799
21,23.829823
22,23.383961
23,23.403934
24,23.403542
25,23.873625
26,23.386246
27,23.483833
28,23.437494
29,24.069294
30,23.776133
31,23.677614
32,23.761721
33,24.409870
34,23.911900
35,23.947519
36,24.469488
37,23.925856
38,23.995312
39,23.903374
40,24.404690
41,24.105055
42,24.208143
43,24.202852
44,24.677921
45,24.271011
46,24.201395
47,24.851263
48,24.328230
49,24.335995
50,24.349722
51,24.828600
52,24.538433
53,24.976362
54,24.332747
55,24.456795
56,24.478361
57,25.073053
58,24.597904
59,24.786243
60,24.854572
61,25.246201
62,24.848135
63,24.925045
64,24.951187
65,25.359463
66,24.878916
67,24.914364
68,24.970951
69,25.432341
70,24.970751
71,24.523037
72,25.041779
73,25.460762
74,25.064936
75,25.202354
76,25.095251
77,25.581947
78,25.258089
79,25.313339
80,25.322012
81,25.790947
82,25.288305
83,25.349155
84,25.436314
85,25.887968
86,25.282833
87,25.449270
88,25.353151
89,26.025385
90,25.507662
91,25.421614
92,25.376646
93,25.872774
94,25.307068
95,25.385235
96,25.325891
97,25.970383
98,25.361818
99,25.446342
100,25.581825
101,26.049232
102,25.419699
103,25.593838
104,26.177038
105,25.521742
106,25.615200
107,25.587170
108,26.239159
109,25.714867
110,26.269165
111,25.659889
112,25.759047
113,25.687965
114,26.333771
115,25.602215
116,25.802721
117,25.843084
118,26.343065
119,25.737984
120,25.834860
121,25.895658
122,26.380970
123,25.900848
124,25.870224
125,25.823145
126,26.354214
127,25.863462
128,25.757322
129,26.496841
130,25.756760
131,26.056799
132,26.018539
133,26.688671
134,26.055996
135,26.424213
136,26.127443
137,26.689337
138,26.058966
139,26.132801
140,25.957800
141,26.706110
142,26.121235
143,25.999205
144,26.677153
145,25.995207
146,26.111433
147,26.012032
148,26.648327
149,25.909307
150,26.100891
151,26.098270
152,26.717249
153,26.126575
154,26.013582
155,26.695318
156,25.982859
157,26.198336
158,26.114008
159,26.765436
160,26.112085
161,26.260180
162,26.089773
163,26.755123
164,25.923368
165,26.262850
166,26.280682
167,26.872786
168,26.283262
169,26.305067
170,26.267153
171,26.818096
172,26.228720
173,26.217333
174,26.056129
175,26.693714
176,26.173338
177,26.068470
178,26.860596
179,26.119692
180,26.313637
181,26.167595
182,26.969471
183,26.199703
184,26.405418
185,26.147842
186,26.920847
187,26.276917
188,26.093914
189,26.775126
190,26.093512
191,26.236076
192,26.165882
193,26.787943
194,26.115526
195,26.324844
196,26.106340
197,26.905331
198,25.993811
199,26.399427
200,26.129280
201,26.824883
202,26.152378
203,26.135015
204,26.784580
205,26.042381
206,25.769308
207,26.036373
208,26.687937
209,26.035959
210,26.201656
211,26.315832
212,26.882914
213,26.019827
214,26.253428
215,26.166019
216,26.851252
217,26.200846
218,26.335709
219,26.168232
220,26.825844
221,26.101467
222,26.303850
223,26.033075
224,26.895144
225,25.926369
226,26.070004
227,26.744595
228,26.047771
229,26.173824
230,26.022686
231,26.726910
232,26.100761
233,26.365627
234,26.268332
235,26.986210
236,26.232931
237,26.359701
238,26.264519
239,26.864504
240,26.127798
241,26.329063
242,26.281214
243,26.809206
244,26.280603
245,26.151936
246,26.885218
247,25.769152
248,25.619749
249,25.421707
250,30.461699
251,27.371674
252,27.177572
253,26.814650
254,27.404110
255,26.693472
256,27.063108
257,26.330439
258,26.443714
259,26.233500
260,26.970146
261,26.082111
262,26.341114
263,26.270821
264,26.907307
265,26.320648
266,26.261951
267,26.937155
268,26.271265
269,26.362137
270,26.293016
271,26.907158
272,26.275948
273,26.405840
274,26.229315
275,26.994427
276,26.213421
277,26.386892
278,26.258358
279,26.903399
280,26.059864
281,26.273336
282,26.118923
283,26.890112
284,26.205103
285,26.362024
286,26.207718
287,26.977188
288,26.207632
289,26.318033
290,26.259068
291,26.836367
292,26.165895
293,26.305374
294,26.249880
295,26.899139
296,26.330641
297,26.376181
298,26.371798
299,26.978062
300,26.407194
301,26.449350
302,26.343714
303,26.951801
304,26.421560
305,26.315399
306,26.958622
307,26.172873
308,26.407434
309,26.276819
310,26.957960
311,26.387295
312,27.099991
313,26.376133
314,26.511869
315,26.325788
316,27.149551
317,26.181402
318,26.454813
319,26.332310
320,27.090889
321,26.506483
322,26.371447
323,27.108490
324,26.358519
325,26.868345
326,26.144140
327,26.381140
328,26.311234
329,27.046331
330,26.454805
331,26.411718
332,26.340548
333,26.997974
334,26.310564
335,26.508562
336,26.356052
337,27.155548
338,26.387861
339,26.438068
340,26.339327
341,27.008369
342,26.405804
343,26.614283
344,26.386917
345,27.031096
346,26.363611
347,26.352983
348,27.003704
349,26.376265
350,27.096918
351,26.340456
352,26.495663
353,26.382904
354,27.062149
355,26.344471
356,26.512587
357,26.350523
358,27.025606
359,26.360144
360,26.415956
361,26.359594
362,27.177525
363,26.380486
364,26.601131
365,26.525940
366,27.221994
367,26.621302
368,26.480709
369,27.034544
370,26.396271
371,26.530798
372,26.452665
373,27.168039
374,26.469269
375,26.677229
376,26.516899
377,27.148853
378,26.552824
379,26.624252
380,26.568336
381,27.144331
382,26.493679
383,26.571539
384,26.504206
385,27.134893
386,26.425220
387,26.860548
388,26.601049
389,27.172327
390,26.610886
391,26.723141
392,26.401527
393,27.234869
394,26.524805
395,26.708773
396,26.557766
397,27.218651
398,26.809055
399,26.882631
400,26.879280
401,27.363073
402,26.676798
403,26.685457
404,26.602057
405,27.271559
406,26.741219
407,26.995926
408,26.982544
409,27.577473
410,26.850304
411,26.710415
412,27.641478
413,26.756226
414,26.964682
415,26.925058
416,27.709934
417,27.107447
418,27.020901
419,27.671577
420,27.021948
421,27.003826
422,26.956938
423,27.614071
424,26.891964
425,27.057844
426,26.865818
427,27.453669
428,26.683670
429,26.959257
430,26.772757
431,27.596216
432,26.817543
433,27.046024
434,26.893270
435,27.524397
436,26.691135
437,27.225557
438,26.882542
439,27.588562
440,26.963856
