frame,value
0,0.937079
1,0.917392
2,0.916804
3,0.904464
4,0.902460
5,0.903479
6,0.908596
7,0.886691
8,0.864948
9,0.860791
10,0.784979
11,0.748495
12,0.730882
13,0.810326
14,0.725680
15,0.685025
16,0.714736
17,0.796961
18,0.709930
19,0.678891
20,0.700712
21,0.781018
22,0.675752
23,0.653915
24,0.693358
25,0.762597
26,0.687008
27,0.657142
28,0.687254
29,0.752728
30,0.672874
31,0.653201
32,0.682068
33,0.752194
34,0.692730
35,0.695973
36,0.748632
37,0.661078
38,0.631967
39,0.671212
40,0.732089
41,0.667413
42,0.648455
43,0.672704
44,0.728872
45,0.669511
46,0.675996
47,0.729831
48,0.658351
49,0.637517
50,0.661087
51,0.719020
52,0.681999
53,0.720456
54,0.639358
55,0.619504
56,0.650480
57,0.706182
58,0.645567
59,0.623347
60,0.651966
61,0.704832
62,0.641983
63,0.623742
64,0.647797
65,0.705053
66,0.648098
67,0.627442
68,0.654041
69,0.701222
70,0.634479
71,0.602066
72,0.649289
73,0.695751
74,0.643758
75,0.627975
76,0.643778
77,0.696818
78,0.645293
79,0.623482
80,0.641382
81,0.697255
82,0.640331
83,0.620263
84,0.647428
85,0.695150
86,0.638697
87,0.623742
88,0.644594
89,0.697203
90,0.646983
91,0.627177
92,0.644095
93,0.690448
94,0.639758
95,0.630138
96,0.643291
97,0.689165
98,0.640517
99,0.630296
100,0.645516
101,0.691279
102,0.634973
103,0.636150
104,0.694081
105,0.620095
106,0.617647
107,0.640739
108,0.693873
109,0.666407
110,0.696862
111,0.649318
112,0.638955
113,0.650436
114,0.688443
115,0.636498
116,0.629521
117,0.640837
118,0.686941
119,0.636017
120,0.621309
121,0.633009
122,0.689649
123,0.635103
124,0.628485
125,0.642780
126,0.685907
127,0.642903
128,0.645962
129,0.689231
130,0.636807
131,0.631326
132,0.642807
133,0.694501
134,0.640994
135,0.646654
136,0.654522
137,0.693116
138,0.639901
139,0.620952
140,0.628567
141,0.687431
142,0.633413
143,0.636527
144,0.686606
145,0.636650
146,0.628828
147,0.642748
148,0.684081
149,0.629958
150,0.619608
151,0.634352
152,0.687569
153,0.636843
154,0.638023
155,0.685261
156,0.619770
157,0.608734
158,0.624699
159,0.683436
160,0.631354
161,0.631301
162,0.638466
163,0.684771
164,0.628832
165,0.623540
166,0.631567
167,0.688960
168,0.630270
169,0.629530
170,0.647276
171,0.682726
172,0.636392
173,0.618602
174,0.626362
175,0.676809
176,0.631474
177,0.631941
178,0.687229
179,0.637809
180,0.631706
181,0.641292
182,0.690214
183,0.631554
184,0.623886
185,0.626010
186,0.686318
187,0.636626
188,0.634410
189,0.682887
190,0.626754
191,0.621807
192,0.633628
193,0.681200
194,0.630838
195,0.628785
196,0.638042
197,0.685818
198,0.625138
199,0.629439
200,0.636869
201,0.684598
202,0.639049
203,0.639339
204,0.685434
205,0.619475
206,0.596995
207,0.622965
208,0.680369
209,0.617921
210,0.614605
211,0.634169
212,0.684645
213,0.622811
214,0.622522
215,0.636159
216,0.685905
217,0.635053
218,0.625816
219,0.637077
220,0.684565
221,0.629334
222,0.623461
223,0.635000
224,0.689621
225,0.634630
226,0.638033
227,0.683883
228,0.629095
229,0.615493
230,0.628846
231,0.679945
232,0.624634
233,0.615365
234,0.635934
235,0.684216
236,0.629537
237,0.618709
238,0.630023
239,0.684470
240,0.625270
241,0.622950
242,0.634129
243,0.684224
244,0.632391
245,0.628509
246,0.684883
247,0.621808
248,0.622254
249,0.670107
250,0.759341
251,0.668085
252,0.654139
253,0.655074
254,0.724118
255,0.672057
256,0.720240
257,0.644439
258,0.640450
259,0.651223
260,0.705162
261,0.633306
262,0.631381
263,0.640650
264,0.697885
265,0.634026
266,0.630408
267,0.699695
268,0.615088
269,0.615463
270,0.623356
271,0.696408
272,0.628068
273,0.625674
274,0.637403
275,0.696624
276,0.624004
277,0.622986
278,0.629799
279,0.688847
280,0.623683
281,0.622261
282,0.634116
283,0.688345
284,0.628360
285,0.623604
286,0.623735
287,0.691765
288,0.622170
289,0.620420
290,0.631189
291,0.690008
292,0.621659
293,0.616532
294,0.617227
295,0.685793
296,0.608707
297,0.613484
298,0.625777
299,0.686947
300,0.616056
301,0.608408
302,0.609225
303,0.686365
304,0.617650
305,0.617981
306,0.688165
307,0.603335
308,0.606877
309,0.607621
310,0.686855
311,0.625327
312,0.694995
313,0.579321
314,0.592401
315,0.603620
316,0.687857
317,0.574670
318,0.588850
319,0.591173
320,0.685207
321,0.594344
322,0.595955
323,0.683055
324,0.618586
325,0.679680
326,0.586273
327,0.593093
328,0.600291
329,0.683005
330,0.596217
331,0.605416
332,0.610437
333,0.681250
334,0.613347
335,0.613102
336,0.621771
337,0.682128
338,0.608474
339,0.603822
340,0.611316
341,0.678503
342,0.611171
343,0.605890
344,0.619221
345,0.682097
346,0.623742
347,0.623869
348,0.683353
349,0.634232
350,0.688028
351,0.607584
352,0.604946
353,0.610507
354,0.684694
355,0.604998
356,0.602091
357,0.603530
358,0.683683
359,0.595724
360,0.603416
361,0.609595
362,0.689619
363,0.603994
364,0.598016
365,0.597785
366,0.691102
367,0.598158
368,0.596029
369,0.686822
370,0.581221
371,0.590896
372,0.599294
373,0.684304
374,0.584315
375,0.591492
376,0.599773
377,0.687971
378,0.586562
379,0.596491
380,0.595029
381,0.685271
382,0.576016
383,0.589896
384,0.597880
385,0.687713
386,0.580663
387,0.599140
388,0.594114
389,0.690640
390,0.577083
391,0.595873
392,0.596659
393,0.689083
394,0.573476
395,0.584177
396,0.577309
397,0.690382
398,0.575148
399,0.588224
400,0.587021
401,0.695729
402,0.563241
403,0.593033
404,0.597625
405,0.695573
406,0.565872
407,0.602011
408,0.595778
409,0.703302
410,0.591663
411,0.595362
412,0.702892
413,0.578126
414,0.607184
415,0.603518
416,0.704335
417,0.592723
418,0.596781
419,0.703503
420,0.558685
421,0.600837
422,0.591170
423,0.699166
424,0.563221
425,0.591578
426,0.589591
427,0.695060
428,0.557038
429,0.583440
430,0.582019
431,0.697767
432,0.567894
433,0.594249
434,0.580055
435,0.696632
436,0.562820
437,0.585341
438,0.576855
439,0.698130
440,0.591641
441,0.598151
442,0.690379
443,0.563299
444,0.561888
445,0.575670
446,0.697821
447,0.560099
448,0.594835
449,0.575618
450,0.703590
451,0.559979
452,0.586313
453,0.582634
454,0.699849
455,0.568675
456,0.589987
457,0.593996
458,0.695313
459,0.580628
460,0.587709
461,0.586318
462,0.701701
463,0.579151
464,0.591782
465,0.694573
466,0.574454
467,0.587789
468,0.614041
469,0.689830
470,0.596316
471,0.582553
472,0.579907
473,0.694898
474,0.563768
475,0.596627
476,0.606466
477,0.689146
478,0.595098
479,0.595083
480,0.601061
481,0.687065
482,0.586722
483,0.583931
484,0.603148
485,0.687076
486,0.598726
487,0.594355
488,0.599099
489,0.686563
490,0.593268
491,0.587841
492,0.591740
493,0.683837
494,0.597216
495,0.594224
496,0.684495
497,0.597162
498,0.595992
499,0.676326
average,0.646545
