frame,value
0,26.878540
1,24.520973
2,25.012815
3,24.445898
4,25.351511
5,24.492357
6,24.956942
7,24.489454
8,25.608643
9,23.923655
10,24.018486
11,23.141644
12,23.808962
13,22.736015
14,23.913280
15,23.654032
16,24.890064
17,24.085529
18,24.660547
19,24.383221
20,25.355650
21,24.680605
22,25.139887
23,24.697300
24,25.641951
25,24.735968
26,25.157541
27,24.820581
28,25.827726
29,24.908236
30,25.446981
31,25.212631
32,26.053234
33,25.280128
34,25.592722
35,25.174173
36,26.216921
37,25.257111
38,25.643536
39,25.193138
40,26.124302
41,25.184988
42,25.755119
43,25.244137
44,26.317526
45,25.545689
46,25.731382
47,25.539778
48,26.321402
49,25.294325
50,25.855463
51,25.451290
52,26.359447
53,25.473171
54,25.765726
55,25.365379
56,26.343704
57,25.395462
58,25.799000
59,25.474680
60,26.518305
61,25.479576
62,25.956579
63,25.578482
64,26.480101
65,25.355263
66,25.889698
67,25.361124
68,26.491531
69,25.429665
70,26.035921
71,25.340364
72,26.582188
73,25.281019
74,25.930424
75,25.532919
76,26.425703
77,25.301342
78,26.048883
79,25.615658
80,26.571112
81,25.570278
82,25.974936
83,25.585508
84,26.608547
85,25.543068
86,25.921465
87,25.564463
88,26.494616
89,25.545317
90,26.087152
91,25.496601
92,26.484802
93,25.418282
94,25.886120
95,25.409906
96,26.381857
97,25.380373
98,25.827171
99,25.465672
100,26.577436
101,25.512531
102,25.934761
103,25.543669
104,26.556135
105,25.529636
106,25.980801
107,25.558924
108,26.608826
109,25.461473
110,26.049906
111,25.573011
112,26.608412
113,25.535011
114,26.033224
115,25.451035
116,26.571861
117,25.660784
118,25.942163
119,25.644730
120,26.521299
121,25.705685
122,25.892534
123,25.726259
124,26.471659
125,25.512012
126,25.961010
127,25.529070
128,26.473637
129,25.571287
130,26.008505
131,25.569729
132,26.658930
133,25.813238
134,26.156618
135,26.072126
136,26.718597
137,25.680073
138,26.125782
139,25.522905
140,26.569469
141,25.656534
142,26.128157
143,25.615749
144,26.604826
145,25.515987
146,26.042110
147,25.486647
148,26.546534
149,25.474638
150,25.928782
151,25.683422
152,26.556757
153,25.581610
154,25.984543
155,25.586538
156,26.499537
157,25.578196
158,26.038862
159,25.562277
160,26.528973
161,25.576218
162,25.922403
163,25.618301
164,26.470861
165,25.536421
166,26.093475
167,25.653645
168,26.601484
169,25.513569
170,26.012724
171,25.525511
172,26.570097
173,25.358593
174,25.837023
175,25.374649
176,26.432253
177,25.454084
178,25.944748
179,25.497343
180,26.447384
181,25.451529
182,26.026300
183,25.611704
184,26.494024
185,25.386791
186,25.996058
187,25.435402
188,26.396278
189,25.339750
190,25.831572
191,25.432608
192,26.366859
193,25.341017
194,25.792910
195,25.366373
196,26.327213
197,25.299122
198,25.717152
199,25.567638
200,26.310575
201,25.386955
202,25.716690
203,25.493385
204,26.355391
205,25.321527
206,25.722162
207,25.338341
208,26.241863
209,25.228600
210,25.733421
211,25.608765
212,26.357380
213,25.241732
214,25.660910
215,25.287354
216,26.342299
217,25.328894
218,25.760977
219,25.308107
220,26.317810
221,25.285637
222,25.764759
223,25.173285
224,26.373812
225,25.196709
226,25.675571
227,25.239531
228,26.234751
229,25.107985
230,25.603548
231,25.229431
232,26.249538
233,25.324644
234,25.816580
235,25.337696
236,26.259583
237,25.195396
238,25.686619
239,25.236391
240,26.176205
241,25.131456
242,25.659342
243,25.253881
244,26.240705
245,25.311586
246,25.743067
247,25.306890
248,26.185562
249,26.458073
250,29.853529
251,26.117689
252,26.150932
253,25.566576
254,26.610106
255,25.433971
256,25.743607
257,25.212854
258,26.308542
259,25.041288
260,25.621767
261,25.088261
262,26.151171
263,25.159576
264,25.534187
265,25.312693
266,26.197515
267,25.179647
268,25.645237
269,25.237749
270,26.167841
271,25.061539
272,25.571959
273,25.116518
274,26.138519
275,25.177711
276,25.576710
277,25.258358
278,26.175905
279,25.138447
280,25.527233
281,25.045563
282,26.106501
283,25.068228
284,25.563482
285,25.336720
286,26.093586
287,25.188705
288,25.551336
289,25.067640
290,26.166458
291,25.078745
292,25.554085
293,25.116552
294,26.106577
295,25.257620
296,25.563578
297,25.150440
298,26.221325
299,25.164322
300,25.646902
301,25.153311
302,26.110088
303,25.229719
304,25.659502
305,25.228601
306,26.177382
307,25.033321
308,25.601040
309,25.119467
310,26.202623
311,25.202244
312,25.891233
313,25.459984
314,26.303196
315,25.236485
316,25.848047
317,25.205805
318,26.226513
319,25.348469
320,25.826208
321,25.489389
322,26.259249
323,25.381718
324,25.584757
325,25.120342
326,26.061735
327,25.037373
328,25.584616
329,25.185623
330,26.210732
331,25.040216
332,25.531918
333,25.083431
334,26.115177
335,25.204447
336,25.608168
337,25.284752
338,26.178782
339,25.130545
340,25.512264
341,25.214779
342,26.203634
343,25.296524
344,25.699516
345,25.354498
346,26.146240
347,25.213554
348,25.631468
349,25.238386
350,26.272078
351,25.102524
352,25.650684
353,25.187906
354,26.202414
355,25.161821
356,25.619373
357,25.267889
358,26.142344
359,25.185799
360,25.514690
361,25.271309
362,26.267887
363,25.275682
364,25.714085
365,25.341105
366,26.333303
367,25.386707
368,25.803820
369,25.311937
370,26.196545
371,25.167091
372,25.676979
373,25.318079
374,26.208918
375,25.366755
376,25.687174
377,25.353008
378,26.245300
379,25.232248
380,25.788431
381,25.423929
382,26.244417
383,25.326588
384,25.753447
385,25.316618
386,26.259825
387,25.585981
388,25.880846
389,25.563536
390,26.374750
391,25.578382
392,25.714628
393,25.677872
394,26.337448
395,25.522064
396,25.825485
397,25.662331
398,26.591959
399,25.707005
400,26.181343
401,25.721943
402,26.484144
403,25.520975
404,25.912580
405,25.666307
406,26.587469
407,25.846903
408,26.270258
409,25.990936
410,26.720808
411,25.713596
412,26.316935
413,25.767801
414,26.611187
415,25.869724
416,26.388895
417,26.007048
418,26.853334
419,25.980045
420,26.326616
421,25.879379
422,26.627726
423,25.887962
424,26.135887
425,25.828997
426,26.569836
427,25.637423
428,25.975611
429,25.758465
430,26.520046
431,25.830202
432,26.060057
433,25.838041
434,26.580370
435,25.791759
436,25.989546
437,25.978529
438,26.643524
439,25.800058
440,26.109018
441,25.762585
442,26.296268
443,25.517143
444,25.843428
445,25.700304
446,26.551577
447,25.884884
448,26.348387
449,25.973417
450,26.759335
451,25.803432
452,26.092186
453,25.821888
454,26.645681
455,25.732935
456,26.072359
457,25.636465
458,26.474890
459,25.521421
460,26.010582
461,25.767069
462,26.747267
463,25.882656
464,26.158680
465,25.609919
466,26.422123
467,25.325476
468,25.827225
469,25.345165
470,26.364456
471,25.578854
472,26.073015
473,25.786684
474,26.494757
475,25.485891
476,25.867617
477,25.426264
478,26.381330
479,25.446781
480,25.868137
481,25.442425
482,26.439623
483,25.444565
484,25.957153
485,25.416740
486,26.269953
487,25.583963
488,25.888330
489,25.429544
490,26.389820
491,25.442318
492,25.899338
493,25.470327
494,26.414118
495,25.437128
496,25.925337
497,25.438835
498,26.442970
499,26.655653
average,25.723623
