frame,value
0,0.855754
1,0.804696
2,0.802506
3,0.790798
4,0.820466
5,0.789889
6,0.797917
7,0.788570
8,0.817124
9,0.764170
10,0.752152
11,0.733447
12,0.752573
13,0.715318
14,0.738680
15,0.745630
16,0.783101
17,0.749334
18,0.758478
19,0.759196
20,0.785625
21,0.758203
22,0.762263
23,0.753239
24,0.780964
25,0.748572
26,0.752851
27,0.750234
28,0.779896
29,0.753871
30,0.765897
31,0.758548
32,0.786317
33,0.766484
34,0.772704
35,0.762917
36,0.793623
37,0.756872
38,0.768536
39,0.762962
40,0.792673
41,0.763898
42,0.773465
43,0.766744
44,0.795979
45,0.770290
46,0.777976
47,0.769304
48,0.799083
49,0.773001
50,0.781232
51,0.766000
52,0.800103
53,0.764494
54,0.773782
55,0.766943
56,0.799560
57,0.775996
58,0.782652
59,0.774387
60,0.804409
61,0.768265
62,0.781318
63,0.775111
64,0.804825
65,0.777021
66,0.786778
67,0.775976
68,0.805660
69,0.774364
70,0.787312
71,0.771798
72,0.809741
73,0.771648
74,0.785859
75,0.780127
76,0.806510
77,0.777638
78,0.789985
79,0.779184
80,0.809637
81,0.775633
82,0.788962
83,0.776913
84,0.809521
85,0.772010
86,0.783601
87,0.777821
88,0.806945
89,0.783449
90,0.791090
91,0.782303
92,0.807883
93,0.780580
94,0.787709
95,0.780673
96,0.804100
97,0.778397
98,0.782556
99,0.778491
100,0.806174
101,0.779515
102,0.788119
103,0.782116
104,0.810099
105,0.780481
106,0.794450
107,0.787224
108,0.815195
109,0.786084
110,0.795738
111,0.789354
112,0.812302
113,0.784168
114,0.788824
115,0.780245
116,0.807290
117,0.782638
118,0.788770
119,0.781971
120,0.806401
121,0.783721
122,0.792763
123,0.787776
124,0.807286
125,0.782907
126,0.787875
127,0.778865
128,0.807238
129,0.773040
130,0.782171
131,0.777624
132,0.807853
133,0.787765
134,0.795046
135,0.795794
136,0.812230
137,0.786107
138,0.789496
139,0.777589
140,0.804402
141,0.775913
142,0.786626
143,0.777746
144,0.806638
145,0.776617
146,0.781597
147,0.776124
148,0.803474
149,0.777773
150,0.787333
151,0.782717
152,0.807041
153,0.777945
154,0.784062
155,0.774339
156,0.800735
157,0.768065
158,0.780784
159,0.771869
160,0.803136
161,0.773842
162,0.779046
163,0.774187
164,0.798402
165,0.774053
166,0.788408
167,0.779597
168,0.805352
169,0.777572
170,0.785476
171,0.775930
172,0.803381
173,0.768921
174,0.773929
175,0.766887
176,0.798927
177,0.769656
178,0.780965
179,0.776163
180,0.801503
181,0.773306
182,0.785719
183,0.777749
184,0.802332
185,0.770698
186,0.783270
187,0.770954
188,0.798731
189,0.765898
190,0.776383
191,0.769707
192,0.796673
193,0.769177
194,0.777803
195,0.770780
196,0.795572
197,0.767765
198,0.775097
199,0.772955
200,0.796572
201,0.769409
202,0.776973
203,0.770104
204,0.795722
205,0.766308
206,0.774043
207,0.767281
208,0.794394
209,0.763914
210,0.774430
211,0.772110
212,0.796911
213,0.764867
214,0.772712
215,0.768424
216,0.799106
217,0.769445
218,0.778237
219,0.770983
220,0.797725
221,0.766617
222,0.776723
223,0.766085
224,0.801592
225,0.762903
226,0.772525
227,0.764395
228,0.797502
229,0.763149
230,0.771456
231,0.762026
232,0.799146
233,0.759569
234,0.772240
235,0.767388
236,0.798468
237,0.767193
238,0.776391
239,0.768731
240,0.797774
241,0.767098
242,0.777619
243,0.768861
244,0.798354
245,0.768103
246,0.780273
247,0.768332
248,0.795878
249,0.799983
250,0.902402
251,0.837602
252,0.837479
253,0.819985
254,0.851957
255,0.807898
256,0.816869
257,0.807156
258,0.839155
259,0.792469
260,0.798334
261,0.788255
262,0.822342
263,0.787428
264,0.795689
265,0.788395
266,0.822149
267,0.786314
268,0.799435
269,0.790368
270,0.826485
271,0.785884
272,0.798493
273,0.787897
274,0.818447
275,0.783258
276,0.790901
277,0.780725
278,0.811041
279,0.775527
280,0.782721
281,0.772227
282,0.804348
283,0.766648
284,0.776008
285,0.770561
286,0.802114
287,0.771228
288,0.779400
289,0.765374
290,0.799067
291,0.759506
292,0.771532
293,0.764171
294,0.796825
295,0.765226
296,0.778023
297,0.765857
298,0.802287
299,0.766051
300,0.775035
301,0.763393
302,0.799068
303,0.761019
304,0.777940
305,0.767364
306,0.799285
307,0.758621
308,0.771027
309,0.760024
310,0.796974
311,0.758111
312,0.776071
313,0.758329
314,0.796603
315,0.754306
316,0.772874
317,0.751831
318,0.793819
319,0.748474
320,0.768816
321,0.750781
322,0.795490
323,0.749654
324,0.763095
325,0.748941
326,0.790794
327,0.745371
328,0.761302
329,0.750433
330,0.791680
331,0.754555
332,0.769380
333,0.759688
334,0.791293
335,0.754990
336,0.764927
337,0.758489
338,0.790745
339,0.754393
340,0.766310
341,0.758203
342,0.790821
343,0.755131
344,0.766533
345,0.756081
346,0.790462
347,0.755946
348,0.766452
349,0.756659
350,0.792001
351,0.754208
352,0.765206
353,0.753513
354,0.790050
355,0.753786
356,0.765910
357,0.755759
358,0.791804
359,0.756693
360,0.769069
361,0.760392
362,0.797968
363,0.760513
364,0.775243
