frame,value
0,0.909882
1,0.899577
2,0.903356
3,0.906225
4,0.907608
5,0.909105
6,0.889552
7,0.851725
8,0.834011
9,0.818080
10,0.807208
11,0.810812
12,0.807779
13,0.817939
14,0.824580
15,0.824948
16,0.826869
17,0.826855
18,0.823494
19,0.822451
20,0.817923
21,0.817522
22,0.813920
23,0.807965
24,0.803094
25,0.800155
26,0.798639
27,0.795850
28,0.794986
29,0.794845
30,0.796140
31,0.814987
32,0.818359
33,0.821610
34,0.820260
35,0.820218
36,0.820958
37,0.820108
38,0.818098
39,0.800689
40,0.794537
41,0.790445
42,0.787160
43,0.786011
44,0.785775
45,0.787711
46,0.786340
47,0.787909
48,0.787268
49,0.785755
50,0.805308
51,0.806905
52,0.806933
53,0.807622
54,0.789789
55,0.802975
56,0.803489
57,0.791993
58,0.788511
59,0.786871
60,0.783935
61,0.781468
62,0.781003
63,0.800759
64,0.804478
65,0.804763
66,0.806614
67,0.806963
68,0.808239
69,0.807356
70,0.809007
71,0.791221
72,0.787366
73,0.782151
74,0.783042
75,0.782367
76,0.782972
77,0.781668
78,0.783074
79,0.802542
80,0.804269
81,0.805034
82,0.805565
83,0.805120
84,0.805597
85,0.806059
86,0.804992
87,0.805930
88,0.806313
89,0.807808
90,0.808782
91,0.807136
92,0.794896
93,0.789953
94,0.788106
95,0.787897
96,0.785532
97,0.783565
98,0.782218
99,0.781684
100,0.801645
101,0.803968
102,0.805734
103,0.807604
104,0.809409
105,0.809851
106,0.811133
107,0.811102
108,0.812229
109,0.810561
110,0.811518
111,0.810850
112,0.809600
113,0.809408
114,0.807633
115,0.805387
116,0.805188
117,0.804522
118,0.804531
119,0.805353
120,0.794823
121,0.794683
122,0.793445
123,0.793783
124,0.791315
125,0.789596
126,0.785766
127,0.800389
128,0.802826
129,0.802639
130,0.801710
131,0.801359
132,0.802594
133,0.804849
134,0.807790
135,0.810530
136,0.807738
137,0.806520
138,0.805214
139,0.803847
140,0.802321
141,0.803120
142,0.803064
143,0.802407
144,0.801500
145,0.800691
146,0.800084
147,0.799707
148,0.799158
149,0.788259
150,0.786011
151,0.787457
152,0.800868
153,0.790634
154,0.783129
155,0.799943
156,0.798110
157,0.798873
158,0.798801
159,0.798523
160,0.796855
161,0.797064
162,0.795412
163,0.795824
164,0.795884
165,0.798206
166,0.800757
167,0.802480
168,0.802892
169,0.802669
170,0.803637
171,0.802274
172,0.802521
173,0.798909
174,0.781370
175,0.776446
176,0.774586
177,0.773101
178,0.774976
179,0.794457
180,0.784752
181,0.799646
182,0.803652
183,0.802605
184,0.802532
185,0.802014
186,0.802872
187,0.801177
188,0.785027
189,0.778598
190,0.776447
191,0.774117
192,0.772837
193,0.772942
194,0.771935
195,0.772062
196,0.770856
197,0.795631
198,0.796928
199,0.800895
200,0.798522
201,0.801157
202,0.799731
203,0.800849
204,0.800200
205,0.786159
206,0.779739
207,0.776300
208,0.773567
209,0.773353
210,0.772170
211,0.772600
212,0.770033
213,0.769011
214,0.769699
215,0.771268
216,0.772234
217,0.795756
218,0.798888
219,0.799375
