frame,value
0,19.788223
1,18.937204
2,18.645901
3,18.380907
4,18.330441
5,18.319204
6,17.082851
7,15.000778
8,13.868502
9,13.191475
10,12.700492
11,12.402209
12,12.203679
13,12.073172
14,12.119577
15,12.472500
16,12.528790
17,13.170635
18,14.079941
19,15.306677
20,15.308881
21,16.560673
22,16.576542
23,16.518381
24,15.854670
25,15.161219
26,14.373526
27,13.705094
28,13.306069
29,13.022214
30,12.783148
31,12.596808
32,12.695912
33,12.663887
34,13.064110
35,13.047728
36,13.018084
37,13.733443
38,13.762050
39,13.737954
40,13.721525
41,13.722602
42,14.733060
43,14.433013
44,14.260794
45,14.163711
46,14.013122
47,13.977794
48,13.885167
49,13.848255
50,13.805634
51,13.765055
52,13.742075
53,13.712293
54,13.674647
55,13.672098
56,13.676369
57,13.702057
58,13.669382
59,13.679488
60,13.654296
61,13.602890
62,13.587670
63,13.575514
64,14.546040
65,14.648923
66,14.705984
67,14.685886
68,14.706965
69,14.698485
70,14.371020
71,14.112040
72,14.055906
73,13.899184
74,13.887391
75,13.849702
76,13.774819
77,13.721690
78,13.726839
79,13.716396
80,13.699850
81,13.635075
82,14.514888
83,14.577373
84,14.617098
85,14.583547
86,14.573557
87,14.613647
88,14.285498
89,14.158484
90,14.043760
91,13.925897
92,13.854297
93,13.810509
94,13.784390
95,13.764364
96,13.721087
97,13.698770
98,14.406309
99,14.466032
100,14.525269
101,14.535069
102,14.563645
103,14.610438
104,14.634247
105,14.601951
106,14.592722
107,14.591264
108,14.345711
109,14.163009
110,14.130903
111,14.060218
112,14.001840
113,13.943329
114,13.884676
115,13.802072
116,14.440821
117,14.490732
118,14.510159
119,14.512494
120,14.548394
121,14.571658
122,14.588361
123,14.628413
124,14.599612
125,14.616071
126,14.593666
127,14.578207
128,14.557888
129,14.561574
130,14.552486
131,14.565334
132,14.580785
133,14.607967
134,14.650725
135,14.693869
136,14.643610
137,14.310216
138,14.128143
139,13.983424
140,13.869218
141,13.804941
142,13.751697
143,13.685703
144,13.645967
145,13.608379
146,14.301629
147,14.350934
148,14.384151
149,14.398654
150,14.431227
151,14.458706
152,14.455762
153,14.163414
154,13.985647
155,13.873879
156,13.762831
157,13.682626
158,13.621099
159,13.560822
160,13.524999
161,14.247541
162,14.328092
163,14.355644
164,14.361348
165,14.435987
166,14.459528
167,14.476378
168,14.495426
169,14.209142
170,14.092924
171,13.937598
172,13.859411
173,13.744497
174,13.676244
175,13.634136
176,13.624865
177,13.592490
178,13.590578
179,14.239295
180,14.351867
181,14.399869
182,14.452578
183,14.434814
184,14.458430
185,14.437842
186,14.481986
187,14.443302
188,14.080583
189,13.895353
190,13.790784
191,13.713732
192,13.670289
193,13.629532
194,13.599113
195,13.571761
196,13.505957
197,14.180609
198,14.222784
199,14.282005
200,14.255161
201,14.266617
202,14.256569
203,14.255784
204,14.278664
205,13.968184
206,13.769275
207,13.650090
208,13.543275
209,13.477096
210,13.442069
211,13.469671
212,13.411942
213,13.354781
214,13.359824
215,13.334613
216,13.330871
217,14.056472
218,14.143837
219,14.162028
220,14.184641
221,14.204557
222,14.210193
223,14.217935
224,13.931069
225,13.735310
226,13.654971
227,13.566689
228,13.494874
229,13.423635
230,13.388367
231,13.354897
232,13.332571
233,13.336255
234,13.297561
235,14.025257
236,14.100398
237,14.117821
238,14.153240
239,14.171556
240,14.169056
241,13.850841
242,13.688474
243,13.581467
244,13.538826
245,13.474853
246,13.456697
247,13.420027
248,13.394152
249,13.355213
250,19.812637
251,17.014193
252,16.398493
253,15.703736
254,15.337839
255,15.051223
256,14.882603
257,14.755157
258,14.559640
259,14.364697
260,14.276437
261,14.182135
262,14.157736
263,14.087790
264,14.057222
265,14.076188
266,14.073279
267,14.094962
268,14.083706
269,14.063387
270,14.039910
271,13.978557
272,13.934604
273,13.913599
274,13.900010
275,13.900780
276,13.860149
277,13.852250
278,13.832381
279,13.806807
280,13.757095
281,13.722275
282,13.676821
283,13.663094
284,13.638531
285,13.628401
286,13.576264
287,13.584298
288,13.565917
289,13.551215
290,13.555802
291,13.568954
292,13.579190
293,13.596063
294,13.578276
295,13.591833
296,13.593190
297,13.589458
298,13.626754
299,13.611544
300,13.613215
301,13.600390
302,13.601341
303,13.619159
304,13.601114
305,13.574021
306,13.544121
307,13.490849
308,13.479244
309,13.462598
310,13.498684
311,13.496924
312,13.559326
313,13.532052
314,13.505193
315,13.447413
316,13.460679
317,13.402078
318,13.432495
319,13.409101
320,13.398094
321,13.384717
322,13.364885
323,13.349315
324,13.311162
325,13.295299
326,13.284688
327,13.279054
328,13.289220
329,13.309211
330,13.320850
331,13.279829
332,13.271252
333,13.288686
334,13.294117
335,13.313385
336,13.300141
337,13.324659
338,13.295984
339,13.266520
340,13.259830
341,13.255020
342,13.262353
343,14.305925
344,14.416479
345,14.487494
346,14.129306
347,13.927049
348,14.496429
349,14.158593
350,14.002267
351,13.816648
352,13.768571
353,13.729326
354,13.705915
355,13.676455
356,13.647490
357,13.614106
358,13.597120
359,13.582116
360,13.550165
361,13.519661
362,14.468802
363,14.551035
364,14.633429
365,14.653451
366,14.710000
367,14.716241
368,14.189918
369,13.928986
370,13.797482
371,13.716688
372,13.692002
373,13.658827
374,13.651859
375,13.649420
376,13.615596
377,13.610831
378,13.605922
379,13.563843
380,13.563300
381,13.567250
382,13.523505
383,13.477624
384,13.452142
385,13.438507
386,13.412695
387,13.449417
388,13.428702
389,13.423161
390,13.406673
391,13.406681
392,13.359938
393,13.396099
394,13.354215
395,13.362015
396,13.331827
397,13.352223
398,13.360985
399,13.355448
400,13.365722
401,13.321354
402,13.262441
403,13.235767
404,13.246789
405,13.219877
406,13.248013
407,13.288437
408,13.316687
409,13.285159
410,13.248368
411,13.169372
412,13.212300
413,13.162122
414,13.180507
415,13.197365
416,13.231828
417,13.214472
418,13.212593
419,13.205653
420,13.144391
421,13.075886
422,13.054476
423,13.035510
424,13.010179
425,12.977751
426,12.960350
427,12.923500
428,12.920007
429,12.944152
430,12.911256
431,12.895339
432,12.858515
433,12.847733
434,12.812426
435,12.804036
436,12.791675
437,12.839786
438,12.817900
439,12.816121
440,12.783308
441,12.774269
442,12.688413
443,12.675408
444,12.644178
445,12.671495
446,12.656936
447,12.711301
448,12.691628
449,12.665527
450,12.653219
451,12.628115
452,12.611965
453,12.628042
454,12.635278
455,12.602768
456,12.598488
457,12.580743
458,12.565877
459,12.540030
460,12.534141
461,12.561536
462,12.574204
463,12.557590
464,12.532018
465,12.481175
466,12.440377
467,12.382083
468,12.351206
469,12.352340
470,12.367887
471,12.401487
472,12.444499
473,12.452230
474,12.441765
475,12.419626
476,12.410193
477,12.386904
478,12.381293
479,12.395945
480,12.391562
481,12.387415
482,12.367181
483,12.364337
484,12.371079
485,12.364962
486,12.337488
487,12.354641
488,12.356602
489,12.350760
490,12.359443
491,12.380770
