frame,value
0,0.981730
1,0.963892
2,0.965566
3,0.962453
4,0.967276
5,0.962510
6,0.964498
7,0.960603
8,0.965101
9,0.951520
10,0.945214
11,0.927985
12,0.930843
13,0.886684
14,0.886519
15,0.850589
16,0.851734
17,0.784766
18,0.798543
19,0.810143
20,0.850106
21,0.814314
22,0.820234
23,0.809895
24,0.846956
25,0.805971
26,0.812512
27,0.809110
28,0.845023
29,0.816314
30,0.830872
31,0.822905
32,0.849439
33,0.828699
34,0.832391
35,0.817476
36,0.852380
37,0.812516
38,0.827622
39,0.812817
40,0.848310
41,0.819817
42,0.830040
43,0.823186
44,0.850830
45,0.826222
46,0.835196
47,0.824330
48,0.853058
49,0.829097
50,0.836742
51,0.820219
52,0.854061
53,0.822422
54,0.838671
55,0.824117
56,0.856767
57,0.838583
58,0.845145
59,0.836192
60,0.864583
61,0.832476
62,0.849239
63,0.838446
64,0.866209
65,0.841995
66,0.853168
67,0.841610
68,0.868895
69,0.842159
70,0.859550
71,0.839135
72,0.872886
73,0.839929
74,0.855922
75,0.847845
76,0.870478
77,0.847133
78,0.861607
79,0.849231
80,0.874188
81,0.848506
82,0.860121
83,0.849094
84,0.876238
85,0.848148
86,0.861446
87,0.852585
88,0.874847
89,0.857872
90,0.867007
91,0.856243
92,0.876746
93,0.857635
94,0.864496
95,0.857408
96,0.876502
97,0.855872
98,0.863034
99,0.858048
100,0.880185
101,0.860163
102,0.867554
103,0.861637
104,0.881861
105,0.860774
106,0.870723
107,0.863604
108,0.884509
109,0.863256
110,0.871669
111,0.863083
112,0.883179
113,0.861486
114,0.869853
115,0.860253
116,0.881724
117,0.864813
118,0.869184
119,0.863723
120,0.881529
121,0.866805
122,0.872009
123,0.868614
124,0.881937
125,0.864901
126,0.871480
127,0.859860
128,0.883306
129,0.859292
130,0.871742
131,0.864873
132,0.887412
133,0.872693
134,0.879240
135,0.876964
136,0.889841
137,0.870649
138,0.876587
139,0.864622
140,0.885154
141,0.864629
142,0.876641
143,0.866032
144,0.887592
145,0.863826
146,0.873666
147,0.863112
148,0.885469
149,0.866432
150,0.873851
151,0.871859
152,0.887280
153,0.867948
154,0.874103
155,0.864580
156,0.885431
157,0.862733
158,0.876297
159,0.863186
160,0.886953
161,0.867121
162,0.872819
163,0.868086
164,0.885091
165,0.867970
166,0.878611
167,0.871940
168,0.889782
169,0.869157
170,0.877415
171,0.866021
172,0.889160
173,0.864137
174,0.873270
175,0.864248
176,0.885803
177,0.866799
178,0.875387
179,0.869887
180,0.887889
181,0.867253
182,0.878629
183,0.872387
184,0.890089
185,0.867405
186,0.877947
187,0.865145
188,0.886639
189,0.864765
190,0.874584
191,0.868427
192,0.886051
193,0.867985
194,0.875322
195,0.868839
196,0.886207
197,0.867587
198,0.873720
199,0.872449
200,0.886781
201,0.870540
202,0.875224
203,0.870842
204,0.888249
205,0.868330
206,0.873740
207,0.867501
208,0.885331
209,0.867344
210,0.875455
211,0.874092
212,0.890190
213,0.869159
214,0.875015
215,0.869570
216,0.890805
217,0.871130
218,0.880452
219,0.872586
220,0.891007
221,0.869619
222,0.879030
223,0.866360
224,0.892936
225,0.866144
226,0.877965
227,0.868473
228,0.890186
229,0.866689
230,0.877994
231,0.867766
232,0.891480
233,0.868277
234,0.882471
235,0.869313
236,0.891510
237,0.869884
238,0.880396
239,0.870787
240,0.890093
241,0.871022
242,0.879342
243,0.871996
244,0.891848
245,0.874391
246,0.882124
247,0.872568
248,0.889328
249,0.866327
250,0.952918
251,0.913544
252,0.915271
253,0.904062
254,0.922080
255,0.899385
256,0.904892
257,0.894251
258,0.915282
259,0.886762
260,0.897605
261,0.888948
262,0.909239
263,0.888041
264,0.893704
265,0.889858
266,0.908035
267,0.886261
268,0.894313
269,0.886252
270,0.906356
271,0.881851
272,0.892605
273,0.883594
274,0.905282
275,0.882211
276,0.888976
277,0.883628
278,0.903525
279,0.880814
280,0.888834
281,0.878301
282,0.900692
283,0.873600
284,0.884660
285,0.881130
286,0.899002
287,0.881358
288,0.886117
289,0.875101
290,0.898932
291,0.873701
292,0.883808
293,0.876485
