frame,value
0,29.231813
1,24.585169
2,25.281685
3,24.350700
4,25.725851
5,24.169565
6,24.486931
7,23.671909
8,24.979528
9,21.916121
10,21.221855
11,20.273104
12,20.718210
13,19.218357
14,19.331656
15,19.304047
16,19.591700
17,18.994680
18,18.856993
19,19.017307
20,19.334837
21,18.865351
22,18.687227
23,18.714624
24,19.117702
25,18.611387
26,18.519516
27,18.595312
28,18.999136
29,18.555820
30,18.521278
31,18.523962
32,18.919405
33,18.623035
34,18.458788
35,18.526722
36,18.876678
37,18.343937
38,18.340675
39,18.384630
40,18.778189
41,18.336554
42,18.328817
43,18.386648
44,18.761087
45,18.408207
46,18.271488
47,18.376785
48,18.800280
49,18.405893
50,18.343641
51,18.269861
52,18.756323
53,18.199560
54,18.189795
55,18.270863
56,18.694971
57,18.339535
58,18.206186
59,18.347313
60,18.754971
61,18.188810
62,18.207451
63,18.335625
64,18.770027
65,18.333853
66,18.298876
67,18.302542
68,18.795475
69,18.254404
70,18.311811
71,18.258896
72,18.807035
73,18.163467
74,18.181108
75,18.338804
76,18.678408
77,18.282040
78,18.299181
79,18.393307
80,18.812281
81,18.219927
82,18.236240
83,18.310946
84,18.851734
85,18.198975
86,18.158371
87,18.338211
88,18.732391
89,18.406950
90,18.271688
91,18.347929
92,18.760527
93,18.288507
94,18.213335
95,18.316158
96,18.668037
97,18.298613
98,18.164772
99,18.327801
100,18.724375
101,18.267487
102,18.259087
103,18.350903
104,18.821962
105,18.203981
106,18.180222
107,18.327765
108,18.795712
109,18.301992
110,18.359362
111,18.459465
112,18.789295
113,18.337652
114,18.281483
115,18.354704
116,18.745262
117,18.330572
118,18.290747
119,18.354544
120,18.737434
121,18.305254
122,18.318464
123,18.427509
124,18.766167
125,18.344543
126,18.239519
127,18.313004
128,18.684452
129,18.215948
130,18.199913
131,18.332548
132,18.809067
133,18.449547
134,18.408310
135,18.613012
136,18.818724
137,18.368210
138,18.260002
139,18.286694
140,18.678148
141,18.223106
142,18.209551
143,18.325140
144,18.779409
145,18.302416
146,18.248903
147,18.343695
148,18.708382
149,18.260990
150,18.262365
151,18.344440
152,18.773640
153,18.253611
154,18.258057
155,18.315483
156,18.722502
157,18.169847
158,18.212780
159,18.317354
160,18.790239
161,18.306849
162,18.251524
163,18.319544
164,18.632065
165,18.245495
166,18.349585
167,18.372847
168,18.792578
169,18.321348
170,18.333937
171,18.379375
172,18.790260
173,18.197523
174,18.132507
175,18.195620
176,18.694685
177,18.191803
178,18.227427
179,18.328716
180,18.712442
181,18.259905
182,18.313562
183,18.330906
184,18.776737
185,18.217970
186,18.300709
187,18.282677
188,18.686460
189,18.154001
190,18.184998
191,18.260294
192,18.628685
193,18.207464
194,18.232948
195,18.292702
196,18.622396
197,18.215788
198,18.173084
199,18.270639
200,18.599545
201,18.180563
202,18.173687
203,18.214861
204,18.625814
205,18.115009
206,18.131651
207,18.176363
208,18.600649
209,18.065502
210,18.109533
211,18.265263
212,18.633991
213,18.114441
214,18.125221
215,18.208078
216,18.640890
217,18.168625
218,18.127737
219,18.206209
220,18.645750
221,18.149879
222,18.142897
223,18.192451
224,18.730640
225,18.091440
226,18.083128
227,18.156031
228,18.636679
229,18.057709
230,18.055580
231,18.069614
232,18.631308
233,18.096909
234,18.094822
235,18.197479
236,18.641878
237,18.125452
238,18.107624
239,18.214724
240,18.624752
241,18.152214
242,18.177269
243,18.177666
244,18.678892
245,18.139404
246,18.228640
247,18.198797
248,18.648666
249,18.293320
250,21.966362
251,19.853579
252,19.553308
253,19.402304
254,19.970005
255,19.083038
256,19.041401
257,19.067020
258,19.526764
259,18.764683
260,18.778791
261,18.745676
262,19.311693
263,18.706760
264,18.644762
265,18.778545
266,19.335503
267,18.726238
268,18.742361
269,18.780128
270,19.325464
271,18.535835
272,18.613966
273,18.645952
274,19.182381
275,18.649063
276,18.613867
277,18.669725
278,19.176760
279,18.579100
280,18.525204
281,18.525963
282,19.062374
283,18.473377
284,18.456726
285,18.594475
286,19.039700
287,18.506865
288,18.487074
289,18.513460
290,19.037247
291,18.426756
292,18.465750
293,18.567938
294,19.080011
295,18.489664
296,18.537548
297,18.555510
298,19.181652
299,18.540346
300,18.535681
301,18.519728
302,19.055094
303,18.365143
304,18.458473
305,18.508469
306,19.088022
307,18.368017
308,18.425793
309,18.443897
310,19.115740
311,18.428165
312,18.629183
313,18.500162
314,19.214373
315,18.393572
316,18.563942
317,18.403894
318,19.160534
319,18.358738
320,18.535801
321,18.524944
322,19.198263
323,18.339279
324,18.372395
325,18.358345
326,18.957327
327,18.225826
328,18.280928
329,18.384821
330,19.030891
331,18.305761
332,18.369526
333,18.407896
334,18.937807
335,18.406958
336,18.432199
337,18.518282
338,19.000675
339,18.353300
340,18.351704
341,18.422482
342,18.943642
343,18.401014
344,18.344763
345,18.439270
346,18.980459
347,18.394468
348,18.392649
349,18.394644
350,19.031794
351,18.402172
352,18.373045
353,18.375828
354,18.965605
355,18.372789
356,18.358238
357,18.365110
358,18.936510
359,18.330124
360,18.327711
361,18.366844
362,19.021168
363,18.461674
364,18.426542
365,18.442150
366,19.086456
367,18.406279
368,18.437128
369,18.417011
370,18.968445
371,18.235449
372,18.329569
373,18.423477
374,18.991447
375,18.298525
376,18.346056
377,18.379665
378,19.010000
379,18.287151
380,18.371681
381,18.409014
382,19.089806
383,18.257397
384,18.355623
385,18.374922
386,19.079975
387,18.464676
388,18.509605
389,18.505678
390,19.082409
391,18.426693
392,18.398703
393,18.569706
394,19.059637
395,18.416399
396,18.489721
397,18.533066
398,19.213673
399,18.594919
400,18.664967
401,18.645109
402,19.166256
403,18.424129
404,18.528976
405,18.473255
406,19.199076
407,18.515930
408,18.671749
409,18.728527
410,19.286385
411,18.536406
412,18.666641
413,18.510128
414,19.216309
415,18.625788
416,18.813932
417,18.730583
418,19.330158
419,18.725016
420,18.676266
421,18.581923
422,19.181799
423,18.554674
424,18.536711
425,18.553255
426,19.057804
427,18.324425
428,18.357368
429,18.366085
430,18.993776
431,18.324507
432,18.397970
433,18.355829
434,18.994360
435,18.315474
436,18.370363
437,18.431734
438,19.026768
439,18.292641
440,18.320267
441,18.297764
442,18.788086
443,18.092520
444,18.149689
445,18.228449
446,18.908773
447,18.410044
448,18.498478
449,18.444685
450,19.042656
451,18.283384
452,18.321409
453,18.340525
454,18.982067
455,18.241632
456,18.323067
457,18.297148
458,18.785559
459,18.149048
460,18.247715
461,18.329229
462,18.986118
463,18.236532
464,18.278769
465,18.112505
466,18.761024
467,17.973381
468,17.987499
469,18.086422
470,18.651829
471,18.048288
472,18.148958
473,18.157507
474,18.746498
475,17.954231
476,17.956520
477,18.080160
478,18.574865
479,18.034708
480,18.008467
481,18.075968
482,18.656912
483,17.980062
484,18.089706
485,18.115299
486,18.523123
487,18.052353
488,18.059961
489,18.081987
490,18.544519
491,17.983841
492,17.935976
493,17.998610
494,18.539917
495,18.032269
496,18.062191
497,18.056087
498,18.493202
499,18.177866
average,18.648970
