frame,value
0,0.903262
1,0.878651
2,0.865111
3,0.855478
4,0.857723
5,0.871254
6,0.847681
7,0.828724
8,0.806494
9,0.820294
10,0.713335
11,0.654863
12,0.668314
13,0.760436
14,0.676206
15,0.620402
16,0.664422
17,0.744180
18,0.656907
19,0.607924
20,0.646973
21,0.729241
22,0.618337
23,0.575405
24,0.636530
25,0.713468
26,0.633438
27,0.592582
28,0.633436
29,0.710237
30,0.624948
31,0.583047
32,0.629870
33,0.712338
34,0.636209
35,0.587927
36,0.634352
37,0.700831
38,0.610322
39,0.537386
40,0.548058
41,0.620412
42,0.694260
43,0.619609
44,0.573472
45,0.622038
46,0.691062
47,0.615704
48,0.571526
49,0.618241
50,0.683424
51,0.585699
52,0.509329
53,0.514234
54,0.595941
55,0.669970
56,0.600876
57,0.568640
58,0.609722
59,0.674140
60,0.603538
61,0.556432
62,0.601222
63,0.671077
64,0.601063
65,0.559944
66,0.601827
67,0.667201
68,0.588539
69,0.520137
70,0.523986
71,0.592211
72,0.664937
73,0.579029
74,0.511390
75,0.488843
76,0.516346
77,0.581342
78,0.660298
79,0.590109
80,0.554479
81,0.595967
82,0.658926
83,0.591478
84,0.564724
85,0.601323
86,0.660999
87,0.597214
88,0.560911
89,0.601617
90,0.663144
91,0.597390
92,0.561676
93,0.596435
94,0.657605
95,0.575793
96,0.522107
97,0.513867
98,0.529082
99,0.586700
100,0.653052
101,0.577817
102,0.535527
103,0.571141
104,0.657305
105,0.557298
106,0.526437
107,0.583005
108,0.658708
109,0.588242
110,0.550887
111,0.553010
112,0.598488
113,0.655476
114,0.589152
115,0.536580
116,0.534448
117,0.581353
118,0.650409
119,0.577910
120,0.522287
121,0.514354
122,0.570909
123,0.653005
124,0.579015
125,0.548284
126,0.591976
127,0.648722
128,0.570382
129,0.518633
130,0.516780
131,0.572061
132,0.651228
133,0.582005
134,0.554729
135,0.595396
136,0.653402
137,0.581780
138,0.524702
139,0.506297
140,0.556246
141,0.645243
142,0.551967
143,0.499507
144,0.507760
145,0.567484
146,0.634399
147,0.568794
148,0.514201
149,0.497933
150,0.548149
151,0.638022
152,0.560575
153,0.508480
154,0.502588
155,0.559399
156,0.634189
157,0.549568
158,0.497196
159,0.501890
160,0.565338
161,0.639349
162,0.556170
163,0.503757
164,0.489979
165,0.494872
166,0.549478
167,0.638308
168,0.565403
169,0.526642
170,0.530220
171,0.574524
172,0.637127
173,0.555681
174,0.488564
175,0.466156
176,0.492128
177,0.556520
178,0.638609
179,0.574836
180,0.545867
181,0.580434
182,0.645348
183,0.561041
184,0.526745
185,0.558811
186,0.640658
187,0.555900
188,0.522750
189,0.563892
190,0.628126
191,0.557483
192,0.515761
193,0.513502
194,0.567606
195,0.634482
196,0.561038
197,0.536479
198,0.568188
199,0.633080
200,0.554795
201,0.518933
202,0.507802
203,0.559790
204,0.636522
205,0.551260
206,0.513662
207,0.556321
208,0.636795
209,0.543517
210,0.520628
211,0.569314
212,0.640635
213,0.554949
214,0.520025
215,0.565084
216,0.636563
217,0.568552
218,0.520904
219,0.511516
220,0.562155
221,0.635087
222,0.561178
223,0.528291
224,0.568066
225,0.627995
226,0.562095
227,0.535401
228,0.572298
229,0.632327
230,0.558762
231,0.522977
232,0.559658
233,0.625994
234,0.551727
235,0.524286
236,0.562026
237,0.632747
238,0.556763
239,0.519935
240,0.553534
241,0.632523
242,0.548846
243,0.506348
244,0.490016
245,0.535375
246,0.628507
247,0.542726
248,0.548097
249,0.619600
250,0.684116
251,0.573643
252,0.527791
253,0.565951
254,0.659506
255,0.554468
256,0.520627
257,0.564037
258,0.647677
259,0.557591
260,0.504565
261,0.492287
262,0.548850
263,0.636444
264,0.539482
265,0.503835
266,0.539082
267,0.639833
268,0.519848
269,0.485407
270,0.528173
271,0.640080
272,0.542172
273,0.511564
274,0.551974
275,0.638043
276,0.531885
277,0.501777
278,0.542580
279,0.635128
280,0.545017
281,0.517062
282,0.552287
283,0.631932
284,0.537099
285,0.497859
286,0.529417
287,0.627769
288,0.530330
289,0.496555
290,0.544360
291,0.626750
292,0.528117
293,0.492484
294,0.522153
295,0.623475
296,0.509489
297,0.468631
298,0.466847
299,0.523284
300,0.624877
301,0.507856
302,0.459361
303,0.497410
304,0.625993
305,0.510851
306,0.479645
307,0.529089
308,0.628255
309,0.504940
310,0.451846
311,0.479652
312,0.625079
313,0.453684
314,0.418556
315,0.477367
316,0.614474
317,0.442398
318,0.414169
319,0.474611
320,0.625697
321,0.462646
322,0.420752
323,0.484020
324,0.621114
325,0.475081
