frame,value
0,18.562691
1,17.847816
2,17.261766
3,16.945772
4,17.300734
5,18.211031
6,17.260557
7,16.950336
8,17.013077
9,17.766016
10,16.392244
11,15.933341
12,16.433523
13,17.839500
14,16.830961
15,16.331335
16,16.875914
17,17.968149
18,16.790440
19,16.319408
20,16.667168
21,18.024921
22,16.453911
23,16.044241
24,16.675133
25,17.872982
26,16.678783
27,16.212063
28,16.598808
29,17.863958
30,16.508942
31,16.041895
32,16.658827
33,18.075201
34,16.736858
35,16.288805
36,16.864357
37,17.907476
38,16.582994
39,15.818802
40,15.881732
41,16.657566
42,17.905027
43,16.683376
44,16.200779
45,16.776346
46,17.893116
47,16.778099
48,16.267054
49,16.818762
50,17.966381
51,16.568184
52,15.765020
53,15.849627
54,16.694662
55,17.843552
56,16.863705
57,16.474800
58,16.935190
59,18.034294
60,16.940472
61,16.316481
62,16.902863
63,18.104124
64,16.936825
65,16.382542
66,16.897907
67,17.991764
68,16.766727
69,15.932514
70,16.030848
71,16.792425
72,18.093208
73,16.688913
74,15.881914
75,15.638721
76,15.839211
77,16.705261
78,18.067949
79,16.844433
80,16.333260
81,16.901894
82,18.099310
83,16.895069
84,16.473778
85,17.009935
86,18.052511
87,17.067638
88,16.574989
89,17.118271
90,18.129900
91,17.001459
92,16.475063
93,16.907146
94,17.988403
95,16.652790
96,15.873736
97,15.711333
98,15.965739
99,16.765915
100,17.985085
101,16.803310
102,16.234238
103,16.703421
104,18.063515
105,16.468397
106,16.032169
107,16.758345
108,18.051035
109,16.778545
110,16.259434
111,16.336432
112,17.024454
113,18.031662
114,16.902836
115,16.121725
116,16.150700
117,16.837059
118,17.971792
119,16.788128
120,15.985729
121,15.937133
122,16.675201
123,18.013975
124,16.781466
125,16.371067
126,16.920155
127,17.970911
128,16.664612
129,15.963904
130,15.986961
131,16.728912
132,18.110725
133,16.957766
134,16.452131
135,17.123354
136,18.154427
137,16.856684
138,16.036596
139,15.853432
140,16.542461
141,18.026985
142,16.492517
143,15.719654
144,15.911201
145,16.790888
146,17.957956
147,16.865931
148,16.065573
149,15.896965
150,16.546144
151,17.964933
152,16.627964
153,15.828110
154,15.837193
155,16.644287
156,17.912512
157,16.480585
158,15.684489
159,15.785429
160,16.699938
161,17.980894
162,16.643084
163,15.722577
164,15.380448
165,15.622837
166,16.458010
167,17.966654
168,16.664394
169,15.999360
170,16.094858
171,16.825653
172,17.938528
173,16.655270
174,15.711204
175,15.394787
176,15.676137
177,16.580397
178,17.866100
179,16.871885
180,16.408718
181,16.904951
182,18.058641
183,16.746582
184,16.179123
185,16.570141
186,18.025002
187,16.658455
188,16.129681
189,16.724043
190,17.866402
191,16.674215
192,15.965581
193,15.963577
194,16.707842
195,17.830843
196,16.645199
197,16.237764
198,16.740089
199,17.918129
200,16.494244
201,15.823571
202,15.790689
203,16.514675
204,17.812860
205,16.460848
206,15.947922
207,16.510900
208,17.789371
209,16.360567
210,15.949472
211,16.702036
212,17.848820
213,16.530771
214,16.094620
215,16.661402
216,17.779310
217,16.600384
218,15.835439
219,15.805610
220,16.540001
221,17.732513
222,16.546467
223,16.054897
224,16.692545
225,17.728670
226,16.634966
227,16.140133
228,16.661230
229,17.687265
230,16.523308
231,15.993469
232,16.601580
233,17.877394
234,16.591261
235,16.135172
236,16.652025
237,17.870485
238,16.596869
239,16.012991
240,16.494308
241,17.845259
242,16.388334
243,15.562356
244,15.515027
245,16.321869
246,17.834242
247,16.588522
248,16.698814
249,17.864386
250,13.011051
251,13.012588
252,13.113918
253,13.397978
254,13.878868
255,13.601274
256,13.541273
257,13.802590
258,14.267287
259,13.915321
260,13.706378
261,13.699459
262,14.088279
263,14.639284
264,14.138726
265,13.910547
266,14.200879
267,14.923639
268,14.182415
269,13.906951
270,14.252175
271,15.052629
272,14.399891
273,14.187603
274,14.506093
275,15.192791
276,14.440095
277,14.168111
278,14.479227
279,15.279767
280,14.575233
281,14.286956
282,14.622864
283,15.365740
284,14.631232
285,14.267107
286,14.533225
287,15.449113
288,14.579029
289,14.300414
290,14.702767
291,15.469840
292,14.643867
293,14.274919
294,14.620262
295,15.611974
296,14.585372
297,14.062167
298,14.136567
299,14.687930
300,15.718356
301,14.655089
302,14.178650
303,14.576503
304,15.790526
305,14.719421
306,14.343889
307,14.766089
308,15.786088
309,14.638016
310,14.138643
311,14.507399
312,16.007992
313,14.434132
314,13.924850
315,14.578877
316,16.080496
317,14.388609
318,13.987508
319,14.571692
320,16.123178
321,14.512199
322,14.014852
323,14.652217
324,16.066059
325,14.502209
326,13.849538
327,13.890286
328,14.617349
329,16.085144
330,14.797606
331,14.360257
332,14.899773
333,16.126747
334,15.157619
335,14.817219
336,15.224221
337,16.331947
338,15.076167
339,14.393448
340,14.402365
341,15.076510
342,16.298895
343,15.247118
344,14.805092
345,15.248197
346,16.323914
347,15.196911
348,14.692089
349,15.124270
350,16.460243
351,15.065204
352,14.307096
353,14.268292
354,14.992224
355,16.381687
356,14.995347
357,14.451669
358,14.945114
359,16.373796
360,14.928552
361,14.472201
362,15.095980
363,16.512167
364,14.827482
365,14.186988
366,14.736099
367,16.507481
368,14.687609
369,14.134812
370,14.745389
371,16.450607
372,14.896014
373,14.324267
374,14.872390
375,16.583027
376,14.730968
377,14.172975
378,14.734444
379,16.533573
380,14.730254
381,14.142569
382,14.730165
383,16.542070
384,14.774629
385,14.155562
386,14.720455
387,16.666189
388,14.880318
389,14.823625
390,16.680063
391,14.452854
392,13.546094
393,13.622762
394,14.541291
395,16.577358
396,14.385108
397,13.463110
398,13.366419
399,14.200843
400,16.728540
401,14.322548
402,13.786525
403,14.484904
404,16.595358
405,14.447130
406,13.772240
407,14.390553
408,16.813490
409,14.292093
410,13.662657
411,14.360333
412,16.840582
413,14.420809
414,13.719756
415,14.347955
416,16.955967
417,14.236502
418,13.562577
419,14.275929
420,16.880875
421,14.159552
422,13.355900
423,13.447941
424,14.429480
425,16.729252
426,14.219520
427,13.248223
428,13.024347
429,13.325585
430,14.335033
431,16.651108
432,14.194170
433,13.239626
434,13.034601
435,13.299583
436,14.181334
437,16.686214
438,14.424293
439,13.797533
440,14.481432
441,16.643761
442,14.435635
443,13.671733
444,13.634006
445,14.597544
446,16.666027
447,14.387980
448,13.678200
449,14.421241
450,16.961023
451,14.406194
452,13.761101
