frame,value
0,39.668720
1,34.429802
2,35.023041
3,34.377182
4,36.294193
5,34.160725
6,34.492790
7,33.884308
8,34.924686
9,32.931854
10,32.607536
11,32.102665
12,31.776834
13,31.290834
14,31.016754
15,30.445707
16,30.466053
17,29.182983
18,29.458994
19,28.983099
20,29.221685
21,28.365255
22,28.839533
23,28.750784
24,29.409172
25,28.630075
26,29.176235
27,28.906233
28,29.516394
29,28.991425
30,29.256453
31,29.024324
32,29.522211
33,29.222446
34,29.413233
35,29.212069
36,29.633060
37,29.300543
38,29.664669
39,29.348921
40,29.703798
41,29.471521
42,29.831469
43,29.620489
44,29.880556
45,29.632786
46,29.978167
47,29.770185
48,30.125971
49,29.872433
50,30.223856
51,29.897341
52,30.164991
53,30.099724
54,30.270542
55,30.195379
56,30.392544
57,30.406342
58,30.572750
59,30.487318
60,30.585499
61,30.651447
62,30.778244
63,30.695631
64,30.589783
65,30.642178
66,30.752930
67,30.886732
68,30.771181
69,30.939486
70,31.202301
71,31.163368
72,31.141872
73,31.116390
74,31.362677
75,31.180157
76,31.451283
77,31.412300
78,31.580566
79,31.347641
80,31.773184
81,31.559046
82,31.789391
83,31.531324
84,32.064762
85,31.797245
86,32.176243
87,31.790924
88,32.314182
89,31.846235
90,32.169563
91,32.350758
92,32.371784
93,32.087444
94,32.295143
95,32.423695
96,32.543217
97,32.624912
98,32.442291
99,32.663204
100,32.770363
101,32.713100
102,32.540340
103,32.471733
104,32.911964
105,32.655529
106,32.850018
107,32.477654
108,33.033241
109,32.666569
110,32.853851
111,32.838165
112,33.186104
113,32.712402
114,33.001781
115,32.819412
116,33.397686
117,32.736866
118,33.143143
119,32.692745
120,33.667431
121,32.995899
122,33.203060
123,32.911297
124,33.470840
125,33.158787
126,33.077843
127,33.089237
128,33.673931
129,33.138290
130,33.044846
131,33.073246
132,33.706562
133,33.086758
134,33.153107
135,33.563290
136,33.765884
137,33.186092
138,33.211861
139,33.287846
140,33.937515
141,33.338554
142,33.414368
143,33.052696
144,34.071514
145,33.197380
146,33.522297
147,32.978638
148,34.104851
149,33.110237
150,34.155239
151,32.979942
152,34.234665
153,33.065426
154,33.559166
155,33.202450
156,34.077988
157,33.177979
158,33.323189
159,33.265835
160,33.959198
161,33.352016
162,33.334679
163,33.410801
164,34.198761
165,33.732384
166,33.500149
167,33.633743
168,34.079948
169,33.933006
170,33.415222
171,33.628925
172,34.103535
173,33.604771
174,33.327805
175,33.375172
176,34.121475
177,33.228539
178,33.306278
179,33.431820
180,34.373970
181,33.126610
182,33.641068
183,33.177410
184,34.280170
185,33.191822
186,33.668816
187,33.204708
188,34.142754
189,33.256313
190,33.491341
191,33.211105
192,34.018055
193,33.236076
194,34.106915
195,33.200634
196,34.118378
197,33.594128
198,33.751472
199,33.203224
200,34.334980
201,33.332542
202,33.661953
203,33.286438
204,34.177444
205,33.380844
206,33.439610
207,33.269791
208,34.118294
209,33.536308
210,33.353432
211,33.510342
212,34.075397
213,33.412174
214,33.988213
215,33.978352
216,33.952740
217,33.980038
218,33.876789
219,33.971561
220,33.838501
221,33.883835
222,33.778217
223,33.864906
224,33.792870
225,33.705555
226,33.690353
227,33.575584
228,33.615734
229,33.660313
230,33.629936
231,33.509621
232,33.627300
233,33.547653
234,33.556618
235,33.522739
236,33.690300
237,33.504448
238,33.589123
239,33.483734
240,33.562450
241,33.465813
242,33.545723
243,33.524227
244,33.564827
245,33.568596
246,33.490143
247,33.739426
248,33.499027
249,37.240158
250,32.793121
251,33.164513
252,32.654919
253,32.956657
254,32.893398
255,32.967163
256,32.981457
257,33.330841
258,32.686661
259,32.903198
260,32.788254
261,33.185349
262,32.726917
263,32.841042
264,32.737835
265,33.436176
266,32.744598
267,32.829510
268,32.740211
269,33.510834
270,32.785133
271,32.937279
272,32.704964
273,33.210739
274,32.722973
275,32.843151
276,32.683903
277,33.283131
278,32.938374
279,33.033924
280,33.099907
281,33.293396
282,32.930805
283,33.088692
284,33.103329
285,33.307499
286,33.070606
287,33.010406
288,32.901077
289,33.467583
290,32.841087
291,33.080376
292,32.869099
293,33.526180
294,32.931225
295,33.154789
296,33.011154
297,33.559666
298,32.928165
299,33.175526
300,33.070904
301,33.548264
302,32.954494
303,33.037853
304,33.097206
305,33.681667
306,33.042007
307,33.182812
308,32.920467
309,33.770832
310,33.080029
311,33.164791
312,32.972878
313,33.941402
314,33.150051
315,33.439899
316,33.071255
317,33.732655
318,33.055931
319,33.416615
320,33.046280
321,33.766853
322,33.001945
323,33.339046
324,33.149193
325,33.853477
326,33.053474
327,33.255226
328,33.165535
329,33.999420
330,33.192318
331,33.436146
332,33.173290
333,34.090321
334,33.221436
335,33.466648
336,33.031216
337,33.922085
338,33.405663
339,33.500454
340,33.216957
341,33.902428
342,33.163078
343,33.329350
344,33.445225
345,33.901405
346,33.297588
347,33.355247
348,33.470772
349,33.926987
350,33.223873
351,33.260891
352,33.338394
353,33.900024
354,33.213486
355,33.358253
356,33.190334
357,33.959381
358,33.146893
359,33.401054
360,33.287849
361,34.038849
362,33.178883
363,33.317665
364,33.273064
365,33.945217
366,33.464508
367,33.337204
368,33.457130
369,33.941437
370,33.248978
371,33.346962
372,33.213608
373,33.921452
374,33.260960
375,33.394737
376,33.175152
377,33.914436
378,33.157921
379,33.514091
380,33.141617
381,33.992519
382,33.185699
383,33.360966
384,33.087379
385,33.944016
386,33.216728
387,33.432022
388,33.153984
389,33.976963
390,33.244675
391,33.348896
392,33.173599
393,33.911724
394,33.249748
395,33.381428
396,33.067848
397,34.053989
398,33.139065
399,33.262993
400,33.081856
401,34.062706
402,33.065933
403,33.354671
404,33.144718
405,34.063885
406,33.192341
407,33.362709
408,33.186192
409,34.059193
410,33.059669
411,33.261982
412,33.124825
413,34.108768
414,33.149151
415,33.423988
416,33.094471
417,34.096634
418,33.109062
419,33.318905
420,33.046619
421,34.031807
422,33.181164
423,33.245239
424,33.198982
425,33.933537
426,33.127171
427,33.297890
428,33.448250
429,33.932728
430,33.183182
431,33.492050
432,33.422672
433,33.997135
434,33.135952
435,33.412846
436,33.409981
437,34.021896
438,33.258476
439,33.370220
440,33.206894
441,33.899719
442,33.149220
443,33.327122
444,33.383888
445,33.930817
446,33.395775
447,33.463718
448,33.202000
449,33.810841
450,33.174961
451,33.451111
452,33.229881
453,33.574821
454,33.223457
455,33.459728
456,33.566036
457,33.481133
458,33.509102
459,33.732864
460,33.569530
461,33.509304
462,33.654873
463,33.536659
464,33.479820
465,33.452194
466,33.430904
467,33.524616
468,33.462868
469,33.470303
470,33.439201
471,33.473587
472,33.442173
473,33.406193
474,33.452454
475,33.450932
476,33.359924
477,33.388969
478,33.344982
479,33.333023
480,33.335815
481,33.407993
482,33.557919
483,33.322247
484,33.363274
485,33.341240
486,33.442211
487,33.294701
488,33.326889
489,33.231976
490,33.374638
491,33.326313
492,33.293560
493,33.039902
494,33.324867
495,32.991013
496,33.013313
497,32.839481
498,35.874783
499,32.270981
average,32.921925
