frame,value
0,0.852270
1,0.838954
2,0.835712
3,0.839892
4,0.844453
5,0.833106
6,0.829437
7,0.833903
8,0.833837
9,0.825279
10,0.811570
11,0.812154
12,0.799467
13,0.792975
14,0.794162
15,0.799937
16,0.793086
17,0.784830
18,0.791105
19,0.796832
20,0.794415
21,0.785336
22,0.788653
23,0.793693
24,0.792491
25,0.779851
26,0.788115
27,0.794164
28,0.792440
29,0.787648
30,0.789163
31,0.792329
32,0.796067
33,0.787223
34,0.794058
35,0.793212
36,0.797545
37,0.789240
38,0.793368
39,0.793098
40,0.797121
41,0.786851
42,0.797505
43,0.797717
44,0.801667
45,0.796464
46,0.802073
47,0.800207
48,0.806605
49,0.795381
50,0.804641
51,0.798708
52,0.802394
53,0.795695
54,0.801276
55,0.802113
56,0.805144
57,0.800307
58,0.802657
59,0.805633
60,0.807649
61,0.804918
62,0.803080
63,0.805439
64,0.806870
65,0.810292
66,0.807183
67,0.813010
68,0.809397
69,0.806771
70,0.809386
71,0.808602
72,0.810413
73,0.807253
74,0.811470
75,0.803454
76,0.814102
77,0.809895
78,0.813620
79,0.804833
80,0.816890
81,0.810539
82,0.813868
83,0.806600
84,0.820147
85,0.813214
86,0.819372
87,0.811286
88,0.822530
89,0.814558
90,0.818184
91,0.820481
92,0.820889
93,0.815857
94,0.817067
95,0.822046
96,0.821758
97,0.824724
98,0.818863
99,0.823934
100,0.822819
101,0.822364
102,0.818467
103,0.819815
104,0.821562
105,0.816321
106,0.823549
107,0.818119
108,0.821210
109,0.813779
110,0.818725
111,0.823322
112,0.819798
113,0.817502
114,0.824061
115,0.821349
116,0.823596
117,0.815547
118,0.824543
119,0.818020
120,0.829200
121,0.813959
122,0.824101
123,0.818625
124,0.822105
125,0.816935
126,0.821937
127,0.825145
128,0.824088
129,0.816575
130,0.819602
131,0.822737
132,0.822623
133,0.813147
134,0.820582
135,0.829001
136,0.822185
137,0.817699
138,0.820236
139,0.823634
140,0.826478
141,0.819370
142,0.824963
143,0.820245
144,0.827684
145,0.816202
146,0.825168
147,0.819309
148,0.828502
