frame,value
0,31.772469
1,30.727869
2,30.679033
3,30.614239
4,30.982801
5,30.525030
6,30.581347
7,30.390579
8,30.678057
9,30.102688
10,29.714157
11,29.205452
12,29.426054
13,28.623516
14,29.021452
15,28.984772
16,29.638166
17,29.188229
18,29.603619
19,29.536930
20,29.960155
21,29.670458
22,30.018480
23,29.852140
24,30.144754
25,29.865335
26,30.100475
27,30.044428
28,30.228849
29,30.053949
30,30.128672
31,30.014404
32,30.318834
33,30.176098
34,30.311457
35,30.068386
36,30.339739
37,30.084482
38,30.331991
39,30.039940
40,30.347271
41,30.096354
42,30.361057
43,30.178598
44,30.536333
45,30.155977
46,30.498608
47,30.265030
48,30.716896
49,30.211355
50,30.573202
51,30.208868
52,30.581409
53,30.359510
54,30.484447
55,30.405252
56,30.667662
57,30.473923
58,30.557974
59,30.499495
60,30.713432
61,30.577070
62,30.540155
63,30.478483
64,30.662952
65,30.503920
66,30.485735
67,30.692402
68,30.669392
69,30.603189
70,30.785202
71,30.716877
72,30.690414
73,30.540142
74,30.725227
75,30.572208
76,30.871899
77,30.714287
78,30.820271
79,30.493893
80,30.947172
81,30.643734
82,30.816906
83,30.562370
84,31.090467
85,30.822863
86,31.205702
87,30.735151
88,31.219713
89,30.700829
90,31.018147
91,31.142904
92,31.078329
93,30.779745
94,31.010834
95,31.115076
96,31.073900
97,31.135155
98,30.977589
99,31.185991
100,31.151770
101,31.158154
102,30.966993
103,30.865126
104,31.145252
105,31.011406
106,31.167162
107,30.765528
108,31.080816
109,30.916815
110,31.084389
111,31.061842
112,31.062611
113,30.915697
114,31.169443
115,31.030142
116,31.197588
117,30.879200
118,31.229731
119,30.790308
120,31.406300
121,30.959986
122,31.172211
123,30.925531
124,31.044243
125,31.061323
126,30.967033
127,31.052656
128,31.144045
129,31.010393
130,30.898285
131,30.976990
132,31.092997
133,31.009762
134,31.050169
135,31.431479
136,31.109346
137,31.034718
138,31.063414
139,31.135326
140,31.362038
141,31.168228
142,31.309452
143,30.894388
144,31.391270
145,31.007532
146,31.298494
147,30.774012
148,31.428957
149,30.914501
150,31.924286
151,30.745071
152,31.572073
153,30.969969
154,31.368139
155,30.948824
156,31.299940
157,31.077263
158,31.145243
159,31.068594
160,31.164429
161,31.123335
162,31.182680
163,31.195494
164,31.436039
165,31.453722
166,31.302488
167,31.373131
168,31.292139
169,31.672852
170,31.183035
171,31.480822
172,31.270073
173,31.387125
174,31.074295
175,31.210138
176,31.298561
177,30.997389
178,31.012236
179,31.282883
180,31.623314
181,30.911457
182,31.323999
183,31.009399
184,31.589621
185,31.068661
186,31.344582
187,31.015879
188,31.383207
189,31.075356
190,31.290390
191,30.984251
192,31.202208
193,31.058790
194,31.942604
195,31.000874
196,31.237785
197,31.444426
198,31.588812
199,31.005072
200,31.590481
201,31.132740
202,31.509319
203,31.078442
204,31.441429
205,31.110853
206,31.304983
207,31.121750
208,31.329374
209,31.245998
210,31.148853
211,31.344387
212,31.254681
213,31.205225
214,31.291039
215,31.606113
216,31.427717
217,31.400528
218,31.190338
219,31.406324
220,31.324247
221,31.374804
222,31.284899
223,31.355583
224,31.430931
225,31.334639
226,31.307583
227,31.158428
228,31.241693
229,31.456699
230,31.252182
231,31.170010
232,31.197821
233,31.243809
234,31.260267
235,31.188442
236,31.299376
237,31.213657
238,31.270264
239,31.226862
240,31.180298
241,31.198818
242,31.345184
243,31.218033
244,31.243532
245,31.232584
246,31.246758
247,31.462414
248,31.278311
249,34.015018
250,31.982975
251,32.486458
252,31.875883
253,32.344601
254,31.948700
255,32.035252
256,32.086327
257,32.104763
258,31.671940
259,31.830362
260,31.755650
261,31.822475
262,31.555151
263,31.627377
264,31.583904
265,32.043823
266,31.510801
267,31.556175
268,31.530165
269,32.060997
270,31.496975
271,31.606331
272,31.438986
273,31.684748
274,31.380947
275,31.506264
276,31.368521
277,31.658445
278,31.529804
279,31.696648
280,31.630476
281,31.559418
282,31.469065
283,31.617365
284,31.489193
285,31.442234
286,31.447433
287,31.408278
288,31.239809
289,31.487579
290,31.067255
291,31.342588
292,31.155153
293,31.490570
294,31.126858
295,31.319653
296,31.286926
297,31.370523
298,31.055845
299,31.252327
300,31.249823
301,31.289272
302,31.075930
303,31.179783
304,31.336624
305,31.526287
306,31.235897
307,31.388168
308,31.066860
