frame,value
0,0.953836
1,0.939195
2,0.937669
3,0.939103
4,0.940487
5,0.938834
6,0.938075
7,0.937991
8,0.937477
9,0.935792
10,0.935632
11,0.931256
12,0.930573
13,0.928328
14,0.929639
15,0.928033
16,0.930559
17,0.928945
18,0.930206
19,0.930129
20,0.932195
21,0.930355
22,0.931858
23,0.931128
24,0.932525
25,0.931193
26,0.931971
27,0.932423
28,0.931693
29,0.932698
30,0.931442
31,0.931512
32,0.931948
33,0.934349
34,0.933932
35,0.931731
36,0.932837
37,0.933858
38,0.933912
39,0.932790
40,0.933089
41,0.932460
42,0.933621
43,0.933810
44,0.935246
45,0.932691
46,0.935878
47,0.933311
48,0.938533
49,0.932961
50,0.937112
51,0.933665
52,0.936636
53,0.935195
54,0.935501
55,0.935395
56,0.938484
57,0.937733
58,0.936683
59,0.937703
60,0.939331
61,0.937766
62,0.937860
63,0.938306
64,0.939452
65,0.940558
66,0.938700
67,0.941619
68,0.939596
69,0.937943
70,0.938357
71,0.938955
72,0.939108
73,0.938161
74,0.939218
75,0.937818
76,0.941310
77,0.939590
78,0.939763
79,0.938605
80,0.942031
81,0.938429
82,0.940406
83,0.938914
84,0.943554
85,0.940081
86,0.943885
87,0.940188
88,0.944860
89,0.939366
90,0.941218
91,0.944145
92,0.942743
93,0.941066
94,0.941305
95,0.943455
96,0.942751
97,0.946306
98,0.941586
99,0.945072
100,0.943292
101,0.945733
102,0.940890
103,0.941698
104,0.942666
105,0.942300
106,0.944342
107,0.940735
108,0.943311
109,0.941048
110,0.943607
111,0.943917
112,0.942435
113,0.940702
114,0.944016
115,0.941614
116,0.944832
117,0.939572
118,0.944573
119,0.939318
120,0.948031
121,0.942695
122,0.944865
123,0.942001
124,0.942520
125,0.944679
126,0.941242
127,0.943148
128,0.943801
129,0.943549
130,0.940949
131,0.942795
132,0.942678
133,0.941714
134,0.940964
135,0.948734
136,0.942985
137,0.943617
138,0.941636
139,0.944991
140,0.944155
141,0.944114
142,0.942940
143,0.941008
144,0.945315
145,0.941959
146,0.944874
147,0.940131
148,0.945313
149,0.940517
150,0.952038
151,0.938994
152,0.947604
153,0.939443
154,0.945110
155,0.942934
156,0.944847
157,0.941201
158,0.941576
159,0.942864
160,0.943000
161,0.943872
162,0.940974
163,0.944618
164,0.947042
165,0.948890
166,0.943812
167,0.947702
168,0.944965
169,0.951105
170,0.942744
171,0.946730
172,0.944352
173,0.947054
174,0.942128
175,0.943963
176,0.944604
177,0.941949
178,0.941787
179,0.944461
180,0.948779
181,0.940058
182,0.946639
183,0.940486
184,0.947732
185,0.940346
186,0.946867
187,0.941704
188,0.945213
189,0.942028
190,0.943822
191,0.942075
192,0.942697
193,0.942430
194,0.951506
195,0.942341
196,0.945032
197,0.947089
198,0.947659
199,0.941713
200,0.947978
201,0.943069
202,0.945600
203,0.943172
204,0.945866
205,0.944501
206,0.942382
207,0.942131
208,0.944154
209,0.946648
210,0.941851
211,0.946020
212,0.944154
213,0.944003
214,0.945380
215,0.946582
216,0.943997
217,0.944313
218,0.942949
219,0.944665
220,0.942410
221,0.943274
222,0.942811
223,0.944876
224,0.943239
225,0.941680
226,0.942772
227,0.941622
228,0.941729
229,0.942937
230,0.942682
231,0.941695
232,0.943445
233,0.941429
234,0.941874
235,0.940915
236,0.945412
237,0.940578
238,0.942190
239,0.940659
240,0.942524
241,0.940646
242,0.941929
243,0.941640
244,0.942118
245,0.942789
246,0.940822
247,0.945033
248,0.940284
249,0.966318
250,0.942102
251,0.946657
252,0.940062
253,0.945719
254,0.945256
255,0.941868
256,0.943561
257,0.942995
258,0.940095
259,0.940809
260,0.939909
261,0.940176
262,0.939410
263,0.939674
264,0.938615
265,0.943392
266,0.938747
267,0.939882
268,0.938976
269,0.944748
270,0.939039
271,0.941027
272,0.939228
273,0.939956
274,0.939579
275,0.939217
276,0.938899
277,0.939978
278,0.940740
279,0.940126
280,0.943350
281,0.939245
282,0.939184
283,0.939330
284,0.941818
285,0.936667
286,0.939119
287,0.935582
288,0.935871
289,0.937528
290,0.935268
291,0.935863
292,0.934975
293,0.937285
294,0.936031
295,0.936351
296,0.935828
297,0.936392
298,0.936710
299,0.938083
300,0.937594
301,0.937040
302,0.935721
303,0.935363
304,0.938672
305,0.939294
306,0.937105
307,0.937682
308,0.936166
309,0.939628
310,0.937495
311,0.937803
312,0.936615
313,0.943155
314,0.938315
315,0.941378
316,0.938052
317,0.940255
318,0.937772
319,0.941350
320,0.937825
321,0.939392
322,0.937895
323,0.940202
324,0.938702
325,0.940172
326,0.937683
327,0.938829
328,0.938866
329,0.942095
330,0.939419
331,0.940856
332,0.939596
333,0.943197
334,0.939123
335,0.941539
336,0.938212
337,0.941684
338,0.942396
339,0.941978
340,0.939608
341,0.939425
342,0.938995
343,0.939109
344,0.942542
345,0.939297
346,0.940874
347,0.939321
348,0.942943
349,0.938995
350,0.939927
351,0.938700
352,0.941251
353,0.938249
354,0.938814
355,0.939642
356,0.939059
357,0.939957
358,0.938157
359,0.940266
360,0.940865
361,0.940419
362,0.938360
363,0.939696
364,0.940593
365,0.940061
366,0.942395
367,0.939778
368,0.942801
369,0.939131
370,0.939735
371,0.939276
372,0.939824
373,0.939279
374,0.940592
375,0.940160
376,0.939069
377,0.939900
378,0.938509
379,0.942812
380,0.939171
381,0.941371
382,0.939504
383,0.940437
384,0.938249
385,0.941202
