frame,value
0,36.301960
1,32.627998
2,32.780239
3,32.736805
4,33.652039
5,32.519703
6,32.744579
7,32.696686
8,33.231422
9,32.153332
10,32.017738
11,31.651863
12,31.662371
13,30.908195
14,30.901196
15,30.715988
16,30.911987
17,30.352627
18,30.677259
19,30.555943
20,31.042511
21,30.590137
22,30.920731
23,30.884052
24,31.156778
25,30.903366
26,31.084946
27,31.166010
28,31.212776
29,31.253826
30,31.241924
31,31.255901
32,31.368181
33,31.444016
34,31.464294
35,31.333387
36,31.551983
37,31.560762
38,31.672186
39,31.500566
40,31.673035
41,31.649281
42,31.831610
43,31.743147
44,31.971661
45,31.811825
46,32.092400
47,31.886112
48,32.264839
49,31.951914
50,32.225227
51,31.984829
52,32.276569
53,32.106926
54,32.236553
55,32.184891
56,32.430695
57,32.282978
58,32.331791
59,32.357841
60,32.611534
61,32.440010
62,32.409439
63,32.389175
64,32.566956
65,32.540203
66,32.414867
67,32.634846
68,32.712940
69,32.582058
70,32.642502
71,32.577793
72,32.804401
73,32.628456
74,32.766598
75,32.580067
76,32.971203
77,32.778255
78,32.854786
79,32.609295
80,33.071953
81,32.708031
82,32.864105
83,32.631073
84,33.219578
85,32.863312
86,33.137726
87,32.794933
88,33.320816
89,32.829773
90,32.999252
91,33.116035
92,33.250874
93,32.937065
94,33.025974
95,33.095909
96,33.305824
97,33.359035
98,33.079857
99,33.182865
100,33.396133
101,33.257233
102,33.057949
103,32.934971
104,33.400360
105,33.121132
106,33.248016
107,32.895298
108,33.383316
109,33.026733
110,33.127678
111,33.111027
112,33.388355
113,32.992428
114,33.261429
115,33.037891
116,33.569492
117,32.914280
118,33.335266
119,32.900024
120,33.743320
121,33.081303
122,33.300323
123,33.045746
124,33.438164
125,33.241280
126,33.096954
127,33.151939
128,33.529953
129,33.179001
130,33.000061
131,33.073952
132,33.478817
133,33.053562
134,33.029778
135,33.388180
136,33.518799
137,33.135838
138,33.071938
139,33.156204
140,33.590618
141,33.214592
142,33.239388
143,32.925182
144,33.684666
145,33.068695
146,33.330105
147,32.883381
148,33.709808
149,32.972473
150,33.939163
151,32.848679
152,33.877491
153,32.978138
154,33.428730
155,33.123135
156,33.672913
157,33.006153
158,33.129257
159,33.116970
160,33.569664
161,33.200920
162,33.170135
163,33.303513
164,33.817333
165,33.592155
166,33.327526
167,33.479794
168,33.706799
169,33.738209
170,33.287235
171,33.495583
172,33.659843
173,33.448807
174,33.134975
175,33.221191
176,33.679558
177,33.014198
178,33.113907
179,33.267883
180,33.937992
181,32.950615
182,33.473129
183,33.025471
184,33.840481
185,33.052780
186,33.485104
187,33.038776
188,33.726887
189,33.148613
190,33.308971
191,33.031891
192,33.574833
193,33.126930
194,33.833935
195,33.002491
196,33.655659
197,33.377804
198,33.546875
199,33.005589
200,33.856972
201,33.144489
202,33.409657
203,33.038761
204,33.734024
205,33.225204
206,33.236542
207,33.079998
208,33.630764
209,33.343876
210,33.102001
211,33.288654
212,33.586514
213,33.290195
214,33.556446
215,33.568935
216,33.524616
217,33.545921
218,33.449760
219,33.605530
220,33.483524
221,33.521122
222,33.460278
223,33.586506
224,33.512947
225,33.443516
226,33.475792
227,33.360981
228,33.413101
229,33.490032
230,33.428654
231,33.342636
232,33.427689
233,33.372242
234,33.389980
235,33.311550
236,33.509560
237,33.309322
238,33.396442
239,33.320408
240,33.383968
241,33.295731
242,33.392979
243,33.340645
244,33.366627
245,33.368927
246,33.333584
247,33.598049
248,33.340290
249,36.757656
250,32.381760
251,32.667099
252,32.400253
253,32.876858
254,32.555767
255,32.582420
256,32.709000
257,32.981735
258,32.412579
259,32.637539
260,32.541641
261,32.836575
262,32.441772
263,32.555866
264,32.527340
265,33.052250
266,32.409870
267,32.554485
268,32.544540
269,33.079712
270,32.504581
271,32.636673
272,32.448097
273,32.821831
274,32.505993
275,32.600208
276,32.480007
277,32.847218
278,32.667843
279,32.771034
280,32.845284
281,32.857876
282,32.629406
283,32.815807
284,32.878815
285,32.854267
286,32.729851
287,32.732052
288,32.608112
289,33.029018
290,32.622562
291,32.826977
292,32.687531
293,33.038063
294,32.684818
295,32.902428
296,32.777924
297,32.983223
298,32.736015
299,32.871983
300,32.784824
301,32.994072
302,32.667664
303,32.706516
304,32.739788
305,33.105278
306,32.736973
307,32.882740
308,32.608150
309,33.165627
310,32.811073
311,32.868526
312,32.716412
313,33.352077
314,32.858040
315,33.049774
