frame,value
0,0.943229
1,0.933706
2,0.932250
3,0.933676
4,0.934202
5,0.932769
6,0.932266
7,0.932275
8,0.931513
9,0.928572
10,0.928113
11,0.922680
12,0.922113
13,0.918514
14,0.921865
15,0.921902
16,0.924731
17,0.923581
18,0.924495
19,0.925051
20,0.926770
21,0.925233
22,0.926115
23,0.925917
24,0.926503
25,0.925665
26,0.925696
27,0.926625
28,0.924534
29,0.927190
30,0.924461
31,0.925088
32,0.924091
33,0.927151
34,0.925926
35,0.924067
36,0.923746
37,0.926196
38,0.924681
39,0.924123
40,0.922946
41,0.923726
42,0.924503
43,0.925325
44,0.924985
45,0.925762
46,0.928132
47,0.925906
48,0.929557
49,0.926030
50,0.929388
51,0.926798
52,0.927674
53,0.928032
54,0.927981
55,0.928444
56,0.928351
57,0.929723
58,0.927521
59,0.929322
60,0.928284
61,0.930260
62,0.928928
63,0.929765
64,0.928189
65,0.932564
66,0.929258
67,0.933210
68,0.928409
69,0.930300
70,0.929588
71,0.930425
72,0.927805
73,0.930052
74,0.930527
75,0.928630
76,0.930537
77,0.931808
78,0.931462
79,0.930275
80,0.931796
81,0.930730
82,0.932208
83,0.930931
84,0.933926
85,0.932638
86,0.935774
87,0.932458
88,0.935478
89,0.932389
90,0.933773
91,0.937097
92,0.933591
93,0.934524
94,0.933889
95,0.936758
96,0.933857
97,0.940330
98,0.934874
99,0.938306
100,0.934479
101,0.939648
102,0.934369
103,0.934842
104,0.934301
105,0.936115
106,0.937175
107,0.933855
108,0.934029
109,0.935534
110,0.937197
111,0.937963
112,0.934231
113,0.935070
114,0.937904
115,0.935938
116,0.936390
117,0.933798
118,0.938091
119,0.933223
120,0.939901
121,0.936245
122,0.937973
123,0.935530
124,0.933930
125,0.938418
126,0.934881
127,0.937088
128,0.935460
129,0.937173
130,0.934098
131,0.936417
132,0.934028
133,0.935518
134,0.934056
135,0.942076
136,0.934255
137,0.937197
138,0.934659
139,0.938280
140,0.935840
141,0.937802
142,0.936264
143,0.934113
144,0.937013
145,0.935199
146,0.937524
147,0.933024
148,0.936891
149,0.934585
150,0.946092
151,0.932828
152,0.939566
153,0.933325
154,0.938454
155,0.936624
156,0.936355
157,0.934714
158,0.934638
159,0.936344
160,0.934051
161,0.937215
162,0.934024
163,0.938033
164,0.938510
165,0.942356
166,0.936901
167,0.941101
168,0.936368
169,0.944272
170,0.935585
171,0.940442
172,0.935693
173,0.940339
174,0.934359
175,0.937107
176,0.935648
177,0.934844
178,0.934250
179,0.937489
180,0.940323
181,0.932781
182,0.939245
183,0.933494
184,0.939481
185,0.933669
186,0.939710
187,0.934256
188,0.936866
189,0.935616
190,0.936747
191,0.935315
192,0.934180
193,0.935898
194,0.944552
195,0.935145
196,0.936174
197,0.940324
198,0.940324
199,0.934406
200,0.939834
201,0.936211
202,0.938211
203,0.935852
204,0.937373
205,0.937611
206,0.935386
207,0.935297
208,0.935738
209,0.939510
210,0.934191
211,0.939143
212,0.935085
213,0.937117
214,0.936960
215,0.938177
216,0.935951
217,0.936314
218,0.934649
219,0.936723
220,0.934564
221,0.935704
222,0.935083
223,0.937582
224,0.936231
225,0.934472
226,0.935359
227,0.934124
228,0.934539
229,0.936039
230,0.935396
231,0.934208
232,0.936024
233,0.934253
234,0.934766
235,0.933921
236,0.938117
237,0.933339
238,0.934965
239,0.933981
240,0.935862
241,0.933958
242,0.935501
243,0.935306
244,0.936258
245,0.937835
246,0.936500
247,0.941142
248,0.936797
249,0.958444
250,0.939897
251,0.944438
252,0.938244
253,0.943832
254,0.943289
255,0.940036
256,0.941711
257,0.940777
258,0.939736
259,0.941169
260,0.939820
261,0.939527
262,0.938968
263,0.939600
264,0.938354
265,0.942298
266,0.937640
267,0.938895
268,0.937723
269,0.941868
270,0.937703
271,0.939773
272,0.937265
273,0.936324
274,0.937996
275,0.937603
276,0.936755
277,0.936430
278,0.939812
279,0.939514
280,0.942487
281,0.936957
282,0.938629
283,0.939052
284,0.941440
285,0.934888
286,0.939020
287,0.935386
288,0.935544
289,0.935558
290,0.935572
291,0.936464
292,0.935429
293,0.934781
294,0.935680
295,0.935852
296,0.935226
297,0.933307
298,0.935676
299,0.936521
300,0.936111
301,0.933694
302,0.934685
303,0.934143
304,0.937172
305,0.936006
306,0.935146
307,0.935677
308,0.933972
309,0.936132
310,0.935539
311,0.935161
312,0.934395
313,0.939586
314,0.935872
315,0.938305
316,0.935124
317,0.935779
318,0.935028
319,0.937971
320,0.934765
321,0.934674
322,0.935528
323,0.938582
324,0.937003
325,0.936231
326,0.935515
327,0.936382
328,0.936581
329,0.937689
330,0.937491
331,0.939704
332,0.938025
333,0.938988
334,0.936887
335,0.938698
336,0.935351
337,0.936804
338,0.941092
339,0.941414
340,0.938486
341,0.935526
342,0.936861
343,0.936677
344,0.940393
345,0.934624
346,0.938965
347,0.937103
348,0.939741
349,0.933753
350,0.937566
351,0.935924
352,0.938242
353,0.931484
354,0.936896
355,0.937417
356,0.935940
357,0.933888
358,0.935792
359,0.937576
360,0.937423
361,0.933958
362,0.935492
363,0.937160
364,0.937200
365,0.933482
366,0.939007
367,0.935931
368,0.939060
369,0.932280
370,0.935855
371,0.935301
372,0.935639
373,0.932093
374,0.935719
375,0.934810
376,0.933967
377,0.932081
378,0.932933
379,0.936836
380,0.933245
381,0.933553
382,0.933868
383,0.934155
384,0.931931
385,0.932633
386,0.933464
387,0.934279
388,0.933082
389,0.933217
390,0.936324
391,0.934966
392,0.933934
393,0.932124
394,0.935179
395,0.935292
396,0.932890
397,0.935130
398,0.933818
399,0.933048
400,0.932925
401,0.936042
402,0.932889
403,0.934552
404,0.933069
405,0.935033
406,0.934683
407,0.934038
408,0.934072
409,0.934849
410,0.933056
411,0.933310
412,0.933271
413,0.935395
414,0.933850
415,0.935823
416,0.933218
417,0.936897
418,0.932371
419,0.934304
420,0.933153
421,0.934576
422,0.933616
423,0.932491
424,0.934251
425,0.932961
426,0.932691
427,0.932407
428,0.937211
429,0.932498
430,0.933622
431,0.935184
432,0.936158
433,0.933464
434,0.933152
435,0.934356
436,0.936222
437,0.934257
438,0.934058
439,0.933778
440,0.933702
441,0.931557
442,0.935015
443,0.937471
444,0.938923
445,0.932400
446,0.938607
447,0.936385
448,0.934273
449,0.930450
450,0.933403
451,0.934859
