frame,value
0,0.984248
1,0.947499
2,0.947494
3,0.947897
4,0.947804
5,0.948145
6,0.945927
7,0.964219
8,0.946547
9,0.946903
10,0.947878
11,0.947371
12,0.947169
13,0.946273
14,0.964883
15,0.936524
16,0.933340
17,0.928929
18,0.926622
19,0.921633
20,0.926280
21,0.923900
22,0.922924
23,0.922118
24,0.923030
25,0.913282
26,0.911717
27,0.911677
28,0.909527
29,0.910491
30,0.905860
31,0.900788
32,0.898173
33,0.899886
34,0.897920
35,0.894662
36,0.892791
37,0.893282
38,0.899464
39,0.882995
40,0.883839
41,0.885062
42,0.885797
43,0.886699
44,0.888813
45,0.878710
46,0.880045
47,0.882362
48,0.888296
49,0.884705
50,0.895001
51,0.878706
52,0.880737
53,0.879464
54,0.881134
55,0.879263
56,0.883266
57,0.889161
58,0.888834
59,0.891201
60,0.898589
61,0.887827
62,0.885166
63,0.890648
64,0.890597
65,0.893926
66,0.891304
67,0.898121
68,0.892361
69,0.893860
70,0.898633
71,0.892810
72,0.891572
73,0.894097
74,0.894793
75,0.892183
76,0.897639
77,0.899412
78,0.899656
79,0.899241
80,0.906169
81,0.900742
82,0.903741
83,0.902963
84,0.907641
85,0.904582
86,0.907654
87,0.908117
88,0.912477
89,0.908833
90,0.910719
91,0.919488
92,0.912875
93,0.913691
94,0.913839
95,0.917006
96,0.915637
97,0.922054
98,0.917810
99,0.922566
100,0.919615
101,0.924406
102,0.924200
103,0.920836
104,0.921145
105,0.921927
106,0.923248
107,0.920089
108,0.921807
109,0.921929
110,0.923510
111,0.924378
112,0.921353
113,0.927415
114,0.926199
115,0.925560
116,0.926935
117,0.925222
118,0.929058
119,0.924617
120,0.936242
121,0.927901
122,0.930999
123,0.929196
124,0.927907
125,0.934457
126,0.929057
127,0.931485
128,0.930049
129,0.930955
130,0.928080
131,0.936153
132,0.928966
133,0.930068
134,0.929223
135,0.937256
136,0.930047
137,0.933056
138,0.930750
139,0.934426
140,0.931533
141,0.933298
142,0.938248
143,0.931639
144,0.934358
145,0.933162
146,0.935405
147,0.932681
148,0.936054
149,0.932778
150,0.948415
151,0.933224
152,0.940107
153,0.933445
154,0.938667
155,0.939553
156,0.937576
157,0.936130
158,0.935847
159,0.937249
160,0.935211
161,0.944299
162,0.935521
163,0.939964
164,0.940471
