frame,value
0,29.309204
1,28.246859
2,28.296339
3,28.670052
4,28.539978
5,28.206141
6,27.797787
7,28.493946
8,27.788656
9,27.725845
10,27.850096
11,27.747284
12,27.693855
13,27.791311
14,28.380173
15,27.328798
16,27.011227
17,26.904617
18,26.401657
19,26.452301
20,25.853693
21,26.248604
22,25.692162
23,25.946503
24,26.866627
25,24.288977
26,24.181520
27,24.688473
28,24.876501
29,24.945948
30,24.652248
31,25.345407
32,25.133902
33,25.701258
34,25.897411
35,25.979900
36,26.028913
37,26.401440
38,27.451172
39,25.981619
40,26.334162
41,26.432825
42,26.501032
43,26.531206
44,27.441401
45,26.440502
46,26.602585
47,26.805517
48,26.888729
49,26.787277
50,27.658573
51,26.676409
52,26.759142
53,26.649038
54,26.606190
55,26.755499
56,26.792700
57,26.986052
58,26.923904
59,27.109591
60,27.899069
61,26.911802
62,26.726650
63,26.998474
64,26.831728
65,27.100685
66,26.844717
67,27.417620
68,27.224073
69,27.347088
70,28.077051
71,27.142864
72,27.147581
73,27.154222
74,27.007980
75,27.000626
76,27.293329
77,27.466013
78,27.432747
79,27.296923
80,28.206051
81,27.376230
82,27.339367
83,27.210243
84,27.331663
85,27.217686
86,27.346388
87,27.500483
88,27.687397
89,27.508514
90,27.650816
91,28.577396
92,27.640600
93,27.464928
94,27.480412
95,27.459141
96,27.395298
97,27.567883
98,27.600094
99,27.791553
100,27.671232
101,28.118931
102,28.426046
103,27.700855
104,27.752932
105,27.671089
106,27.510328
107,27.486277
108,27.588909
109,27.785152
110,27.758720
111,27.902760
112,27.757324
113,28.531221
114,28.028315
115,28.033112
116,27.877764
117,28.015579
118,28.124729
119,27.953472
120,28.827709
121,27.870790
122,28.056601
123,28.114819
124,27.798075
125,28.674845
126,27.783356
127,28.052708
128,28.003744
129,28.098545
130,27.836235
131,28.811487
132,27.791372
133,27.931833
134,27.891436
135,28.170212
136,27.968645
137,28.054033
138,28.013683
139,28.164467
140,28.190239
141,28.334436
142,28.965111
143,27.886728
144,28.234825
145,27.948904
146,28.234735
147,28.098610
148,28.416195
149,28.221096
150,29.479485
151,28.005699
152,28.476496
153,28.251865
154,28.443390
155,28.806355
156,28.257202
157,28.468044
158,28.380690
159,28.296928
160,28.228270
161,29.068159
162,28.326385
163,28.543871
164,28.388624
165,28.603342
166,28.651510
167,28.760950
168,28.543226
169,29.552374
170,28.300442
171,28.774500
172,28.425249
173,28.570166
174,28.854033
175,28.626833
176,28.468044
177,28.404251
178,28.318239
179,28.677580
180,29.445499
181,28.256926
182,28.359131
183,28.285437
184,28.619345
185,28.252512
186,28.214998
187,28.155828
188,28.342314
189,28.388697
190,28.541733
191,28.397291
192,28.335859
193,28.482712
194,29.722263
195,28.266451
196,28.187193
197,28.650322
198,28.653673
199,28.303654
200,28.667845
201,28.424219
202,28.724997
203,28.408125
204,28.581923
205,28.616329
206,28.725145
207,29.271280
208,28.472853
209,28.581718
210,28.350832
211,28.517860
212,28.458565
213,28.558250
214,28.652521
215,28.816484
216,28.631380
217,29.264013
218,28.294418
219,28.451988
220,28.426647
221,28.462580
222,28.363111
223,28.363705
224,28.488285
225,28.444862
226,28.496662
227,28.417521
228,28.619823
229,29.339287
230,28.490692
231,28.531620
232,28.387709
233,28.407948
234,28.513927
235,28.481817
236,28.601324
237,28.580109
238,28.666361
239,29.276850
240,28.501913
241,28.480864
242,28.607670
243,28.533779
244,28.539516
245,28.539986
246,28.564304
247,28.725061
248,29.111446
249,31.048464
250,29.064579
251,29.304914
252,29.069696
253,29.247332
254,29.662378
255,29.080696
256,29.311926
257,29.108923
258,29.050215
259,29.725428
260,28.889683
261,28.912006
262,28.838461
263,28.631214
264,28.387650
265,28.657631
266,28.625038
267,28.740582
268,28.845818
269,29.783880
270,28.532009
271,28.420883
272,28.413412
273,28.554647
274,28.519909
275,28.396420
276,28.346704
277,28.178837
278,28.617304
279,28.577370
280,28.751932
281,28.554537
282,28.723347
283,28.878313
284,29.534796
285,28.421955
286,28.446617
287,28.202250
288,28.363352
289,28.469685
290,28.225758
291,28.423645
292,28.298357
293,28.576912
294,28.575827
295,28.545593
296,28.656797
297,28.593189
298,28.645008
299,29.340488
300,28.495586
301,28.300488
302,28.315075
303,28.257978
304,28.508997
305,28.432926
306,28.462570
307,28.515570
308,28.570807
309,28.814512
310,28.757410
311,28.601671
312,28.760042
313,29.669863
314,28.702635
315,28.706688
316,28.731512
317,28.696724
318,28.671089
319,29.567820
320,28.632690
321,28.665630
322,28.653976
323,28.745020
324,28.765425
325,28.813700
326,29.346315
327,28.543251
328,28.667833
329,28.771458
330,28.616520
331,28.692410
332,28.539892
333,28.882118
334,28.732653
335,28.779787
336,28.645075
337,29.459955
338,28.795240
339,28.798208
340,28.712210
341,28.519602
342,28.417496
343,28.473370
344,28.926003
345,28.638750
346,28.706890
347,28.692770
348,29.633154
349,28.547752
350,28.593096
351,28.562305
352,28.635794
353,28.546131
354,28.500032
355,28.656326
356,28.610834
357,28.715788
358,29.425371
359,28.465378
360,28.590128
361,28.644915
362,28.480484
363,28.411053
364,28.561560
365,28.633398
366,28.740084
367,28.572794
368,29.383652
369,28.413273
370,28.517033
371,28.555103
372,28.383034
373,28.408651
374,28.606546
375,28.622232
376,28.693010
377,28.576422
378,29.209011
379,28.520327
380,28.441715
381,28.494001
382,28.525278
383,28.360235
384,28.421223
385,28.507633
386,28.582413
387,28.644918
388,28.574928
389,28.566956
390,29.316481
391,28.373608
392,28.373260
393,28.446737
394,28.599279
395,28.477421
396,28.421192
397,29.348196
398,28.468369
399,28.442656
400,28.448446
401,28.473713
402,28.360456
403,28.485384
404,28.604048
405,29.326086
406,28.331366
407,28.346790
408,28.481722
409,28.567337
410,28.262278
411,29.004787
412,28.377907
413,28.632528
414,28.577827
415,28.515331
416,28.471123
417,29.420591
418,28.371668
419,28.287157
420,28.348253
421,28.599440
422,28.464468
423,28.374962
424,29.128237
425,28.400385
426,28.235050
427,28.318516
428,28.708643
429,28.347250
430,28.401815
431,29.304337
432,28.501175
433,28.373907
434,28.303120
435,28.254519
436,28.520357
437,28.375111
438,28.668013
439,28.429672
440,28.651718
441,29.192442
442,28.302761
443,28.283298
444,28.517385
445,28.340693
446,28.505371
447,28.305880
448,28.491516
449,28.290821
450,28.519453
451,29.194704
452,28.341583
453,28.133581
454,28.442612
455,28.247755
456,28.352463
457,28.269781
458,28.401690
459,28.579212
460,28.452114
461,29.154177
462,28.469992
463,28.346067
464,28.333452
465,28.218046
466,28.151676
467,28.290445
468,28.444540
469,28.378719
470,28.290016
471,28.944078
472,28.138073
473,28.159145
474,28.206230
475,28.243879
476,27.983631
477,28.231844
478,28.302198
479,28.177563
480,28.770281
481,28.177950
482,28.391632
