frame,value
0,0.951802
1,0.935171
2,0.933249
3,0.935115
4,0.936660
5,0.935304
6,0.933373
7,0.933904
8,0.933719
9,0.931029
10,0.930763
11,0.926745
12,0.923727
13,0.924176
14,0.923636
15,0.922577
16,0.922387
17,0.923647
18,0.923393
19,0.923713
20,0.924676
21,0.923451
22,0.924388
23,0.923829
24,0.924500
25,0.923351
26,0.923389
27,0.924145
28,0.922644
29,0.926357
30,0.924565
31,0.924653
32,0.924796
33,0.927493
34,0.926829
35,0.924400
36,0.926001
37,0.927597
38,0.926711
39,0.925671
40,0.926542
41,0.926997
42,0.928245
43,0.927875
44,0.929454
45,0.928784
46,0.931292
47,0.928627
48,0.933771
49,0.929531
50,0.932940
51,0.930042
52,0.932505
53,0.931059
54,0.931355
55,0.931500
56,0.933771
57,0.932754
58,0.931612
59,0.932539
60,0.934018
61,0.933204
62,0.932997
63,0.933341
64,0.934466
65,0.936321
66,0.934125
67,0.936670
68,0.934948
69,0.934387
70,0.935171
71,0.934969
72,0.935216
73,0.935248
74,0.936601
75,0.934870
76,0.939138
77,0.937168
78,0.937227
79,0.936100
80,0.939664
81,0.936058
82,0.937820
83,0.936446
84,0.940547
85,0.937689
86,0.941187
87,0.937484
88,0.942038
89,0.937645
90,0.939215
91,0.941464
92,0.940408
93,0.939727
94,0.939541
95,0.940678
96,0.940840
97,0.944737
98,0.940486
99,0.942745
100,0.941529
101,0.944188
102,0.940004
103,0.940043
104,0.941576
105,0.941547
106,0.943172
107,0.939528
108,0.941166
109,0.940304
110,0.942328
111,0.942428
112,0.940882
113,0.939564
114,0.942603
115,0.940141
116,0.942722
117,0.937792
118,0.942917
119,0.937535
120,0.945674
121,0.940433
122,0.942959
123,0.939946
124,0.940550
125,0.943126
126,0.939971
127,0.941369
128,0.941871
129,0.942181
130,0.939650
131,0.940658
132,0.940597
133,0.939924
134,0.939192
135,0.945588
136,0.941022
137,0.941152
138,0.939088
139,0.941921
140,0.941073
141,0.940999
142,0.939560
143,0.937739
144,0.941846
145,0.939233
146,0.941444
147,0.937052
148,0.942112
149,0.938144
150,0.948919
151,0.936418
152,0.944258
153,0.936934
154,0.942167
155,0.940384
156,0.941980
157,0.938452
158,0.938781
159,0.940167
160,0.940368
161,0.941144
162,0.938203
163,0.941689
164,0.944184
165,0.946309
166,0.941201
167,0.944676
168,0.942198
169,0.947950
170,0.940298
171,0.944080
172,0.941628
173,0.943958
174,0.939182
175,0.941046
176,0.941761
177,0.938945
178,0.938941
179,0.941305
180,0.945712
181,0.937483
182,0.943799
183,0.937933
184,0.944638
185,0.937730
186,0.943988
187,0.938743
188,0.942483
189,0.939372
190,0.940587
191,0.939264
192,0.940237
193,0.940417
194,0.948583
195,0.939872
196,0.942078
197,0.944645
198,0.945433
199,0.939680
200,0.945093
201,0.940955
202,0.942945
203,0.940675
204,0.943079
205,0.942073
206,0.939718
207,0.939408
208,0.941518
209,0.944019
210,0.939149
211,0.943035
212,0.940835
213,0.941280
214,0.942221
215,0.943077
216,0.941264
217,0.941604
218,0.940365
219,0.942200
220,0.940083
221,0.941116
222,0.940349
223,0.942829
224,0.941107
225,0.939664
226,0.940851
227,0.940090
228,0.940019
229,0.941060
230,0.940814
231,0.939522
232,0.940795
233,0.939312
234,0.939594
235,0.939149
236,0.943312
237,0.938490
238,0.940412
239,0.939174
240,0.941293
241,0.939062
242,0.940519
243,0.940936
244,0.940785
245,0.941746
246,0.939796
247,0.944302
248,0.940328
249,0.963515
250,0.934735
251,0.938943
252,0.932818
253,0.937933
254,0.938764
255,0.935465
256,0.936938
257,0.936453
258,0.933880
259,0.934848
260,0.933046
261,0.933488
262,0.932898
263,0.933729
264,0.932554
265,0.936396
266,0.931699
267,0.933160
268,0.931254
269,0.935688
270,0.931128
271,0.932674
272,0.929929
273,0.930266
274,0.931287
275,0.930625
276,0.929801
277,0.930448
278,0.931315
279,0.930393
280,0.933035
281,0.929738
282,0.931503
283,0.931745
284,0.934261
285,0.928497
286,0.933266
287,0.930203
288,0.930220
289,0.930764
290,0.930304
291,0.930649
292,0.929830
293,0.930301
294,0.930909
295,0.931438
296,0.929998
297,0.929603
