frame,value
0,35.244671
1,31.994560
2,31.915293
3,31.986452
4,32.560326
5,32.026455
6,31.987005
7,31.906792
8,32.191860
9,31.441208
10,31.337614
11,30.960503
12,30.653868
13,30.615900
14,30.437338
15,30.245138
16,30.114567
17,30.353390
18,30.272465
19,30.264513
20,30.485790
21,30.427858
22,30.521412
23,30.490143
24,30.656219
25,30.520008
26,30.583450
27,30.632402
28,30.690229
29,30.768867
30,30.745794
31,30.668907
32,30.892134
33,30.980925
34,30.990353
35,30.812517
36,31.074093
37,31.098011
38,31.136932
39,31.011482
40,31.320816
41,31.222816
42,31.378582
43,31.238304
44,31.586403
45,31.351707
46,31.564785
47,31.345655
48,31.861866
49,31.493870
50,31.701202
51,31.528419
52,31.940664
53,31.635208
54,31.742212
55,31.711727
56,32.071198
57,31.800411
58,31.870543
59,31.852158
60,32.171532
61,31.900917
62,31.926426
63,31.861839
64,32.170300
65,31.885061
66,31.886629
67,32.006008
68,32.275410
69,31.986378
70,32.078167
71,32.010887
72,32.326073
73,32.051857
74,32.205395
75,32.053257
76,32.566257
77,32.247189
78,32.318581
79,32.124058
80,32.689816
81,32.200497
82,32.352089
83,32.168911
84,32.769859
85,32.353691
86,32.592617
87,32.340912
88,32.880325
89,32.354908
90,32.495399
91,32.561298
92,32.844913
93,32.449181
94,32.512157
95,32.491653
96,32.842426
97,32.745018
98,32.553123
99,32.615448
100,32.892750
101,32.739895
102,32.562256
103,32.439030
104,32.908100
105,32.574440
106,32.741383
107,32.399857
108,32.921417
109,32.523762
110,32.596279
111,32.560333
112,32.910427
113,32.491070
114,32.725468
115,32.494091
116,33.033306
117,32.397213
118,32.757824
119,32.400589
120,33.186428
121,32.555695
122,32.765884
123,32.536564
124,32.957535
125,32.734680
126,32.624683
127,32.609798
128,33.030823
129,32.702343
130,32.570728
131,32.565075
132,32.985470
133,32.585350
134,32.575829
135,32.844765
136,33.027958
137,32.638470
138,32.593899
139,32.663113
140,33.050220
141,32.664280
142,32.680149
143,32.424339
144,33.146439
145,32.563602
146,32.785084
147,32.388718
148,33.157516
149,32.458988
150,33.334301
151,32.400620
152,33.278069
153,32.468483
154,32.849400
155,32.640438
156,33.146271
157,32.520748
158,32.649193
159,32.615498
160,33.101173
161,32.671154
162,32.660591
163,32.765572
164,33.282341
165,33.078342
166,32.793102
167,32.896648
168,33.161018
169,33.118172
170,32.728901
171,32.915581
172,33.179394
173,32.855865
174,32.615406
175,32.690472
176,33.154125
177,32.553589
178,32.629322
179,32.717804
180,33.366272
181,32.461109
182,32.932236
183,32.528610
184,33.275280
185,32.558937
186,32.966591
187,32.553883
188,33.224270
189,32.671391
190,32.828583
191,32.562210
192,33.095486
193,32.670395
194,33.275288
195,32.567204
196,33.208439
197,32.832638
198,32.986053
199,32.524731
200,33.342880
201,32.712105
202,32.880810
