frame,value
0,36.814030
1,32.192310
2,32.058685
3,33.409527
4,32.249470
5,32.306122
6,32.074581
7,32.960201
8,31.573565
9,31.294973
10,31.070789
11,30.284306
12,30.186337
13,29.774258
14,29.413300
15,29.053953
16,29.134743
17,29.209679
18,29.736523
19,29.377594
20,29.613474
21,29.627838
22,29.904030
23,29.791483
24,29.905178
25,29.712357
26,29.990820
27,30.100122
28,29.904066
29,30.305653
30,30.054693
31,30.263195
32,30.106583
33,30.514429
34,30.283451
35,30.406214
36,30.355570
37,30.628246
38,30.431576
39,30.493198
40,30.487034
41,30.664410
42,30.725744
43,30.668753
44,30.970999
45,30.773588
46,31.033421
47,30.787043
48,31.245695
49,30.954453
50,31.189732
51,30.997639
52,31.340555
53,31.138716
54,31.277756
55,31.238712
56,31.551733
57,31.371136
58,31.445255
59,31.435364
60,31.750214
61,31.537569
62,31.589638
63,31.543831
64,31.779881
65,31.535547
66,31.576275
67,31.699886
68,31.903328
69,31.695496
70,31.821871
71,31.731201
72,32.095867
73,31.797949
74,31.959438
75,31.798183
76,32.284061
77,32.025555
78,32.124771
79,31.921923
80,32.495811
81,32.072346
82,32.208019
83,32.060913
84,32.657833
85,32.229820
86,32.484982
87,32.218784
88,32.744289
89,32.311043
90,32.343048
91,32.924103
92,32.383492
93,32.464367
94,32.343716
95,32.922665
96,32.390411
97,32.818699
98,32.408901
99,33.094322
100,32.522747
101,32.827526
102,32.395302
103,32.933643
104,32.669037
105,32.627254
106,33.180237
107,32.501385
108,32.708618
109,32.573040
110,33.159271
111,32.755787
112,32.702114
113,32.587196
114,33.286606
115,32.659149
116,32.800774
117,32.506821
118,33.255329
119,32.506641
120,33.049450
121,32.604553
122,33.264801
123,32.773312
124,32.636131
125,33.448368
126,32.662846
127,32.880989
128,32.714890
129,33.433155
130,32.589516
131,32.856075
132,32.627392
133,33.334244
134,32.611874
135,33.247551
136,32.653370
137,33.445965
138,32.641968
139,33.006218
140,32.766064
141,33.396637
142,32.803150
143,32.664692
144,32.837410
145,33.431168
146,32.901588
147,32.768124
148,32.811989
149,33.365871
150,33.353012
151,32.703037
152,32.907097
153,33.314640
154,32.896450
155,32.891335
156,32.708008
157,33.398586
158,32.701237
159,32.947598
160,32.633495
161,33.530422
162,32.663475
163,33.081509
164,32.941837
165,33.787422
166,32.870121
167,33.262432
168,32.825119
169,33.892437
170,32.833073
171,33.246006
172,32.783836
173,33.617073
174,32.813526
175,32.905064
176,33.557873
177,32.803703
178,32.878998
179,32.960472
180,33.777370
181,32.700230
182,33.161133
183,32.723526
184,33.661217
185,32.738884
186,33.127319
187,32.724373
188,33.566719
189,32.839146
190,32.936401
191,32.715130
192,33.484436
193,32.798031
194,33.421265
195,32.713852
196,33.566975
197,33.014877
198,33.165077
199,32.720810
200,33.662498
201,32.858154
202,33.073902
203,32.761082
204,33.494625
205,33.021706
206,32.774239
207,33.535988
208,32.794907
209,33.173203
210,32.718365
211,33.655506
212,32.785686
213,32.869419
214,33.240536
215,32.826015
216,32.763462
217,33.144444
218,32.673782
219,32.760212
220,33.082417
221,32.793617
222,32.696312
223,33.266346
224,32.820873
