frame,value
0,0.879758
1,0.872190
2,0.865253
3,0.869484
4,0.872229
5,0.869422
6,0.859136
7,0.864384
8,0.853443
9,0.855446
10,0.844686
11,0.819580
12,0.821175
13,0.839638
14,0.835723
15,0.825252
16,0.825880
17,0.835607
18,0.836847
19,0.836274
20,0.837663
21,0.837362
22,0.839821
23,0.836910
24,0.835979
25,0.835556
26,0.837249
27,0.835733
28,0.834925
29,0.842130
30,0.833382
31,0.835581
32,0.839542
33,0.841423
34,0.836829
35,0.835703
36,0.837792
37,0.839481
38,0.833809
39,0.834358
40,0.838838
41,0.836004
42,0.839651
43,0.837904
44,0.840071
45,0.836939
46,0.840301
47,0.837759
48,0.843698
49,0.836591
50,0.842283
51,0.836547
52,0.839471
53,0.834507
54,0.838425
55,0.839110
56,0.841192
57,0.837855
58,0.838644
59,0.842027
60,0.841753
61,0.839660
62,0.837723
63,0.839390
64,0.839392
65,0.845242
66,0.839589
67,0.846157
68,0.841433
69,0.838597
70,0.839735
71,0.841125
72,0.839326
73,0.838964
74,0.841012
75,0.831560
76,0.842707
77,0.840133
78,0.841051
79,0.833247
80,0.843898
81,0.841268
82,0.842290
83,0.837457
84,0.847304
85,0.843087
86,0.847793
87,0.841544
88,0.848848
89,0.843689
90,0.843936
91,0.851019
92,0.846366
93,0.845039
94,0.840732
95,0.850861
96,0.847384
97,0.853132
98,0.842150
99,0.853065
100,0.845290
101,0.851427
102,0.839856
103,0.845411
104,0.846600
105,0.845918
106,0.848594
107,0.842250
108,0.846569
109,0.844674
110,0.846883
111,0.848443
112,0.845016
113,0.844799
114,0.847707
115,0.845225
116,0.846947
117,0.844869
118,0.848460
119,0.841226
120,0.849490
121,0.840906
122,0.847249
123,0.845917
124,0.842994
125,0.848833
126,0.841380
127,0.847633
128,0.843850
129,0.848188
130,0.841512
131,0.846373
132,0.842631
133,0.846200
134,0.843248
135,0.854030
136,0.842416
137,0.848140
138,0.841746
139,0.848355
140,0.847266
141,0.849792
142,0.843461
143,0.839258
144,0.847165
145,0.845579
146,0.846213
147,0.842281
148,0.849836
149,0.844390
150,0.858884
151,0.841627
152,0.850587
153,0.844056
154,0.849024
155,0.845618
156,0.842452
157,0.845784
158,0.843673
159,0.846833
160,0.840315
161,0.847817
162,0.845074
163,0.850089
164,0.844906
165,0.854468
166,0.847956
167,0.853382
168,0.847141
169,0.858465
170,0.845017
171,0.853148
172,0.845360
173,0.852536
174,0.844213
175,0.849168
176,0.846223
177,0.843238
178,0.842352
179,0.850428
180,0.853499
181,0.841513
182,0.850441
183,0.844388
184,0.852673
185,0.844362
186,0.851344
187,0.841547
188,0.848805
189,0.845829
190,0.846592
191,0.839492
192,0.844881
193,0.845328
194,0.857513
195,0.839702
196,0.846403
197,0.852503
198,0.852688
199,0.843933
200,0.852034
201,0.843105
202,0.848441
203,0.841445
204,0.848896
205,0.849635
206,0.848268
207,0.847048
208,0.846833
209,0.850984
210,0.842912
211,0.851680
212,0.844794
213,0.845894
214,0.846696
215,0.849536
216,0.846517
217,0.845070
218,0.836300
219,0.843340
220,0.842879
221,0.846303
222,0.839714
223,0.846311
224,0.847211
225,0.845711
226,0.847437
227,0.845221
228,0.842867
229,0.846411
230,0.845135
231,0.844935
232,0.847285
233,0.843722
234,0.843022
235,0.841369
236,0.843330
237,0.840805
238,0.843463
239,0.844006
240,0.844773
241,0.840407
242,0.842132
243,0.841266
244,0.843896
245,0.840454
246,0.841867
247,0.852342
248,0.846283
249,0.898211
250,0.879438
251,0.886497
252,0.879332
253,0.885531
254,0.881262
255,0.878563
256,0.881710
257,0.879662
258,0.872361
259,0.872449
260,0.873733
261,0.872422
262,0.869772
263,0.870680
264,0.871315
265,0.875045
266,0.864112
267,0.865789
268,0.867801
269,0.875578
270,0.863198
271,0.866690
272,0.866357
273,0.868279
274,0.865516
275,0.862422
276,0.868420
277,0.863478
278,0.866351
279,0.865270
280,0.872885
281,0.858076
282,0.863500
283,0.866130
284,0.871073
285,0.860001
286,0.867875
287,0.854708
288,0.858544
289,0.865190
290,0.862060
291,0.857909
292,0.859154
293,0.865506
294,0.860826
295,0.851651
296,0.860796
297,0.860396
298,0.858892
299,0.855567
300,0.858043
301,0.859644
302,0.857383
303,0.856426
304,0.860210
305,0.863012
306,0.859381
307,0.859262
308,0.856227
309,0.864215
310,0.859713
311,0.858842
312,0.859003
313,0.866747
314,0.858821
315,0.863814
316,0.857952
317,0.859778
318,0.852996
319,0.859263
320,0.856641
321,0.857084
322,0.849854
323,0.854926
324,0.856379
325,0.856688
326,0.851303
327,0.852696
328,0.854830
329,0.856910
330,0.852468
331,0.854564
332,0.851873
333,0.857501
334,0.851765
335,0.853013
336,0.849209
337,0.851844
338,0.854638
339,0.850936
340,0.849862
341,0.846809
342,0.849758
343,0.850438
344,0.856206
345,0.846724
346,0.850667
347,0.848701
348,0.855758
349,0.846419
350,0.846843
351,0.845738
352,0.851348
353,0.841782
354,0.844155
355,0.844221
356,0.845301
357,0.840544
358,0.841235
359,0.842135
360,0.845256
361,0.842585
362,0.840449
363,0.839248
364,0.842431
365,0.838258
366,0.842916
367,0.838281
368,0.844264
369,0.835656
370,0.837540
371,0.836459
372,0.838005
373,0.833666
374,0.836856
375,0.838887
376,0.835524
377,0.836510
378,0.838235
379,0.841397
380,0.836036
381,0.836430
382,0.837167
383,0.837490
384,0.831262
385,0.834542
386,0.835002
387,0.837186
388,0.835718
389,0.836917
390,0.832638
391,0.833350
392,0.832510
393,0.835662
394,0.830761
395,0.831571
396,0.830667
397,0.838095
398,0.830744
399,0.830439
400,0.832092
401,0.838191
402,0.826520
403,0.832227
404,0.831686
405,0.837687
406,0.829214
407,0.831666
408,0.833011
409,0.836840
410,0.825352
411,0.830775
412,0.832522
413,0.838109
414,0.828407
415,0.832763
416,0.832204
417,0.840427
418,0.829526
419,0.833104
420,0.831903
421,0.837693
422,0.832459
423,0.829566
424,0.835067
425,0.829364
426,0.833477
427,0.831246
428,0.840346
429,0.826095
430,0.832531
431,0.831500
432,0.841123
433,0.825911
434,0.831173
435,0.831439
436,0.841003
437,0.830204
438,0.833591
439,0.832479
440,0.839667
441,0.827103
442,0.832932
443,0.833661
444,0.842687
445,0.831786
446,0.838698
447,0.832642
448,0.837316
449,0.826255
450,0.832694
451,0.834743
452,0.837877
453,0.826150
454,0.831890
455,0.833059
456,0.829631
457,0.833866
458,0.843852
459,0.825315
460,0.826488
461,0.832979
462,0.834669
463,0.835052
464,0.826622
465,0.828810
466,0.831899
467,0.828614
468,0.827928
469,0.832780
470,0.830572
471,0.837574
472,0.829565
473,0.829413
474,0.831768
475,0.828438
476,0.827234
477,0.829940
478,0.826409
479,0.827283
480,0.832643
481,0.826735
482,0.832122
483,0.830570
484,0.825417
485,0.826353
486,0.834352
487,0.820194
488,0.826094
489,0.829694
490,0.829441
491,0.825855
492,0.835122
493,0.822063
494,0.829535
495,0.826969
496,0.826366
497,0.824567
498,0.832427
499,0.857615
average,0.844840
