frame,value
0,0.786367
1,0.766879
2,0.741252
3,0.725892
4,0.713673
5,0.693437
6,0.670069
7,0.670672
8,0.661881
9,0.654320
10,0.630333
11,0.616445
12,0.590596
13,0.587799
14,0.587799
15,0.606154
16,0.613112
17,0.600923
18,0.596837
19,0.598448
20,0.590611
21,0.581902
22,0.572619
23,0.573960
24,0.573931
25,0.559096
26,0.556899
27,0.558442
28,0.552470
29,0.549275
30,0.541883
31,0.540142
32,0.536597
33,0.528852
34,0.529201
35,0.527008
36,0.527019
37,0.522030
38,0.519371
39,0.520476
40,0.520902
41,0.515117
42,0.518640
43,0.517553
44,0.517181
45,0.518482
46,0.519307
47,0.522852
48,0.528006
49,0.522208
50,0.525254
51,0.524779
52,0.525584
53,0.521215
54,0.521844
55,0.525553
56,0.524203
57,0.522922
58,0.520857
59,0.526386
60,0.525211
61,0.527170
62,0.520406
63,0.523902
64,0.521912
65,0.529920
66,0.526205
67,0.530952
68,0.524635
69,0.525567
70,0.522179
71,0.523668
72,0.526617
73,0.527947
74,0.529294
75,0.529035
76,0.539419
77,0.536814
78,0.535768
79,0.537733
80,0.547934
81,0.543924
82,0.544520
83,0.546484
84,0.550646
85,0.548880
86,0.552333
87,0.553581
88,0.558336
89,0.553491
90,0.552754
91,0.561544
92,0.561890
93,0.555560
94,0.553964
95,0.562794
96,0.564789
97,0.567291
98,0.560559
99,0.564041
100,0.568623
101,0.563430
102,0.563265
103,0.565201
104,0.571830
105,0.564134
106,0.566498
107,0.567405
108,0.575818
109,0.566815
110,0.569042
111,0.573986
112,0.575243
113,0.572238
114,0.573831
115,0.577274
116,0.581725
117,0.578060
118,0.578460
119,0.581730
120,0.592716
121,0.584011
122,0.583128
123,0.587834
124,0.589278
125,0.581663
126,0.577051
127,0.585955
128,0.592397
129,0.586940
130,0.581682
131,0.590474
132,0.594509
133,0.589887
134,0.588982
135,0.597301
136,0.595704
137,0.591896
138,0.593727
139,0.597227
140,0.600145
141,0.591074
142,0.590621
143,0.589944
144,0.600587
145,0.588988
146,0.593714
147,0.595435
148,0.603209
149,0.595496
150,0.604369
151,0.595696
152,0.603835
153,0.591705
154,0.597386
155,0.602337
156,0.606198
157,0.598223
158,0.597282
159,0.605118
160,0.607559
161,0.603127
162,0.597464
163,0.606260
164,0.610162
165,0.607679
166,0.597530
167,0.606569
168,0.609746
169,0.611598
170,0.600040
171,0.610942
172,0.611104
173,0.609911
174,0.599461
175,0.611788
176,0.612453
177,0.608188
178,0.601482
179,0.612131
180,0.616799
181,0.605173
182,0.605538
183,0.606022
184,0.619043
185,0.609389
186,0.608983
187,0.603996
188,0.619205
189,0.607649
190,0.606671
191,0.608992
192,0.618816
193,0.610863
194,0.611740
195,0.609138
196,0.617789
197,0.611269
198,0.608405
199,0.612522
200,0.626066
201,0.610338
202,0.609183
203,0.612972
204,0.625080
205,0.611525
206,0.608877
207,0.613639
208,0.621865
209,0.609782
210,0.603213
211,0.615109
212,0.621366
213,0.609065
214,0.600659
215,0.612889
216,0.621448
217,0.612399
218,0.605456
219,0.611480
220,0.618035
221,0.605135
222,0.602407
223,0.604374
224,0.619566
225,0.607536
226,0.605320
227,0.606821
228,0.617624
229,0.607663
230,0.605794
231,0.611219
232,0.617402
233,0.604980
234,0.604402
235,0.607599
236,0.620646
237,0.608501
238,0.605613
239,0.610152
240,0.620781
241,0.608626
242,0.604791
243,0.608812
244,0.615042
245,0.608125
246,0.600505
247,0.608701
248,0.611265
249,0.613402
250,0.845366
251,0.820272
252,0.767839
253,0.766780
254,0.750165
255,0.713621
256,0.692462
257,0.692869
258,0.691754
259,0.665420
260,0.655672
261,0.665099
262,0.670556
263,0.654854
264,0.651342
265,0.659461
266,0.666858
267,0.650380
268,0.652558
269,0.667507
270,0.674064
271,0.657648
272,0.648128
273,0.661044
274,0.667890
275,0.654263
276,0.642169
277,0.650359
278,0.653816
279,0.640145
280,0.626608
281,0.634826
282,0.645685
283,0.629355
284,0.614903
285,0.623940
286,0.636537
287,0.613574
288,0.607816
289,0.619699
290,0.628261
291,0.616424
292,0.612410
293,0.621016
294,0.623440
295,0.608049
296,0.613425
297,0.616863
298,0.629640
299,0.616613
300,0.616067
301,0.618599
302,0.630799
303,0.615502
304,0.614479
305,0.622849
306,0.633261
307,0.620822
308,0.611219
309,0.622415
310,0.631281
311,0.614378
312,0.607911
313,0.621345
314,0.631139
315,0.619206
316,0.609708
317,0.613477
318,0.627819
319,0.618861
320,0.611503
321,0.617500
322,0.625659
323,0.604481
324,0.607021
325,0.615943
326,0.621836
327,0.606067
328,0.604757
329,0.616671
330,0.620163
331,0.609145
332,0.600934
333,0.612471
334,0.622980
335,0.617768
336,0.610533
337,0.615561
338,0.622726
339,0.613222
340,0.606570
341,0.612223
342,0.617056
343,0.605814
344,0.603117
345,0.604071
346,0.613568
347,0.596428
348,0.595212
349,0.598457
350,0.607574
351,0.599006
352,0.598907
353,0.598077
354,0.604951
355,0.593420
356,0.590515
357,0.594630
358,0.602382
359,0.592146
360,0.587971
361,0.591535
362,0.597322
363,0.588386
364,0.582468
365,0.589050
366,0.600439
367,0.592723
368,0.589018
369,0.583131
370,0.592214
371,0.587281
372,0.582931
373,0.588539
374,0.597623
375,0.587727
376,0.583473
377,0.588111
378,0.594298
379,0.589217
380,0.585209
381,0.589198
382,0.595206
383,0.583351
384,0.575712
385,0.583628
386,0.594472
387,0.579771
388,0.577326
389,0.582685
390,0.593477
391,0.582860
392,0.574760
393,0.579074
394,0.588745
395,0.575680
396,0.569241
397,0.579758
398,0.584833
399,0.568953
400,0.564966
401,0.576152
402,0.583787
403,0.572877
404,0.568479
405,0.577939
406,0.583591
407,0.572650
408,0.571130
409,0.580281
410,0.586955
411,0.576805
412,0.574505
413,0.583291
414,0.588786
415,0.575792
416,0.572042
417,0.584833
418,0.592905
419,0.581320
420,0.575139
421,0.581842
422,0.592936
423,0.579667
424,0.577948
425,0.580924
426,0.589037
427,0.574330
428,0.576506
429,0.577976
430,0.592136
431,0.572590
432,0.574011
433,0.583986
434,0.597319
435,0.579825
436,0.575741
437,0.584054
438,0.597711
439,0.575770
440,0.570161
441,0.583243
442,0.596148
443,0.586019
444,0.577753
445,0.588706
446,0.601197
447,0.582340
448,0.569809
449,0.584432
450,0.598818
451,0.585339
452,0.573342
453,0.583440
454,0.598350
455,0.581953
456,0.581028
457,0.590953
458,0.606897
459,0.565290
460,0.560699
461,0.580424
462,0.600196
463,0.572254
464,0.569869
465,0.582981
466,0.595364
467,0.578579
468,0.576452
469,0.583192
470,0.597527
471,0.576255
472,0.573857
473,0.578894
474,0.598390
475,0.571684
476,0.573799
477,0.579624
478,0.594749
479,0.576031
