frame,value
0,24.334303
1,23.718439
2,23.104395
3,23.043478
4,23.049231
5,22.653957
6,22.289902
7,22.479824
8,22.470881
9,22.680981
10,22.596712
11,23.037643
12,23.461323
13,23.534861
14,24.024277
15,24.403152
16,25.389555
17,25.095543
18,25.548382
19,25.694479
20,26.274488
21,25.809780
22,26.179335
23,26.197954
24,26.703943
25,25.847095
26,26.491739
27,26.499481
28,27.119753
29,26.594545
30,26.860474
31,26.751947
32,27.560665
33,26.844374
34,27.325714
35,27.114075
36,27.879105
37,27.269331
38,27.729877
39,27.427656
40,28.207039
41,27.447214
42,28.160688
43,27.984863
44,28.606117
45,27.942039
46,28.402332
47,28.123713
48,28.897762
49,28.128279
50,28.665869
51,28.172382
52,29.002382
53,28.305603
54,28.761435
55,28.527626
56,29.250978
57,28.561796
58,28.949566
59,28.722370
60,29.453630
61,28.956062
62,29.083921
63,28.865601
64,29.479099
65,29.021029
66,29.085861
67,29.144432
68,29.614601
69,29.115105
70,29.458452
71,29.184877
72,29.764008
73,29.164808
74,29.530512
75,29.175873
76,29.970160
77,29.389782
78,29.712130
79,29.192352
80,30.076479
81,29.422388
82,29.740791
83,29.230326
84,30.245150
85,29.616903
86,30.095760
87,29.496237
88,30.424721
89,29.578197
90,30.020468
91,29.955988
92,30.361170
93,29.649197
94,30.045815
95,29.884750
96,30.392122
97,29.996069
98,30.062458
99,29.957279
100,30.464546
101,29.951241
102,30.049538
103,29.794352
104,30.507893
105,29.801197
106,30.248650
107,29.685516
108,30.485035
109,29.786695
110,30.186884
111,29.985592
112,30.499277
113,29.956072
114,30.324169
115,30.102625
116,30.644911
117,29.899593
118,30.384563
119,29.883795
120,30.851452
121,29.908653
122,30.425150
123,29.949768
124,30.625109
125,30.035049
126,30.290516
127,30.229589
128,30.738651
129,30.011660
130,30.234720
131,30.176422
132,30.703552
133,30.010803
134,30.358273
135,30.425148
136,30.743713
137,30.091122
138,30.379677
139,30.192463
140,30.954044
141,30.177141
142,30.645874
143,30.034239
144,31.002491
145,30.087584
146,30.632971
147,30.002735
148,31.082090
149,30.171448
150,31.192623
151,30.000891
152,31.210545
153,30.322041
154,30.798752
155,30.258677
156,31.027817
157,30.270706
158,30.636887
159,30.278952
160,30.924484
161,30.305931
162,30.672562
163,30.396854
164,31.144361
165,30.621424
166,30.775030
167,30.591799
168,31.045675
169,30.749142
170,30.675930
171,30.735271
172,31.047398
173,30.723040
174,30.625219
175,30.625927
176,31.066832
177,30.333675
178,30.547768
179,30.637373
180,31.373230
181,30.245934
182,30.870232
183,30.426777
184,31.343935
185,30.434179
186,30.908705
187,30.337488
188,31.213236
189,30.569365
190,30.868040
191,30.347481
192,31.074736
193,30.370752
194,31.360918
195,30.328150
196,31.093529
197,30.726894
198,31.037403
199,30.301838
200,31.350168
201,30.367794
202,30.963354
203,30.381866
204,31.256472
205,30.460373
206,30.833755
207,30.509102
208,31.155796
209,30.521093
210,30.700125
211,30.659960
212,31.100601
213,30.576065
214,30.779072
215,30.770685
216,31.223711
217,30.636356
218,30.674393
219,30.522673
220,31.133436
221,30.492432
222,30.768585
223,30.497009
224,31.229769
225,30.445658
