frame,value
0,0.763910
1,0.743038
2,0.717676
3,0.702680
4,0.689883
5,0.675408
6,0.630918
7,0.605556
8,0.566919
9,0.554304
10,0.528821
11,0.520554
12,0.504038
13,0.501514
14,0.513325
15,0.552963
16,0.594010
17,0.588844
18,0.585268
19,0.582635
20,0.575731
21,0.569330
22,0.563027
23,0.561274
24,0.557830
25,0.552008
26,0.549264
27,0.546838
28,0.540584
29,0.537631
30,0.531907
31,0.507599
32,0.490399
33,0.476435
34,0.472758
35,0.463471
36,0.459477
37,0.454317
38,0.450237
39,0.443846
40,0.440306
41,0.504033
42,0.512069
43,0.513508
44,0.514829
45,0.517486
46,0.518208
47,0.517647
48,0.520314
49,0.499473
50,0.517328
51,0.500504
52,0.516872
53,0.516808
54,0.516474
55,0.517783
56,0.518079
57,0.517680
58,0.515125
59,0.514463
60,0.513704
61,0.512691
62,0.508782
63,0.510034
64,0.509455
65,0.512530
66,0.509371
67,0.510185
68,0.505369
69,0.504846
70,0.502142
71,0.500370
72,0.502116
73,0.502597
74,0.488909
75,0.478021
76,0.477683
77,0.471492
78,0.467156
79,0.461532
80,0.463945
81,0.501913
82,0.505524
83,0.505197
84,0.507544
85,0.504965
86,0.506237
87,0.504768
88,0.506926
89,0.505790
90,0.507033
91,0.507733
92,0.507127
93,0.506044
94,0.506668
95,0.505912
96,0.504772
97,0.506704
98,0.501877
99,0.504411
100,0.505207
101,0.507735
102,0.505726
103,0.505309
104,0.508267
105,0.507929
106,0.509934
107,0.507631
108,0.497828
109,0.484790
110,0.481194
111,0.475450
112,0.469154
113,0.464168
114,0.505481
115,0.507602
116,0.509366
117,0.508999
118,0.509059
119,0.505894
120,0.509759
121,0.508598
122,0.509938
123,0.510194
124,0.507295
125,0.509635
126,0.507658
127,0.510616
128,0.509893
129,0.510057
130,0.507463
131,0.508270
132,0.490247
133,0.478926
134,0.473598
135,0.468128
136,0.458802
137,0.454813
138,0.453743
139,0.505300
140,0.505680
141,0.505791
142,0.505142
143,0.501256
144,0.501690
145,0.500665
146,0.504488
147,0.481367
148,0.469862
149,0.460966
150,0.463257
151,0.449843
152,0.448950
153,0.444719
154,0.448632
155,0.444149
156,0.497727
157,0.500759
158,0.501645
159,0.504492
160,0.502932
161,0.506590
162,0.503328
163,0.505487
164,0.504532
165,0.507940
166,0.503449
167,0.505415
168,0.503721
169,0.509017
170,0.504098
171,0.507087
172,0.503164
173,0.507159
174,0.485275
175,0.479776
176,0.470104
177,0.465341
178,0.455639
179,0.451603
180,0.448267
181,0.443506
182,0.496893
183,0.496377
184,0.500689
185,0.499359
186,0.503178
187,0.498331
188,0.501746
189,0.501457
190,0.500891
191,0.500343
192,0.482263
193,0.473973
194,0.470242
195,0.462370
196,0.456756
197,0.457639
198,0.502358
199,0.502161
200,0.505711
201,0.502942
202,0.502761
203,0.502028
204,0.504326
205,0.504969
206,0.487417
207,0.474158
208,0.465198
209,0.460927
210,0.454366
211,0.455563
212,0.450129
213,0.447535
214,0.497306
215,0.500385
216,0.500802
217,0.501059
218,0.500585
219,0.500773
220,0.499682
221,0.479143
222,0.469156
223,0.457365
224,0.451261
225,0.446235
226,0.445430
227,0.440241
228,0.436152
229,0.432101
230,0.429445
231,0.426740
232,0.426570
233,0.422360
234,0.420241
235,0.418248
236,0.487669
237,0.490635
238,0.492911
239,0.491132
240,0.493877
241,0.494214
242,0.494724
243,0.475500
244,0.459246
245,0.451291
246,0.440503
247,0.436936
248,0.432136
249,0.431053
250,0.777204
251,0.752601
252,0.704407
253,0.682460
254,0.648170
255,0.622199
256,0.600207
257,0.586335
258,0.568786
259,0.555224
260,0.543248
261,0.538970
262,0.533568
263,0.530682
264,0.526341
265,0.524655
266,0.518396
267,0.514208
268,0.512827
269,0.514283
270,0.511155
271,0.509342
272,0.503309
273,0.497190
274,0.494743
275,0.487650
276,0.483868
277,0.481085
278,0.475387
279,0.468990
280,0.460114
281,0.453448
282,0.445569
283,0.437933
284,0.432921
285,0.426165
286,0.421379
287,0.414165
288,0.412636
289,0.410468
290,0.402942
291,0.403441
292,0.403687
293,0.404683
294,0.401930
295,0.400761
296,0.404028
297,0.401348
298,0.399869
299,0.399423
300,0.402212
301,0.403869
302,0.404274
303,0.403621
304,0.408132
305,0.498963
306,0.505763
307,0.506555
308,0.507088
309,0.508484
310,0.509691
311,0.485357
312,0.469382
313,0.462568
314,0.456898
315,0.453271
316,0.449159
317,0.445612
318,0.442836
319,0.441788
320,0.437137
321,0.433335
322,0.430683
323,0.425253
324,0.422692
325,0.497350
326,0.503869
327,0.504726
328,0.505560
329,0.506854
330,0.504763
331,0.482396
332,0.466505
333,0.455991
334,0.448203
335,0.447281
336,0.440160
337,0.435904
338,0.431357
339,0.429628
340,0.425341
341,0.423446
342,0.418166
343,0.414483
344,0.489291
345,0.489966
346,0.492305
347,0.492027
348,0.497765
349,0.493316
350,0.469084
351,0.452841
352,0.445740
353,0.433676
354,0.427249
355,0.421170
356,0.415048
357,0.407172
358,0.400920
359,0.399364
360,0.398068
361,0.393924
362,0.390616
363,0.391744
364,0.388718
365,0.386270
366,0.387387
367,0.384492
368,0.384539
369,0.379109
370,0.378346
371,0.376033
372,0.460580
373,0.466922
374,0.470454
375,0.471324
376,0.473224
377,0.473690
378,0.455081
379,0.444414
380,0.435332
381,0.428532
382,0.423920
383,0.418813
384,0.413166
385,0.409417
386,0.407501
387,0.402181
388,0.399239
389,0.397553
390,0.392666
391,0.388539
392,0.456494
393,0.458732
394,0.461991
395,0.460302
396,0.461060
397,0.461432
398,0.437491
399,0.420497
400,0.409555
401,0.407514
402,0.401851
403,0.398154
404,0.395128
405,0.394912
406,0.391232
407,0.389735
408,0.390842
409,0.391375
410,0.388736
411,0.383493
412,0.383670
413,0.384600
414,0.383351
415,0.382632
416,0.381101
417,0.381495
418,0.379392
419,0.381142
420,0.378113
421,0.378356
422,0.376092
423,0.375001
424,0.376521
425,0.450826
426,0.456129
427,0.437328
428,0.459676
429,0.462361
430,0.463489
431,0.435625
432,0.424232
433,0.414028
434,0.409013
435,0.405652
436,0.399766
437,0.394210
438,0.391653
439,0.387825
440,0.382732
441,0.382304
442,0.382195
443,0.383134
444,0.380547
445,0.380548
446,0.380334
447,0.379692
448,0.375060
449,0.374501
450,0.371400
451,0.369965
452,0.367452
453,0.366392
454,0.363836
455,0.363655
456,0.367544
457,0.379336
458,0.378129
459,0.366321
460,0.361425
461,0.359926
462,0.362703
463,0.359649
464,0.358681
465,0.358848
466,0.359361
467,0.357869
468,0.357569
469,0.355812
470,0.358348
471,0.359413
472,0.358579
473,0.357200
474,0.359276
475,0.359648
476,0.359679
477,0.356783
478,0.356403
479,0.354732
480,0.354972
481,0.353241
482,0.452520
483,0.457433
484,0.458515
485,0.460201
486,0.459894
487,0.460592
488,0.430457
489,0.411169
490,0.400757
491,0.392264
492,0.387722
493,0.380570
494,0.376799
495,0.375103
496,0.371184
497,0.369866
498,0.371895
499,0.369259
average,0.466305
