frame,value
0,23.024235
1,22.688414
2,22.596319
3,22.516947
4,22.478947
5,22.330282
6,21.513651
7,21.403198
8,21.156851
9,21.556173
10,22.017492
11,22.407772
12,22.365910
13,22.836863
14,22.753517
15,22.812683
16,22.719360
17,23.184599
18,23.168455
19,23.174917
20,23.163109
21,23.135147
22,23.167706
23,23.118376
24,23.133402
25,23.168118
26,23.193024
27,23.149813
28,23.175772
29,23.118032
30,23.052462
31,23.070700
32,23.737543
33,23.777199
34,23.745584
35,23.733351
36,23.741194
37,23.795502
38,23.743942
39,23.702736
40,23.704437
41,23.729723
42,23.816397
43,23.772999
44,23.781101
45,23.887980
46,23.878983
47,23.893732
48,23.932898
49,23.930473
50,23.913412
51,23.854197
52,23.933838
53,23.864237
54,23.874760
55,23.876787
56,23.898256
57,23.880177
58,23.808765
59,24.198734
60,24.249910
61,24.266239
62,24.229589
63,24.254068
64,24.199764
65,24.222683
66,24.143101
67,24.300076
68,24.200031
69,24.256918
70,24.277771
71,24.300941
72,24.258099
73,24.251059
74,24.302771
75,24.227581
76,24.432590
77,24.390047
78,24.390751
79,24.306870
80,24.395615
81,24.374441
82,24.337234
83,24.298437
84,24.466066
85,24.410585
86,24.421276
87,24.290062
88,24.484224
89,24.329597
90,24.317469
91,24.379786
92,24.301222
93,24.317778
94,24.304979
95,24.426304
96,24.303114
97,24.980804
98,24.911144
99,25.212824
100,25.048149
101,25.169239
102,25.034271
103,25.092203
104,25.097370
105,25.111263
106,25.105980
107,24.991913
108,25.092581
109,25.137283
110,25.096451
111,25.183859
112,25.104635
113,25.084841
114,25.071177
115,25.108377
116,25.081032
117,25.139370
118,25.185303
119,25.067642
120,25.228054
121,25.170523
122,25.206625
123,25.125788
124,25.117184
125,25.231953
126,25.082331
127,25.161268
128,25.142925
129,25.176554
130,25.110123
131,25.133467
132,25.066292
133,25.233677
134,25.186031
135,25.291403
136,25.089035
137,25.233572
138,25.147804
139,25.250679
140,25.218716
141,25.293819
142,25.196220
143,25.152998
144,25.198099
145,25.176758
146,25.209431
147,25.095108
148,25.227520
149,25.106155
150,25.393902
151,25.063618
152,25.324127
153,25.252733
154,25.304075
155,25.173782
156,25.238644
157,25.298460
158,25.201506
159,25.224417
160,25.202976
161,25.286991
162,25.202314
163,25.250626
164,25.317041
165,25.661016
166,25.627504
167,25.737995
168,25.673361
169,25.833660
170,25.636425
171,25.781519
172,25.696323
173,25.822397
174,25.614050
175,25.713362
176,25.690628
177,25.656332
178,25.641985
179,25.762012
180,25.757914
181,25.635738
182,25.751261
183,25.692060
184,25.852440
185,25.765875
186,25.823145
187,25.764959
188,25.873163
189,25.769985
190,25.770372
191,25.741653
192,25.823940
193,25.749554
194,25.982256
195,25.719980
196,25.748009
197,25.912651
198,25.854095
199,25.751909
200,25.871706
201,25.814457
202,25.848783
203,25.701714
204,25.802334
205,25.783478
206,25.771889
207,25.740541
208,25.734543
209,25.823738
210,25.709309
211,25.878424
212,25.708677
213,25.809740
214,25.786730
215,25.872875
216,25.795427
217,25.767519
218,25.703505
219,25.888435
220,25.778364
221,25.818724
