frame,value
0,0.855215
1,0.827735
2,0.804391
3,0.806111
4,0.807470
5,0.782191
6,0.754383
7,0.764771
8,0.760564
9,0.745415
10,0.711343
11,0.705260
12,0.685435
13,0.669413
14,0.652501
15,0.661905
16,0.661730
17,0.656296
18,0.662338
19,0.676786
20,0.680287
21,0.670141
22,0.664824
23,0.675656
24,0.683197
25,0.664768
26,0.669163
27,0.683489
28,0.689569
29,0.682437
30,0.678462
31,0.689540
32,0.700568
33,0.687851
34,0.694048
35,0.697483
36,0.705376
37,0.688857
38,0.688704
39,0.698653
40,0.708779
41,0.693028
42,0.704537
43,0.712171
44,0.721770
45,0.713844
46,0.715864
47,0.723445
48,0.737494
49,0.713107
50,0.718710
51,0.720114
52,0.737536
53,0.714958
54,0.725301
55,0.737973
56,0.747654
57,0.732122
58,0.732991
59,0.745812
60,0.755861
61,0.747283
62,0.740319
63,0.749254
64,0.754687
65,0.755608
66,0.746972
67,0.757628
68,0.760551
69,0.751465
70,0.750004
71,0.752650
72,0.765299
73,0.754641
74,0.756027
75,0.748567
76,0.774926
77,0.762018
78,0.762429
79,0.758095
80,0.780406
81,0.766491
82,0.768959
83,0.766522
84,0.786525
85,0.772111
86,0.776960
87,0.772726
88,0.793222
89,0.772180
90,0.776062
91,0.784456
92,0.793257
93,0.769469
94,0.771374
95,0.785080
96,0.796743
97,0.786994
98,0.780107
99,0.789920
100,0.802032
101,0.784248
102,0.786199
103,0.787107
104,0.802767
105,0.779581
106,0.791279
107,0.788421
108,0.803629
109,0.780326
110,0.788564
111,0.796747
112,0.802983
113,0.790271
114,0.797975
115,0.797684
116,0.810134
117,0.792668
118,0.800644
119,0.798412
120,0.819706
121,0.791699
122,0.803646
123,0.800632
124,0.811432
125,0.788371
126,0.795758
127,0.802681
128,0.815267
129,0.793671
130,0.798046
131,0.804265
132,0.814925
133,0.791607
134,0.803211
135,0.812074
136,0.817691
137,0.798662
138,0.804480
139,0.809380
140,0.822304
141,0.798910
142,0.807273
143,0.805121
144,0.824287
145,0.797734
146,0.811104
147,0.809748
148,0.826567
149,0.809232
150,0.827943
151,0.811403
152,0.831357
153,0.806988
154,0.819361
155,0.817824
156,0.828838
157,0.807400
158,0.815464
159,0.818137
160,0.825934
161,0.813464
162,0.813094
163,0.819517
164,0.833215
165,0.819649
166,0.818249
167,0.821913
168,0.830996
169,0.826818
170,0.819960
171,0.827523
172,0.830639
173,0.824116
174,0.818241
175,0.826555
176,0.830715
177,0.817828
178,0.816772
179,0.827300
180,0.839795
181,0.817658
182,0.826195
183,0.820085
184,0.839393
185,0.819852
186,0.829149
187,0.814195
188,0.836825
189,0.818921
190,0.823686
191,0.812774
192,0.832944
193,0.818108
194,0.834430
195,0.815774
196,0.835400
197,0.824236
198,0.829987
199,0.822020
200,0.843080
201,0.814169
202,0.824393
203,0.816172
204,0.839598
205,0.818867
206,0.824381
207,0.821250
208,0.838472
209,0.817602
210,0.816897
211,0.825500
212,0.837192
213,0.826283
214,0.837637
215,0.842007
216,0.837508
217,0.834292
218,0.831004
219,0.836834
220,0.830886
221,0.829266
222,0.827086
223,0.830135
224,0.828634
225,0.824050
226,0.826375
227,0.822791
228,0.823744
229,0.823703
230,0.821324
231,0.819209
232,0.820074
233,0.817407
234,0.814988
235,0.813120
236,0.817153
237,0.812207
238,0.813127
239,0.809131
240,0.811269
241,0.808321
242,0.808369
243,0.805989
244,0.804119
245,0.803636
246,0.801438
247,0.804777
248,0.798542
249,0.918384
250,0.849782
251,0.856929
252,0.849905
253,0.871143
254,0.822326
255,0.828700
256,0.840650
257,0.855027
258,0.823564
259,0.817678
260,0.825878
261,0.836066
262,0.815210
263,0.813506
264,0.817678
265,0.836755
266,0.804813
267,0.808143
268,0.818901
269,0.838575
270,0.800620
271,0.803521
272,0.813109
273,0.833227
274,0.810183
275,0.808243
276,0.812532
277,0.830318
278,0.804469
279,0.801476
280,0.804673
281,0.827304
282,0.784794
283,0.791395
284,0.800773
285,0.824510
286,0.772743
287,0.782203
288,0.798676
289,0.826187
290,0.785680
291,0.789377
292,0.800922
293,0.823044
294,0.794696
295,0.790555
296,0.803177
297,0.820441
298,0.788621
299,0.789886
300,0.799423
301,0.822599
302,0.788409
303,0.795538
304,0.805285
305,0.824828
306,0.793939
307,0.800622
308,0.800983
309,0.826588
310,0.800165
311,0.804383
312,0.803043
313,0.830740
314,0.803038
315,0.810437
316,0.803220
317,0.824398
318,0.793188
319,0.806747
320,0.803182
321,0.821881
322,0.789939
323,0.796965
324,0.803828
325,0.822580
326,0.798628
327,0.800380
328,0.804608
329,0.822487
330,0.798804
331,0.804762
332,0.798453
333,0.825618
334,0.796078
335,0.803369
336,0.795789
337,0.820197
338,0.796435
339,0.803443
340,0.801147
341,0.815613
342,0.786942
343,0.796618
344,0.800219
345,0.814327
346,0.789835
347,0.793966
348,0.795489
349,0.812508
350,0.782838
351,0.788153
352,0.789254
353,0.809237
354,0.776873
355,0.785007
356,0.777700
357,0.807430
358,0.777569
359,0.787179
360,0.785620
361,0.805801
362,0.779357
363,0.784030
364,0.780785
365,0.801439
366,0.785356
367,0.782755
368,0.786037
369,0.799021
370,0.775271
371,0.780642
372,0.780924
373,0.796830
374,0.772307
375,0.777018
376,0.781161
377,0.797824
378,0.778998
379,0.784135
380,0.784986
381,0.800162
382,0.779213
383,0.780867
384,0.773872
385,0.799620
386,0.775825
387,0.781276
388,0.779872
389,0.799167
390,0.768488
391,0.776071
392,0.776111
393,0.800109
394,0.771330
395,0.777097
396,0.776128
397,0.800987
398,0.773078
399,0.776812
400,0.776167
401,0.800901
402,0.766571
403,0.779031
404,0.779148
405,0.800980
406,0.765407
407,0.776631
408,0.781923
409,0.801255
410,0.766427
411,0.777437
412,0.780659
413,0.801771
414,0.769568
415,0.779104
416,0.775881
417,0.804534
418,0.776878
419,0.782528
420,0.777227
421,0.802132
422,0.773612
423,0.778797
424,0.782471
425,0.799005
426,0.773876
427,0.780895
428,0.782671
429,0.797994
430,0.768881
431,0.780681
432,0.783064
433,0.802294
434,0.770956
435,0.780061
436,0.784455
437,0.806131
438,0.773886
439,0.776928
440,0.780852
441,0.803468
442,0.768866
443,0.782618
444,0.779041
445,0.805707
446,0.772457
447,0.783441
448,0.775776
449,0.804246
450,0.766300
451,0.782405
452,0.773763
453,0.800107
454,0.774983
455,0.795643
456,0.802934
457,0.810867
458,0.808225
459,0.806077
460,0.803389
461,0.800613
462,0.802742
463,0.798297
464,0.797549
465,0.797839
466,0.797337
467,0.799817
468,0.798293
469,0.794490
470,0.792498
471,0.793889
472,0.793945
473,0.791806
474,0.790154
475,0.789608
476,0.790823
477,0.786896
478,0.784572
479,0.780836
480,0.782066
481,0.780352
482,0.782713
483,0.777476
484,0.777538
485,0.775538
486,0.776624
487,0.773087
488,0.773636
489,0.770325
490,0.774657
491,0.767338
492,0.764039
493,0.755810
494,0.760088
495,0.750443
496,0.739932
497,0.727214
498,0.896621
499,0.824752
average,0.789315
